,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610
Low,1232.1640036,1600.3628037,1953.6393606000001,2233.46013385,2547.5769166,2823.6783990999998,3120.184301725,3438.9489247499996,3665.243198125,3869.012445075,4082.79030815,4369.868039950001,4591.0977905750005,4760.5543619,5073.789178275,5244.192419375,5447.062766075,5599.387221575,5824.66175715,5967.66429305,6226.6205549999995,6326.157565449999,6538.899562875,6810.4316514249995,6922.8842202000005,7056.03177975,7330.5949529750005,7398.182086275,7621.705893325,7771.88506205,7873.388928975,8039.937535775,8216.408983875,8389.464723325,8503.9287305,8708.51056945,8847.28640835,8964.905003975,9110.89378925,9287.706739125,9384.298344050001,9637.156083925,9757.215649525,9850.126985225,9858.393245725001,10104.337595,10213.43040315,10405.41552155,10487.796566375,10679.5393788,10752.642869425,10914.435434474999,11107.821976449999,11137.77514265,11328.765252624999,11399.74570585,11601.737665375,11728.74197825,11809.300174175001,12056.519596125001,12102.14842925,12192.973601874999,12327.63712325,12499.843417,12627.384404475,12774.465028425,12807.382748875,13015.7275546,13121.578901575,13262.825568925,13352.2281358,13442.1963148,13628.4960607,13698.7320557,13946.03859155,13949.759286299999,14171.618204600001,14248.603650425,14392.8694012,14480.803424624999,14633.879126475,14713.9202348,14936.728827225,14975.323781575,15059.698478125,15264.599186525,15319.955626675,15382.809156000001,15591.3078084,15687.766946349999,15887.417456075,15881.157761925,16100.70708085,16197.7594777,16337.989000975,16355.145359799999,16512.51420565,16603.105922225,16792.1049927,16827.555258675002,16993.8203512,17173.15571425,17274.3501396,17374.53845555,17509.907111124998,17604.43416305,17704.10357645,17815.969680875,17974.916432775,18085.75497995,18186.095157775002,18326.641049425,18429.896063775,18592.80346565,18690.1857003,18847.690871225,18986.838438274997,19089.874792274997,19256.1408863,19418.0744573,19662.312215325
High,2095.3160481749997,2682.3168151499995,3177.638376225,3513.972357475,3983.579477575,4331.962141149999,4632.9638532,4960.653121125,5271.099288275,5544.793911899999,5787.801739875,6123.436783425001,6279.39939065,6513.610957425,6819.030186000001,6936.13132945,7216.9833032,7445.93531445,7601.3057255,7836.4114274250005,8030.105880225,8252.977585274999,8415.492155375001,8636.41915305,8806.6812651,8953.32403045,9101.511287225,9354.17562165,9513.364227325,9706.722036525001,9880.8458814,9965.334267100001,10110.69607885,10294.47387025,10489.418580825,10566.062187849999,10769.939288025,10882.536776525,11122.452382975,11170.516618525,11295.72015745,11497.309417374998,11608.130614125,11794.984613849998,11867.0397939,12051.247969999999,12240.261100599999,12364.295992,12546.214874399999,12593.747045774999,12700.950425649999,12824.662017175,12925.922412999998,13085.578135574999,13205.0681827,13391.238047975,13538.276347,13637.39071285,13785.571506,13901.55413035,13958.07137875,14126.678301225,14222.8526549,14401.206259100001,14491.7324466,14594.88131465,14787.571051875,14768.856974925,14978.04613735,15071.76895485,15146.749416024999,15316.705782075,15392.131126675,15506.015417375,15592.600590725,15688.8013351,15854.388887725001,15876.366715375001,16091.663671675,16165.352404624999,16267.247161325,16366.239210575,16464.615281275,16516.359403275,16637.382964225,16760.432510249997,16887.947580825,16964.154148100002,17081.58876115,17192.376146249997,17347.631589375,17407.559998225002,17466.762746875,17551.195064300002,17662.355679525,17770.8229638,17849.463305049998,17909.7940438,18061.721730175002,18146.0205314,18264.588756175002,18337.67437725,18401.69206935,18520.831429525,18572.653534525,18700.06893825,18760.938495125,18839.006225,18921.845999575,18999.28877425,19099.727264625002,19153.249362475002,19260.27362215,19359.179479375,19411.551023725002,19478.745110575,19559.395224375003,19619.174147475,19680.22711265,19739.77993285,19764.6376577
Mean,1606.1546034540002,2082.6908218930002,2497.0153393929995,2837.755910216,3200.82494539,3524.533351773,3830.845641427,4132.3651333650005,4394.164385625,4670.931223670999,4923.357593826,5180.421097153,5417.019172665,5620.858505471,5892.585139234001,6078.305171289001,6280.538094829,6515.861938415001,6717.434095969999,6909.2696850209995,7099.794795128001,7282.684868421,7468.506755557,7677.836816136,7861.797374432001,8003.7407124070005,8172.404399954001,8350.242529216,8527.090774053,8688.534401152,8843.40332001,8995.832050242001,9166.29932602,9330.536018040999,9492.922991109,9663.722660363,9806.310681312001,9935.155016683,10095.355511614,10258.74218039,10361.969576803998,10556.271288001999,10690.021704131997,10842.653909122,10959.073625082,11126.05895221,11277.817301861,11392.598718123998,11554.393899611998,11693.989717489998,11800.513669138,11924.207727121,12088.739954944,12171.674671736,12331.271687544,12452.594146090001,12605.26664725,12732.058491765,12887.467359299999,12997.334457975001,13107.183341205,13229.208272344998,13361.120423108001,13508.062313545997,13611.006466283001,13735.139905253998,13879.741503603,13961.690238458,14100.078623659,14215.064263591,14359.715744357,14467.043373542001,14563.006902399,14700.459451687999,14818.296266027,14908.670548684,15059.174054409,15144.719953391,15295.93718619,15383.698582481999,15539.821829019002,15615.313688025,15762.484390569,15857.554743349001,15933.540344558001,16083.163729593,16172.775274728998,16278.420964079,16408.224979264,16519.056722036,16638.810232729,16741.746271835,16850.445232455,16941.575971154,17072.910194193,17168.127502285,17262.983231151,17388.481651780003,17496.792114096002,17601.676920594,17707.52201567,17812.06839729,17914.823431886,18029.140526264,18130.223378769002,18239.715934989,18333.101144655993,18424.824108211003,18530.264965105,18633.004864762002,18745.506061219996,18844.588932571998,18945.758614839997,19051.962137991,19141.636443532003,19247.352828816005,19354.518085019998,19443.973878612003,19547.943502864,19644.537632841002,19743.897062002998
