,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46
Low,24.683061491005002,57.34362125662955,144.46724341909334,176.23569038166858,182.7152235804609,191.52200252867192,210.65577014619817,212.23508556285034,217.77233130312834,226.90487338209977,229.403044178293,230.2151746215603,237.23193657338805,241.0531813799369,242.97899455248432,244.0286280340611,244.0577835770249,251.01946931767944,253.24693121472185,254.07494362024173,256.53492103953465,259.2635097698593,262.11048056549697
High,426.3841998122,383.92989988253373,365.8846497977922,350.16859505850556,341.2702945200575,336.55872927709663,327.3066796951871,324.6920119469733,321.8436881974101,316.33890840604323,314.66757990815586,309.3501362166214,307.39087279524506,304.4295658911528,303.9923119123846,301.98771145857233,299.611889987393,297.33606704158177,295.7316158223509,294.53175769438684,291.877911140396,289.8629586377026,288.6937706828994
Mean,277.6390382938257,275.3572530281162,275.6999970400187,276.08591682998684,274.71164945043773,275.4107103231616,275.75759062817286,275.96285598064173,276.5987536190032,276.94364793834603,276.97835410601334,276.62188819602403,275.4604308802085,276.28797345931025,276.48575807450317,276.0002122932249,275.5970079925774,275.97109221259336,275.6312430807207,276.1325497625926,276.3364250345936,275.9483639199375,276.596319676328
