,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46
0.5,9.285310723000022,40.990951472110616,48.565676067977,124.6822911052848,141.56188342612506,155.97372803816722,191.84056399678147,198.5635868244509,188.83522822089856,205.5443332405127,215.01424508009464,219.64765624559442,228.3012236695677,228.59350635468627,231.44576845965847,231.03218260324354,233.54868205685537,240.17858422182562,246.74478785813838,248.90449485524792,251.49408228075984,251.72981889294945,259.01121496463213
1,12.470560117852001,42.85913597192863,64.50130403201257,135.3401135572841,165.0044631776552,176.31539229172301,198.24360199828573,205.05759723938996,201.97524187872156,215.47968558020213,220.54586421000263,224.28006446207442,231.50689251560502,231.8563796511375,234.90756424555153,236.4643160908086,237.35910700069456,242.82383664549243,247.96045306224462,250.05449873316763,253.99977197077843,256.7461423783292,260.54302262926416
1.5,18.753704789999997,50.7410661564148,98.30493493563449,151.1055168841217,170.69084189383696,182.85558794518883,201.86503079573663,207.96970097081356,206.97179752919757,222.1768964490603,224.56060116858723,225.27085500946987,232.8687347885209,237.36325825870173,238.2441925373525,240.07905105520797,239.11445906533763,248.54719328177956,249.22912262829837,252.13764378616176,255.09447644968444,258.14770521663513,261.03668670617583
2,24.375729424,56.40247811239437,138.0584249275928,166.14050536874436,175.81747271751755,187.8266295275542,204.17331849638424,211.0505026681455,210.745310071763,224.8325436404952,227.68686784183788,227.0863687065104,234.25682650284102,239.73066931238225,241.05502961548936,243.27777231966783,240.96587124921888,249.7678304833959,251.95691372723275,252.66978037658282,255.65415653730787,258.4917541185487,261.6049029136471
2.5,24.683061491005002,57.34362125662955,144.46724341909334,176.23569038166858,182.7152235804609,191.52200252867192,210.65577014619817,212.23508556285034,217.77233130312834,226.90487338209977,229.403044178293,230.2151746215603,237.23193657338805,241.0531813799369,242.97899455248432,244.0286280340611,244.0577835770249,251.01946931767944,253.24693121472185,254.07494362024173,256.53492103953465,259.2635097698593,262.11048056549697
5,31.612463755,127.55457335615782,160.55983987049,193.35108961259516,201.35413385919009,211.5444271043913,221.14382984863306,223.4471048724708,230.3850093097162,236.00368154332966,239.1942612164714,238.80690346524858,242.95879867654466,247.4880540155321,249.77858564406975,248.4416771136809,250.7622285054801,254.97122914281354,257.94284920926884,258.77217658838646,260.2683114000547,262.39044108435286,264.5919516253803
10,55.2737994877,203.096206965237,206.4743386509796,212.91158554033498,220.9729107349232,228.7439132335816,236.9225000791502,238.4290711609136,243.52383067770268,244.2119139529735,248.8550011430164,249.87938419601429,251.3539003537089,255.0926830540133,255.7811747622051,256.4219177075561,257.0138575091616,260.3123143536489,262.03075218436703,261.5433271565049,264.5278646154912,265.6861419295393,267.5999519927255
25,166.4444000377,220.543233352583,244.56767276758347,252.88935858801074,254.70046098244424,255.7854518022585,257.01545094109525,259.77167458360225,261.04416658057676,262.39402680274975,264.0940729899548,264.7542935043015,263.6758203826013,265.36558076334126,266.62722529346075,266.9589173558715,267.39520676110453,267.96460649961455,268.4798597146195,269.28936559369527,270.38752774610674,270.46586536036324,272.0377224692203
75,360.7212000081,329.421099070908,314.82162278288524,306.6768988995408,302.1073959579305,299.993915928403,296.5214237731968,295.39394526546425,294.950622947911,294.370703041282,292.48665693441,290.1834599848497,288.21690448919674,288.551165131963,287.287982667229,286.5751852683645,285.852652357245,285.05214640561127,282.9813471791762,283.280158546972,282.87244930022223,282.01299620074326,281.662199043387
90,407.4393997131,351.740948659575,345.2038849802803,328.72254739554444,321.8623575623762,316.0913306958466,312.7259887892332,308.5737933305957,308.4682686104187,305.5195357624852,302.75392790671157,300.7907722663345,297.2639081530293,297.315147790529,295.8275641405042,293.819398215158,292.2263609543134,291.2701783923451,289.2658662189727,289.14997262037866,287.5540520293977,286.0240495037426,284.9350565800041
97.5,426.3841998122,383.92989988253373,365.8846497977922,350.16859505850556,341.2702945200575,336.55872927709663,327.3066796951871,324.6920119469733,321.8436881974101,316.33890840604323,314.66757990815586,309.3501362166214,307.39087279524506,304.4295658911528,303.9923119123846,301.98771145857233,299.611889987393,297.33606704158177,295.7316158223509,294.53175769438684,291.877911140396,289.8629586377026,288.6937706828994
98,426.38419981228,389.397833132616,368.033608005065,351.8885160038837,344.4114850397979,337.99180264676914,328.38335524197606,325.75316414946917,323.15473956172605,316.90021130953176,317.278344468483,311.4104851108125,309.50055802066254,305.1260075963025,305.69055931991556,302.65413833259856,300.38385668174783,298.0474231892246,296.40062663577476,295.09547679051747,292.77032106937173,290.5932754198477,289.32545800421224
98.5,426.3841998189,393.4022998839315,372.2322798188835,356.44660521064594,346.2241889455555,339.80603050121414,331.4728928689657,327.56876374129445,324.9713525777255,317.5119152250935,320.6099585085469,312.97136280868926,310.2207772286487,306.14956914665373,306.74049876433304,303.3710161288164,300.8066258267302,298.7806486770109,298.4121018342903,295.72712051760027,293.781310697226,290.79219487145286,289.71353355902
99,426.38419982,393.80890508895163,376.77718652177964,361.04639940286825,349.5249634252435,342.2055137813922,334.27388891060866,329.63273586851415,326.4080299476529,318.86218318808466,322.8948711827629,314.65825819471377,311.25112834754634,307.54287751868355,308.15542640246144,306.1133587494018,302.27373720981393,300.3510851493625,299.3022496141116,296.15679536723246,294.66956145646924,291.9638495843722,289.97347582707965
99.5,426.384199823414,408.97503311738745,379.77451365416727,368.69997536089767,352.95695209545954,344.0935842591142,338.4179378547495,332.71927137632827,328.05362204197763,321.3154125521077,326.0868688335674,319.35866405712125,313.9588815308995,310.21063875024333,310.1738515292869,309.12811293783926,303.8170629919748,302.3218843665891,300.6805658555011,298.5155266741909,295.575872803718,293.0583943422644,290.3053720596233
Median,360.7211999892,287.3099270226335,285.0851534058535,280.5000746920555,278.230373685608,279.06355278675403,278.34499691843496,279.004034357627,278.457034596188,278.9267069407855,277.24531975848254,278.282765652614,276.8664866919065,276.96853177360003,277.16408223821554,276.8582466871135,276.883883437517,276.9171412018165,275.745379323114,276.8948074471645,277.088891770906,276.31239408786803,277.19755130014653
Mean,277.6390382938257,275.3572530281162,275.6999970400187,276.08591682998684,274.71164945043773,275.4107103231616,275.75759062817286,275.96285598064173,276.5987536190032,276.94364793834603,276.97835410601334,276.62188819602403,275.4604308802085,276.28797345931025,276.48575807450317,276.0002122932249,275.5970079925774,275.97109221259336,275.6312430807207,276.1325497625926,276.3364250345936,275.9483639199375,276.596319676328
