,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550
0.5,207.46710877655588,224.3790476158095,227.22555335399986,234.08037788176634,241.3782114377813,243.84981913421893,248.1715262218785,250.36675047975723,256.1094504798739,256.44680136898313,261.1213887051584,259.3962238667214,258.22894034906386,267.2438983222058,270.43338818148374,268.9718841368735,271.4174082554894,274.06485997928974,279.3209686643223,273.004687981802,278.75988687411257,278.678247467022,279.54105605143195,279.6819587355045,282.70113258531956,284.68879669999797,283.3394837687942,281.7357386865054,283.6097119325804,284.26912750804604,290.20621600067176,283.76835943776047,289.0053400338122,288.8153830136624,290.99941807082826,289.68171708722696,291.55847798875004,288.74627361095946,293.9243310571888,291.1768895903853,296.4371150415863,295.523359802867,292.6035984323008,296.81353026627346,291.99168497261576,298.6199054457142,296.3344988355569,296.4540375806058,297.0433126796664,297.4527469788821,299.8169504754706,297.6125426321463,299.0736076685621,301.39968550697546,300.5881835278591,301.1465091871679,301.82870833426654,300.61260932331885,301.4627838286775,303.5062793842108,302.99175920530115,301.9903049250674,301.19134954944866,305.03352717099426,303.78848397523376,306.11413897964144,305.66329038523753,308.3500400707553,306.12503361481595,308.8837260664777,306.9180275121112,305.49450454522326,307.3155213454208,308.0796022909225,306.7424250902255,306.14624147760503,309.4039490145512,309.548110114574,308.75851305927574,309.67174427175115,309.82313416237525,311.5732344845917,310.2355702388704,310.6083523294755,310.72391908422924,311.6107554455248,312.8578580668584,312.82127481933054,311.6359879390383,312.1665402928663,312.44530949204875,312.376148483692,313.9042636589697,314.8333975704382,315.1614897318838,315.04547532340496,314.94633964781036,316.47530140601333,316.6708580516052,317.76142736766485,317.0213907588681,317.2644402312164,318.1411216328128,319.1816863251525,320.30570282680657,320.35041032020325,320.95653181237435,322.00817883055356,324.180536504097
1,215.62118569844435,226.40894654952433,230.57542418352622,241.66472283639968,245.86217093176998,248.489747515765,251.18261660656376,255.83398731755528,264.59293783608996,257.18755405621556,265.145859927627,264.5708802388747,268.186086544613,270.32313358766106,274.0332471205411,273.4873438228407,275.07157132495684,281.3601454076242,281.22903813319203,277.83362897085766,283.61759269306896,281.5191057121225,284.36242289935876,282.26746603829974,287.9835097673954,287.2881209994601,287.5048118580365,288.03910171486945,286.31177966498916,286.6126028149744,291.2214421713831,287.5284828362363,290.6940267987688,291.2442808446362,292.8363466004024,291.70498553100936,294.1769832688124,293.934593827641,295.8482266432776,295.11254066283357,297.8111405718286,298.4348552089716,297.1409123066671,300.3111858069385,295.7873109363847,299.9281398863197,298.8917114356758,298.76262436061927,300.3708900503085,300.27659930915786,301.55748372678914,299.21407941121583,301.87878533351795,303.049378222168,303.54258194754806,303.83978539528397,304.705919640409,303.1093117455743,304.446814650627,304.5865540221867,305.0298010213071,303.57953975547935,305.97870013113686,306.6195174528435,306.10889540994356,307.53394783279373,307.36098906147924,308.67401140629585,307.7249835801265,309.8532989405978,307.7792407899853,306.5800565171577,309.5404969769229,309.73846820663346,308.8202587326758,308.83210521865703,310.41459067524295,311.20399129208045,309.7225437258365,311.45134625943024,310.67738833405105,312.9950008277845,311.26402710279564,311.8544468559278,311.5425075883959,312.3691485299682,313.7399016685319,313.82163430993177,312.8162963447161,313.855213772176,314.59127439708936,314.9790452104197,315.34965436477984,316.39860942045595,316.27105606072325,316.51129405880357,315.8315072346961,317.62863168583783,317.8286266741185,318.156235625028,318.38222408969375,318.0354359214987,318.8844535390715,319.7294614069863,320.60183449968383,320.9881038628936,321.2618710165473,322.533102004659,324.183743467892
1.5,220.0205714830003,226.986568890667,231.62963744418477,245.49373923466698,249.42405957651752,251.3792254318991,254.30692600417976,256.9995170062629,268.9808022599344,263.0578288841881,267.9493969901697,268.18209164420176,272.83594974874165,274.2896872246378,277.930277355828,276.4882744585886,279.38903739249446,284.4705024223848,282.8002166347396,280.31518312446116,285.0108281999188,283.86232989785816,287.4116278162041,286.33471284459495,290.20187224149987,290.10996177575606,289.6168011010665,290.0151008357413,289.49204114524485,288.93818114003864,293.5887983129574,292.0378650931939,292.3575945506707,293.27310384997327,295.7499636183685,294.35548078245864,295.45956325017113,295.2123962973811,297.44132772461165,297.52247515785547,299.0653903243304,300.54366218845445,299.5938515450574,301.3445239704553,298.0493435278938,301.59989957350473,300.3177535769721,301.22559226640305,301.7651391294213,301.9204456450061,303.2187190849078,300.34741892062596,302.8096900456316,304.4428130886102,304.78890267043846,304.97951014337787,305.95730739133126,303.9518023854306,305.97283911077557,305.4672067176093,306.61210274033346,306.1328925474502,306.6533509905851,307.4513068230623,307.0526523827858,308.8128203147539,308.69282437393474,309.60664902232696,308.8072515276499,310.80716921153424,308.95012020122044,307.5510457680806,310.95455571857326,310.8704694893489,310.0953953013706,311.26433846712706,311.61223216302767,311.8258910002782,310.976242972956,311.7336246616024,311.5293973616374,313.6929580480597,312.53307295310725,313.18779680405737,313.3654847584414,313.3530672632525,314.7776598241027,314.56299896524916,313.9807173457575,314.6962521292911,315.4125047374882,315.5176655854262,316.4045579699515,316.9443736728238,316.7101939942573,317.0659522722649,316.9235337993482,317.95332890944786,318.3532613731011,318.5300061370347,318.6990967456494,318.68065233330196,319.2548031227771,320.1894912688195,320.91500788852125,321.3733497022251,321.680218721035,322.6012480690597,324.187491808134
2,222.19760829066678,228.3759161706666,233.35306527526333,250.544787754533,251.76425731774708,254.25627411603395,257.92940710233336,259.70231500557577,270.97105792866944,266.88466436867367,271.5078703882933,272.47926730525023,274.316333691222,278.2880460786448,280.1037797896076,279.30043604375345,280.7801694890092,285.5580966738189,284.8354917659312,281.6618292801831,287.0748972839705,285.4870934624497,288.80447365812597,288.37767324220863,291.16391757129884,291.567979612091,291.575811101449,292.72811587462456,291.12698829218937,290.7227788967309,295.138136090693,293.7437536717401,294.15106247249525,294.77460240131614,298.7058994884626,295.6572322510768,296.31788191309295,296.740414503156,298.383309297683,298.22949269881934,299.73767766389193,301.25036810177227,300.26241208653795,302.0334156622085,300.26450917834154,302.8390187042344,301.1090377435407,303.96517912687887,303.7798033636368,302.53581150711034,304.63124118442346,301.6796672045347,303.67047508182173,305.28588429590667,306.18001249853785,306.04543097932674,307.032415844873,305.0798339854847,306.65031800734033,306.1460424791863,307.9783563591738,307.286021364823,307.28947208999193,308.26202035883296,307.3915844399379,309.259503004475,309.3849668021834,310.7003402690142,309.49753987839625,311.426259991109,309.8800451826447,308.6018732622422,311.8492324696754,311.4769029454233,312.14281901306606,312.08522312265353,312.03652526561007,312.37425158329467,311.4637022039935,312.46483806319003,311.6868581783872,314.20752775572964,313.06332772980505,314.0812708599474,314.61716629154677,314.16369709968563,314.9425104395043,315.1483720267929,314.39282689753736,315.0363447604054,315.9305107196534,316.30493852473523,316.8623845256258,317.33091231555784,316.99440781457713,317.83144446699856,317.7050546519987,318.39026510396985,318.6054779674947,318.67726344972465,319.3014096722488,318.9896418166958,319.7644128731982,320.74103920789173,321.3451008118798,321.50880611689615,322.0095472589703,322.80077734116253,324.193322545931
2.5,223.95768480222213,229.2133759557148,236.34874794013157,254.55016524633368,254.79858313678156,257.95800262025267,259.8348583839099,260.8285704472732,272.0073422199797,268.8110266959264,272.7190517676697,274.9469464974762,275.76811000071456,279.95307787927936,281.40521391455735,280.3535824221845,282.64792109128564,286.30367415179165,286.7941491815051,282.83438667371786,288.36582364561264,287.71249764805447,290.3662336850844,290.6831397221996,292.6529983325106,292.40231714014425,292.1983719267066,293.90119885232775,291.5377792731726,292.8615449535482,296.5415926509553,295.01485183287514,295.79932473763137,295.64028680814477,299.2968456395334,296.7493459795298,297.4218053007809,297.3734619609861,299.76427010395656,300.1211963907649,300.6600518694688,301.865769708387,301.12832924439374,303.01558566881533,301.3255287227749,303.78320373722664,301.99886897376894,304.6152545455371,304.1393803119181,303.4744629151521,304.87144679510294,303.23478104114673,305.09727455717507,306.4642147037076,307.4811319689054,307.0154792070635,307.5152746565316,306.18534488010954,307.4230826735256,306.9084005525991,308.2067974998846,308.78263760540864,308.1396098861359,308.8898322070558,308.42567272161875,310.16773607626766,310.0947565862994,311.283236809655,310.04515311947387,311.98012417421097,310.4479902406364,309.3231660944932,312.44508697281753,311.930069043007,312.53513953162894,312.68700427222814,312.41189660507274,312.6518679412521,312.4121139813398,313.4598858807611,312.3501782281852,315.1175281709781,313.4430232201338,314.84438153846713,315.24633020547395,315.09559240366565,315.3488924014756,315.4531584786751,314.82889508361325,315.914098583039,316.5302070695433,316.7277652033043,317.2620238594666,317.876821246904,317.552290806657,318.2647870339629,317.9913594243324,318.6951407390292,318.88215097542263,318.79750145406405,319.6444763169243,319.4161529138793,320.0560877842711,321.1402921107055,321.43908276499934,321.8340343855453,322.45628972656203,322.954401287747,324.1937311412041
5,229.2001956300003,233.90145518190494,250.0050912221058,262.1715391763337,263.11388427000026,265.0564135142856,268.81412122397455,271.5392357386865,278.4359116297956,277.011507060202,279.446258729011,282.1057654777889,284.2243198222778,287.36262760670274,285.9989377380063,287.62065895955163,287.63783085179733,290.9333115711309,292.9023038037174,290.664669711007,293.8959505502668,292.68728196201357,296.36928947006345,295.9261360296385,298.7237522351344,297.2605908070427,298.1970868151853,298.48612741025886,298.2062741378567,299.06289192252217,300.3879592353146,299.765101982661,300.9798295461361,300.25219079647934,302.9137739477125,302.02455593315545,301.77584628027614,301.95079733079575,304.81976157340205,303.78089877142014,304.68827530715873,305.91819052026113,305.70621414899955,305.91703579912723,304.8881381144524,306.67247188394265,305.6845523995765,307.1211994608502,308.10545198016683,308.2631383455921,308.4642009182195,306.44987873288176,309.05653206639397,309.82984140900635,309.8639499739914,310.0280646428045,309.808531271017,310.626036376576,309.6363773796165,310.51541187816866,310.7252495382092,311.4936580385984,310.9940066718412,312.1399426831721,311.3810421895281,312.5137994622502,312.6151341010216,312.8738308096919,312.597456967402,314.17337336361703,313.9539176382107,312.93766949924594,313.9681042800362,313.960538130486,314.7022609032199,314.70912354876384,315.1356251955022,315.0914857839501,315.40722712752233,316.2133738620655,315.01647390165857,316.64568846055454,315.7120753623617,316.3961501082795,316.77807559777597,317.06430990335343,316.52300672012973,317.32986640603326,316.6738589422142,317.58815464147375,318.1370404295049,318.0882840682374,318.29248576091567,319.25941170635343,319.0172338105823,319.55646875546086,319.2203558783299,319.99337911802553,320.23604845745047,319.8359126810798,320.78501843726474,320.6110670798418,321.1213830695295,321.9016645048056,322.0456635111878,322.4006364952373,322.91062202794444,323.5205227269832,324.729219855844
10,234.8859410911114,250.0102144400005,262.3871554031584,273.1812600606667,274.6771430694253,279.0877317465544,279.5093166929488,284.2440643909091,285.4148066175508,287.4589318105048,288.4592536705087,290.90258364067273,294.89100444455534,296.1412278532611,295.2396188533545,296.9226204870024,294.781621631311,298.11726668013426,300.6217304817175,297.6943264385348,301.2580210806001,300.44950228414984,303.4542390902938,301.2913122455486,304.5928820989144,303.5518143272087,303.8256576008735,304.5546706551342,304.19545403091774,305.2389763731544,305.18024477885245,305.8917313910123,306.0371289665504,305.8741380842957,307.8051048810803,307.3682284717277,306.8738524916907,307.46337675092747,309.56133227945224,308.6699765018839,308.0841657458286,310.6639068611174,309.6336839774307,310.32323802169816,309.8614972661213,310.1497826919732,309.8643642920329,311.4850917056744,311.2422241374493,312.8375262866139,312.11784298894247,311.51592782266994,312.294618740777,313.11805649626575,313.2357148676907,312.78962106171997,312.9857469732924,313.7764114984206,312.95211533446644,313.27563893042753,314.7178885466357,314.5218135832693,314.307130138105,315.0742224353234,314.88895824271503,315.3303424047191,315.5656691478502,315.33408343790717,316.1324005767289,316.6849352038389,316.6492658096516,315.86857430977864,316.34501926036165,316.34727595334084,317.140216177536,317.1416299169098,317.9234071059143,317.7970493572546,317.69177440956287,318.1574463621635,317.6161084289078,318.4894296131219,318.4314708029592,318.25763870158937,318.7717225128777,319.02547300294714,319.079349594274,319.19844246357343,319.0908767362984,319.335769738285,319.8506409077018,319.9471116778775,319.9247563057121,321.0056482503519,320.6718866492885,320.8027836089355,320.6150788847531,321.2769305283346,321.5597854118131,320.99051943727363,321.8049484812432,321.8973722407113,322.52291616667094,322.7017056283258,322.9740988019328,323.30644410036507,323.58298623859014,324.2102774219224,325.095480142746
25,277.09154499444475,277.19071657619,288.6827561171052,296.4731400983335,294.4895158068965,298.56159057563025,298.5590423294868,299.8598171318185,299.93705975836775,303.76500439461324,303.22767881186473,307.7490135379808,308.214021335093,309.51089469567523,308.638146665427,309.5171477883755,307.9827775616728,309.888531876932,312.4651038580305,311.74686382435897,312.6807833867805,311.84525791395924,312.92113891523127,312.04813386967726,313.7657554708707,314.43397853405224,313.46144155521625,314.07017268290224,313.76445411745,314.52911755391676,314.47855932222876,315.46042513348124,315.0883316418375,314.2790368457472,316.13581390620726,315.66056069380124,315.565560862726,315.7696335538195,317.41436071322875,316.741922759804,316.17727532823,317.88278472379955,317.3488438661475,317.75989303142876,317.134111992567,317.7734026677945,318.024276304245,317.63544546109074,317.24386585916477,318.58694366171096,318.11645722734625,318.46066582702974,318.4905935831265,319.21194823982773,319.50506495918455,318.5735394472945,319.522953876548,319.50526664048175,319.4095111565883,319.21032106065576,319.619163728213,319.9222985779595,319.64583049900546,320.003842040399,320.31207660634175,320.6376761604702,320.449685922076,320.95585981025425,320.5164230579612,320.914677398011,321.07206294160125,321.0147385065255,320.5457356848275,321.2769825118005,321.158059059238,321.40963375950327,322.01310048547873,321.60352962560546,321.67824978655074,322.19453202340173,321.69182218076224,322.17830721537746,322.0963550171585,321.8302503352275,322.05763156581276,322.06329284594,322.094703793539,322.18348628885,322.56504185489723,322.4608273028465,322.31124466957925,322.8787034055295,322.930594214041,323.1671345178905,323.37529876892825,323.4398060658302,323.2324943420705,323.48286748748603,323.592912070882,323.153029290987,323.6030309123925,323.96697869606726,324.29752060737746,324.4592547355833,324.49298641973826,324.5260290088172,324.7154888259897,325.06008339043126,325.766804231621
75,374.00459638333325,357.08163482857174,357.370960982895,354.7769191683335,352.9655190436782,350.38006559075626,348.5422208451922,347.849060969192,346.39147953265353,344.30333519090874,342.86081624957626,344.5893244733172,342.24968636853,342.36388597405397,341.6758249312503,341.65481039621875,339.2890761283395,340.03456215397523,340.4383621080302,340.0995801871795,338.633303238574,337.92366376056447,338.2821538308473,337.38547504806473,336.7594521182175,338.374068796573,337.2189929616902,337.7937436617335,336.159033906331,337.253987222413,335.64286661509425,335.4257843157795,335.8651614680473,334.70618950801327,335.3708203618247,335.3651131204757,334.13472644710373,334.3032962966165,335.4069663250625,333.456095557867,334.7469355186947,334.63974009669676,333.54934860871725,334.789689376925,333.9746411746057,334.09654477248625,333.71725028911277,333.9169489863837,332.6931125025305,332.9628894932838,333.15676905075776,332.054874581489,332.25280958154326,332.47572657518253,332.38971022016773,331.964917486027,332.36864828025324,332.92675817796646,332.02809545396303,331.52582006669553,331.2856304110762,331.85276387990126,332.11806066180975,331.5886406349765,331.2986414781708,331.12151223332705,331.42430054289423,330.9339769974975,331.23142506338075,330.8843875109808,330.2738389115595,330.3950370740855,330.597687909877,330.7107159497255,330.7864011327835,330.24042775597223,330.25059399233726,329.91022745784903,329.90841035972153,330.2314862455505,329.6100158734482,329.79418052459675,329.67560255743575,329.69227382290825,329.513040091335,329.438984796335,329.1260381318315,329.05011154958004,329.0193670699755,328.8821665252698,328.37790038552396,328.82014220867626,328.68795770206424,328.626336785028,328.5342370061958,328.3184361821678,328.079853761302,327.778867937717,327.92578296326025,327.45490789562723,327.7126605851305,327.650039324548,327.458273449031,327.42616520155195,327.14862082835873,326.8861077412195,326.7053986693278,326.5577529656,325.821801770538
90,424.3935239644445,407.3998427828573,390.9779936168418,391.535972241333,383.2202139848278,379.05807381512636,373.5081806843595,370.658446935556,365.9859663915104,365.2826424876772,362.5100766262712,361.7560124736535,358.8894846910556,358.0129160216935,358.0049764412662,354.86633727753457,355.1984281911111,352.5046257252408,352.32339983872765,353.5302417364466,351.8042022501087,349.4266820196183,351.38566083452343,350.2494947114067,347.9997868897792,349.8492663064233,348.3492661147998,349.1289525705173,347.0528044361431,345.8147389163132,346.7216393452127,345.8444705054696,345.8076459015529,344.8419949526305,343.9120144327375,342.8395549258759,343.11020867955443,342.21709239321183,342.8957800847891,342.9718604035201,342.6732594092277,342.6289421211394,341.52888657968475,342.7056009752381,341.2241236621077,341.221842809951,340.2403175126885,340.5789737884177,339.455948181741,339.8070843842832,339.92095568125313,339.0670172454378,338.51531154068,338.4704657079073,339.1845267531819,337.8568264277343,337.8174297161577,337.7402806993939,338.1684154479128,336.8695718208285,336.5210412063392,336.8418944424505,337.11693665807405,336.79913404157236,335.92905898332646,335.87532732575613,335.5904414493998,336.3897412432018,335.4909589954693,335.722415968365,334.1623296841879,334.3573532893783,334.3439024347191,334.6246123557252,334.68729613956293,334.27549479678595,333.9890482173433,333.6200694157806,333.4037201277578,333.439592959245,333.4243424631854,333.112759657191,333.3616067147082,332.9716076656142,332.5911995186613,332.1291960959987,331.5515438681625,331.6568117203178,331.7876248358458,331.3707754098171,330.788747552664,331.19236585904383,330.7934268660924,330.6590987664992,330.5317497450902,330.428108153215,330.0846966553363,329.6427774917793,329.5060419906473,329.1641201196954,329.0669621710713,328.8734232081343,328.6250513369416,328.3512570619078,328.0226385525551,327.6407340642433,327.35780764421247,326.6418900798641,325.8458530572673
