,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620,mpd625,mpd630,mpd635,mpd640,mpd645,mpd650,mpd655,mpd660,mpd665,mpd670,mpd675,mpd680,mpd685,mpd690,mpd695,mpd700,mpd705,mpd710,mpd715,mpd720,mpd725,mpd730,mpd735,mpd740,mpd745,mpd750,mpd755,mpd760,mpd765,mpd770,mpd775,mpd780,mpd785,mpd790,mpd795,mpd800,mpd805,mpd810,mpd815,mpd820,mpd825,mpd830,mpd835,mpd840,mpd845,mpd850,mpd855,mpd860,mpd865,mpd870,mpd875,mpd880,mpd885,mpd890,mpd895,mpd900,mpd905,mpd910,mpd915,mpd920,mpd925,mpd930,mpd935,mpd940,mpd945,mpd950,mpd955,mpd960,mpd965,mpd970,mpd975,mpd980,mpd985,mpd990,mpd995,mpd1000,mpd1005,mpd1010,mpd1015,mpd1020,mpd1025,mpd1030,mpd1035,mpd1040,mpd1045,mpd1050,mpd1055,mpd1060,mpd1065,mpd1070,mpd1075,mpd1080,mpd1085,mpd1090,mpd1095,mpd1100,mpd1105,mpd1110,mpd1115,mpd1120,mpd1125,mpd1130,mpd1135,mpd1140,mpd1145,mpd1150,mpd1155,mpd1160,mpd1165,mpd1170,mpd1175,mpd1180,mpd1185,mpd1190,mpd1195,mpd1200,mpd1205,mpd1210,mpd1215,mpd1220,mpd1225,mpd1230,mpd1235,mpd1240,mpd1245,mpd1250,mpd1255,mpd1260,mpd1265,mpd1270,mpd1275,mpd1280,mpd1285,mpd1290,mpd1295,mpd1300,mpd1305,mpd1310,mpd1315,mpd1320,mpd1325,mpd1330,mpd1335,mpd1340
Low,215.08866134347744,219.301455738095,224.59497273736844,226.96591100799967,228.05047062684983,229.84707759366606,230.95693798490382,232.47978790793093,234.16598305060455,235.13824858439145,235.00923093269228,236.25176369777046,236.5319650462014,237.18635437214766,238.2421406544638,239.136043197124,238.69847023377093,238.78151351645113,240.01601719841648,240.67624780154372,242.04323254304546,242.58200227364912,242.0918321014484,243.07031647657533,242.53029233572084,244.02804104900804,244.4126428768707,244.19615640866368,244.46685245386286,245.36100404351177,245.6156027671969,245.24290752279134,246.08391714974445,247.06254009268852,246.83941647254517,247.58959739170106,246.6219585177233,247.73033590181674,247.61326275989168,247.4552566275807,246.96878448252752,246.90954514748054,248.2650167063317,248.90687587139735,249.02623413014038,248.0832363822286,250.07390311725183,248.27004679452847,249.6846286461904,248.60304460231876,249.5495703775749,249.41327349244088,249.86277009868735,249.91745851050402,250.59819362009247,250.07763892033773,250.53279381493573,250.1578393142756,250.7483080646833,250.80566582007773,250.934086997586,251.21428966181233,251.58057210633046,250.7018814714938,251.85327828581723,252.78148778917853,251.2924566865509,251.5339237930098,251.5764406499077,251.3526059133734,252.22429467690029,252.15434952789195,252.2106961440606,252.23884482299684,252.65988841877257,252.2721773976754,253.09163271563844,252.68827942271722,252.00429988460752,253.35255953907205,252.74389008303086,252.84048825505025,253.12095912507996,253.01646341979304,253.07619072403418,252.9292648270833,253.31811791060693,253.55969802628653,253.4513839654684,252.70164972318412,254.33872212456458,254.11338487523173,253.83016699839055,253.9670517762366,253.51289319204182,253.75256341109295,254.70695444958986,254.45150445792862,253.7464132553827,254.28611965142073,254.4930178315587,254.646689760003,254.77559902724087,254.95526619777112,253.7678652978866,255.05558100866628,254.84391302567485,255.25550901320608,254.66913416211176,254.98046980369315,254.67140474884923,255.38875968155065,254.83852394704383,254.99478803514478,255.26997505996852,255.13677643543102,255.58605144573372,255.50387873468023,255.79378064204852,255.08159970910543,255.6569048030373,255.70492677799012,256.01244379576264,256.03795066986027,255.49061082609384,256.16662154508896,255.98691870662935,255.77901286076903,255.79093838633437,256.2258485842911,256.0208254042706,255.86112037799018,256.37653663896293,255.99072635742496,255.80812215619034,256.31562548458413,256.6344076762781,257.0303975538957,256.9417448605946,256.10803963992043,256.9810036143081,256.6590857486064,256.83175849898146,257.3243531173819,257.1342316679705,256.8188093877646,256.81296463523074,257.0773569474423,256.25983565613205,257.44304158853527,257.0009547248252,256.85840767627354,257.5848099419134,257.3226728654003,257.18689667221645,257.6953817706742,257.41803711154694,257.7573514124651,257.96132052922405,257.58253051142265,257.8746881321903,257.5169642756876,257.2871856358023,257.7809807730778,257.97164871375014,258.2025821430968,257.5781790379083,257.92234382445565,257.957637827421,258.21892118227925,258.25855801747474,258.0780328187382,258.1500152429767,258.21551449819503,258.38828499031445,258.16180018835087,258.4265863748734,258.7046291061168,258.682279390597,258.0402530832096,258.41073505931007,258.3036808254755,258.43534929230594,258.4371798137406,258.2876944852917,258.75555168346006,258.6826110417703,258.2060618505045,258.8643723056448,258.57801521379497,258.89965969874015,258.8267836555567,258.7821382085585,259.359888335254,258.6702409971387,258.8977831015821,258.90211785383195,258.9768454934951,258.82013747117264,259.61430805657756,259.1663798818448,259.02228512209325,259.13121992551646,259.5376297528632,259.1700415302193,259.4412769004862,259.26055072051344,259.72037306222694,259.71075307661727,259.9584500886987,259.7227127704888,259.9190926038455,259.548515386828,259.9987606091091,259.5200684632794,259.8134640421352,259.9516351589366,260.1015919968991,259.8873804192743,260.0143745628542,260.0266059288375,260.12908887348317,260.2641539707265,260.0839136390068,260.1370889092283,260.27454490617737,260.3167637153058,260.55531921723957,260.3199124654263,260.401988630328,260.5209614987349,260.59802608251596,260.60421944422757,260.7116312669297,260.6624012264594,260.7914558972157,261.0407128253117,260.65752661337154,260.8468044379019,260.9450496703164,261.03828854094655,260.92676708627164,261.0942940802309,261.1270143913598,261.21702808180873,261.1206673978877,261.11195493442887,261.4057669312122,261.29660486263776,261.3204953196135,261.35286096422453,261.7223765369506,261.6031035490239,261.9214393766177,261.7841388032165,261.9659909160163,261.89077446984686,262.0401324261705,262.01266098850203,262.1222621585018,262.3492765448314,262.30090209992096,262.29079379144787,262.43734478952126,262.641690243347,262.5912763263211,263.0495349573448
High,386.3004295045554,345.1372683186073,339.7248327296471,326.7120215468336,318.62630547354206,312.9482498960825,305.4645060903021,306.42761905081954,303.26339983809635,303.3329391649578,295.5101829562697,299.08762435684145,296.681914089715,298.0243373152873,292.45829331568586,293.29866120541243,293.46775157715285,291.39766150794435,291.7784614149253,287.5424165000783,289.92965562259155,288.36522993705546,288.7540103943964,290.1611392132838,286.82524505816167,287.4114088677086,285.8807408571737,285.5059090880363,285.7081382499709,283.4314431763636,284.4071849745769,284.58975989167897,283.79393472687576,283.8853559647566,281.5786006012752,282.0635333166235,282.05936561869635,281.867228033075,281.9325021241539,282.89888393601433,281.4242482895199,279.9185695693923,280.159031673539,280.52448784370614,280.05040025701885,279.22218120026014,280.41801208775803,279.70467052989017,279.0344890067529,278.2600722898999,279.5037850479449,278.21344236210837,277.6995759009267,277.78205481034985,276.4954727640595,278.55163944840075,277.5307462454491,278.69703290414634,276.2865020879015,276.81890291508165,276.89546426936164,276.9642628711847,276.5153446123948,276.66618783359985,276.3865766106212,276.47696431919593,276.7568922912642,276.6156179976655,276.15534119920943,275.81662673401223,274.9440962464935,276.2873720229283,275.6969915008145,275.0059750332864,275.95639977263636,276.15167277290516,275.70087968068896,274.802797380464,274.4660167252328,275.00634233931316,275.44285558067594,273.82719197185577,274.8668780405439,274.27598410306837,274.3182949807102,274.59970299571904,273.6278297553453,274.47372094943546,273.99189433432605,274.13674448535517,274.5967544747053,273.25259760630877,274.3510097789269,274.3446506687019,274.1130716042096,273.35390796851306,273.18631371443075,272.9017367593191,272.5513046163572,272.8535831063431,272.4985846850407,272.4753261959987,272.77559362641927,272.4696102605698,272.891172093508,271.7979132061664,272.622228514329,272.811849095259,272.5270634054302,271.8497416144481,271.86096467413523,272.6374736016954,271.84830960955964,271.63032837662143,271.34025971908676,272.19337201844604,271.4415888703342,271.4271557783797,271.9169165940839,272.12974097132553,271.36850458124604,271.2824518296166,271.12415211623266,271.2240998363764,271.8519204400155,270.78713517482004,271.3205732679525,271.9034552522673,270.4888789877601,270.61552088125035,270.8223682744883,270.6992216172287,270.7284406449892,270.85662109107784,270.63690231253366,270.55418872361207,270.47082056787684,270.2888940755131,270.0995951364317,270.66472292930456,270.21201667790996,270.80118435229576,269.9488029275758,270.50879486655805,270.20369738136344,270.204718781825,270.0389901747247,269.72748964383317,269.53252604953155,270.2232908948724,269.7703705772415,269.8702142286883,269.3911203015772,269.6104965631987,269.79255373417834,269.757549527413,269.27042359827766,269.76414012647075,269.1975901311065,269.0200311600177,269.05949287412943,269.4276613266496,269.2239451483853,268.9366557646545,269.2133134331094,269.22528305037406,269.1323160995619,268.92589179636195,268.93851959594684,269.27355789164056,268.754393785318,268.7238380550778,268.51606726509453,268.5267966751254,268.8320949275679,268.6878654786897,268.6399586463363,268.8478873669211,268.52563410922755,268.3932469772929,268.2211015873779,268.3961088891619,268.1295190746826,268.089545753981,268.51729946020214,268.13663162038654,268.05615591887744,267.74770504042976,267.9218624569399,268.07644193139663,268.2488247670362,268.11859499352636,267.71930849266175,268.0437963028958,267.94285154985886,267.7103086517932,267.6631289262473,267.7101483611842,267.59771348322795,267.6548272570587,267.5494667113692,267.3878003318117,267.2889769953714,267.42787511404,267.2376866215007,267.0868174755631,267.14537284705585,267.1641772959874,267.146148290927,267.27992830673884,267.2973463574422,267.10708463747693,266.9486154582601,266.73566326338107,266.77578515493764,266.9238624805424,266.9898904955806,266.75795105825716,266.6898539065552,266.8642097683177,266.7286920020673,266.66413180884877,266.61892272835036,266.62590947919966,266.3852735496539,266.40398994993296,266.1730040230659,266.4720872134767,266.3356379284333,266.3283469453338,266.3511298112154,266.2309831630585,266.1223602692797,265.96415721243653,266.13984137446823,265.95506262804497,265.9387281462209,265.79507782799504,265.91414634836616,265.77486632225856,265.78899415971256,265.652805088521,265.62507057257085,265.59846744696955,265.6163555951227,265.44771284833286,265.44393602013787,265.43431874646797,265.3675892789358,265.1754522319176,265.3414313839713,265.1395753330714,265.0900557162432,265.0015337903095,264.9207512244358,264.8514184234074,264.7919586505709,264.68474183962076,264.5827888948069,264.5138341049696,264.4275887083536,264.3158569523892,264.2239564133978,264.11029986166454,264.0153728306601,263.90820097747036,263.7760286744691
Mean,265.7141062730069,261.83749859783825,265.5996374691134,264.28963664120613,262.5250645713759,263.91366450696523,262.81354652999477,263.8135711849739,263.6531950777278,264.581316719377,262.76196172742243,264.39085905701586,263.4384784114345,263.88530960339267,263.4121255359419,263.8802994004751,263.18592362820976,263.40849306253205,263.1001140370595,263.0804108955263,263.0171573356764,263.37589644782054,263.60000899262343,263.98153936702414,263.39036248329046,263.2987213150404,263.8615227756017,263.6090882882069,263.8647413118808,263.8031335621266,263.4362958792262,263.6431156260745,263.812573958957,263.8008923965533,263.3807636628617,263.3757386162581,263.76137682310645,264.16074322296447,263.6594626392689,263.9336426563993,263.6472970766298,263.2823739905416,263.75716796877714,263.5369277428142,263.4787635660896,263.4934331784278,263.56981803432956,263.0938889720031,263.887103529808,263.2624562013446,263.72069587569075,263.63892700634176,263.4231976234629,263.8059344776187,263.71562494115915,263.4651406202153,263.8673227322425,263.77784174169136,263.4236551041724,263.8245287100238,263.66858079012167,263.56015114031953,263.6912498877084,263.26202930870204,263.7515638290902,263.7717905319975,263.62046270706537,263.6642863000969,263.72685448544746,263.5210648896224,263.7162583831444,263.87051397814844,263.5879355250289,263.35495415084546,263.838557350963,263.63497945158116,263.7289897767246,263.46105468849123,263.0521194686884,263.6468064684129,263.4900682894195,263.6691073776732,263.666216388562,263.76978057074155,263.5357903659078,263.5219655269165,263.7174480699946,263.71097615231236,263.6252808669089,263.53186009953106,263.7515232582699,263.67371808260344,263.5746706201294,263.7184682496784,263.68437151691245,263.4087799710868,263.74691521983164,263.57438016165617,263.43935289652114,263.38089103440217,263.29317530120164,263.3419552285657,263.59149957210025,263.56560546201297,263.4315030221343,263.51637954991673,263.52509648574255,263.5970816093399,263.5216751819075,263.59075293582157,263.7373213536873,263.80405708280273,263.5203719507798,263.58095278551934,263.51705536705316,263.651305852027,263.5055687854696,263.63246420774794,263.83219290623543,263.584976664204,263.5159571554187,263.57623446112115,263.55958329247403,263.61651476750393,263.53306413366414,263.45586688735875,263.56614465212715,263.62882104044405,263.44530827932107,263.5458930214204,263.6396696837712,263.4034436903869,263.60001332836885,263.6037118792954,263.4678973813441,263.62844464007367,263.4999311956388,263.625481132817,263.56941022780126,263.5545924820026,263.8027479583677,263.7431879006586,263.63248827136647,263.7867727970015,263.6497294755654,263.57537905770636,263.62695451677206,263.4426676585644,263.39189957054845,263.7959730799358,263.47045536043254,263.6207815225275,263.63800917201104,263.5680927573952,263.53954159373603,263.7141371359715,263.4168481776645,263.5826012417876,263.67834256283425,263.79583405246404,263.7077280919133,263.7631339383943,263.4764647796446,263.61211744352136,263.595086492887,263.60706809487067,263.4694057548135,263.61888642618493,263.52176958438145,263.644718339646,263.537462931729,263.5245115327665,263.57444587663315,263.52685093018425,263.5972195598743,263.5714647406248,263.45447270542155,263.64520199919406,263.5026086309126,263.60439039008,263.39468036710446,263.4885082276416,263.62251079140793,263.7119008158216,263.5353869981888,263.6073687801395,263.4905371430808,263.51435136437624,263.588439039142,263.6107405502271,263.6071338713542,263.5398453739433,263.5714727597427,263.6954698982667,263.53416555558147,263.5551380414331,263.5847888790263,263.545259510546,263.502341825124,263.60361110628196,263.5468992192482,263.6205884609752,263.58889584528737,263.6347306863364,263.503780018538,263.6708314011958,263.6257869323774,263.6616649698792,263.5956924922776,263.615403655595,263.582758173174,263.60300243003735,263.5971628879446,263.5562899075622,263.5986049002891,263.5860589067501,263.5791217464713,263.65233887354844,263.48435740909713,263.61355225253595,263.5992480523652,263.53660243795645,263.599369339752,263.5998882075426,263.56831029143683,263.6335978975531,263.60698128201307,263.5479875652463,263.52519012325996,263.6420439660716,263.6407291001793,263.6280324315239,263.6265151451312,263.5766091745987,263.5358967859503,263.5873015230033,263.6323125708046,263.5012908619236,263.5879845451218,263.64065926684077,263.56159793878135,263.6194394719551,263.58579498438144,263.5719250406685,263.60295112264924,263.5472167884642,263.5479834904575,263.61504684620934,263.5757452032438,263.56854615565567,263.59168119296527,263.64260859176363,263.60968083215516,263.5749539118568,263.5718930917854,263.6496735144418,263.5749522558475,263.57873528627516,263.5880263052953,263.5795238336473,263.57986100680006,263.5812252088181,263.57872132103904,263.56749870284364,263.60403993085106,263.57633145617785,263.58319555598786
