,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395
0.5,173.33473195877824,181.98069215580972,197.7373997637633,206.81073335490032,207.028201917816,208.87269998797868,214.16388070873452,216.34816689782167,215.40719708216324,218.27702447200792,219.34349362465127,219.7732201889701,220.81960208082094,219.5324922515985,220.98849427713233,220.91186154334858,222.4773486998979,222.45920135648598,224.60542072306603,223.32946001513957,223.51710686475874,226.1071240639811,225.3973667829704,226.66925108740875,226.3760224459884,226.65533124607376,228.45255818542597,227.2612080348016,228.46691687928458,227.4633569814828,229.94606471191312,229.91597569146856,229.88606208203186,229.76832651149005,230.3919954509403,229.58909746016735,229.80313268887522,230.30429135064716,231.75966914093283,232.01571550407422,231.74644328432936,231.34209587682832,232.62678124269644,231.4659217045808,231.69559933299894,232.96981398577051,232.753673783109,232.38449227646686,233.15028824230382,233.1162609627663,234.26831570572512,234.3476641843278,234.78136766553166,234.42197627896238,234.38874473370018,235.20072971140885,234.87599322705404,234.87654328860967,235.26409687010582,235.917373634313,235.99059169244748,235.73300911063515,235.46762690793022,235.9481389410703,236.79521653238223,236.854747867819,236.6790457708546,237.87898980948964,237.78318493405243,238.43652385361733,238.0403413741119,238.2956246879932,238.6017920688859,239.31437754693422,239.45130011290564,240.52203970928798,241.00287265332574,241.39455280536893
1,181.90529505199956,193.7658688796192,201.0433669129476,207.30089789742567,210.54082005671307,213.38594656230808,216.62712699942708,218.28249100834952,218.01730937493025,220.2106218151596,220.48544020043326,221.88058472439545,222.52919301739985,221.65512478929,224.1115353741548,222.85288912898753,224.19592068051165,223.90861065474022,225.85534514508922,225.71452524425183,226.52230614737462,227.18721868402423,227.74261723090152,226.93736114056858,228.04703108602584,228.33170439832043,229.37172737622487,229.44773064201064,229.18696685289873,229.31981742301625,230.47452308969227,230.20914037661734,230.89316706150743,230.6973083707688,230.78268585778923,231.06725172458545,231.28174334335486,231.35660274074394,232.72138176030487,232.26036627705233,232.55752241821986,232.8472497676236,233.2942046447358,233.27297340588316,232.41480950282173,233.79192102597807,233.38361063596616,233.09082957006885,233.9473683711171,233.7523986627746,234.9814074898713,235.02966616227678,235.89517075012517,234.7602567329753,235.37584511095204,235.71331763400013,235.56136754209166,235.38290687947907,235.80238127354488,236.38246723274514,236.63160356945917,236.92003505523297,237.0372377377957,237.55451299097516,237.38026006081478,237.55046843934767,237.32705850804976,238.43843807881427,238.06283037384836,239.0492115507827,238.7014422201413,239.06650172757986,239.184046700377,239.70225480878625,239.70777354732527,240.9660938270224,241.1431423775141,241.4308637744475
1.5,191.69816537266635,197.837089431333,204.4920436280789,209.379139799533,213.72251150241354,215.55184600870632,218.2897591963691,218.7914006636972,219.02569744140098,221.16118260301246,221.75275880992575,222.96028870549807,223.2391381296617,222.95621765195256,225.23586064090844,223.79106513847978,225.34907003127273,226.4129342598717,226.43301462113448,226.27047999313854,227.33220662058847,228.0511198174103,228.5942276798524,227.50444489036434,228.73980196312544,229.01359670888436,229.9400584492231,230.25095579180845,229.55524374389282,230.02537403861373,230.76641476925394,230.88129863060973,231.32268159877077,231.52030320447244,231.48527618876574,231.6695670691863,231.6645139319316,232.2732858253866,233.25818358640993,232.7113733095128,233.40194637191914,233.16333410595348,234.1045193662451,233.95506110031272,232.88303410593466,234.0330565652196,233.98156011647853,233.65340904805015,235.03390006890152,234.22236573958767,235.19436128186845,235.41192773941756,236.125543552039,235.38801236536605,235.67846587606485,236.00887002281377,236.25373667876246,236.19606196293475,236.08185175431367,236.9017926630934,237.07806978028415,237.27543694287203,237.34531254025705,237.89944813694146,237.91849970892105,237.84075145527612,238.0236605843136,238.8632534402701,238.556013966684,239.2809031903866,238.96543073911764,239.36805615943953,239.3635537540037,240.07949846896017,239.80785086302825,241.05544164272538,241.25548295688301,241.48519875485988
2,193.90260383137746,198.68437101295277,206.94862893378908,211.1518978765483,215.0317460915401,217.2803935736355,219.17639222352128,219.37728903179757,221.04266940513693,222.10659920994354,222.7335681363297,223.88602538553724,224.85695325347757,223.81642983597862,225.56437367451878,224.35891095650635,226.1095722181091,226.70252680298276,226.9963704034055,227.6129065426357,228.25349075735795,228.2912014434993,229.33514930462238,228.42489438492268,229.24760734325184,229.45729941583855,230.6305217537203,230.55524694363064,229.830481693073,230.9716085126187,231.36833470723576,231.2426195012181,231.67092213416097,232.03595399868792,231.90323582211596,232.54274857358317,232.25169603422134,233.03654595204918,233.60593496072053,233.05059196801338,233.96023049487343,233.4886230194334,234.27507246913183,234.0650698143087,233.8194258972187,234.54986901685734,234.28178012803883,234.408625924055,235.30302003053896,235.0592505950569,236.04949545375513,236.05349001076615,236.38813923650793,236.0122571020848,235.9794337725645,236.3557222243327,236.835546694411,236.39994883601784,236.60689825299744,237.1427484397088,237.28273835499385,237.5803553635641,237.54567606691546,238.138165041268,238.206926098463,237.97123652937765,238.25450496077394,239.11579281568436,238.92614285356584,239.3911861514382,239.0332211350193,239.5506980530157,239.70630248972074,240.41471574746353,240.02803919637034,241.14779088949686,241.31051721831366,243.17993466267276
2.5,196.36939825891108,200.86284393267118,208.70870802437594,212.71875116086468,217.11988757052728,217.94001513941186,220.31732150860802,220.655656726258,222.31968489023842,223.00852203675063,223.26063933685325,225.0446628114903,225.51415684235386,225.2808756063361,226.16209109563343,225.2002226366024,226.78313570917587,227.3651258211225,228.11410584906108,228.08935857648336,228.90468463890235,228.83194881518787,229.80152453472084,228.92522747480305,229.54958469578588,230.0003844435624,231.2173123333942,230.81603760540597,230.942915352844,231.45636353653458,231.8829693726872,231.99603258158123,232.06364607710532,232.30400293068877,232.43738052296035,233.1316522363858,233.28712427572157,234.0112435350288,233.85267995141146,233.57105292049988,234.35943802931928,233.91511494923063,234.51699438284638,234.3980583830029,234.07834524737171,235.07497080235157,234.54163902872628,234.78051311729843,235.6908086838874,235.60793695199828,236.35706849493803,236.57250040107365,236.8075852396729,236.21468643862204,236.29268387638385,236.71335670049112,237.3589239085993,237.1811286163876,237.05885600386983,237.38746406571104,237.6526594149924,238.08932631182722,237.808014664619,238.2866926768041,238.49011733579584,238.26900534887508,238.70800146246535,239.3135216798938,239.0173962805236,239.59637831665896,239.1817124489068,239.63707895559398,239.82712617807965,240.72840512793164,240.89101100077104,241.2667068579444,241.39742926252205,243.20134396724617
5,202.86931849555535,210.6705972438092,214.82252256078974,217.578135186,220.99732557723465,221.429483159664,222.9806799268593,223.69919899069941,225.59439605663525,225.7943761259024,225.5860759205654,226.87048777980192,227.91128851693415,227.7153499929378,228.2798885699222,228.2454415103906,228.68410401868405,229.6589072781593,229.88618593472185,229.6151233796194,230.5034550511121,231.01538318541245,231.2602061124339,231.5827001033165,231.75164733955975,232.50862212487033,232.9159715305113,232.7523797476631,232.93246214237362,233.18618486649964,232.9826790927022,233.6750023902384,234.00272715851267,233.6019062390825,234.13805680148076,234.2934679690208,235.1575714050397,235.48810059433924,235.12109566511998,235.04816324784187,235.74326045283345,235.16997896324415,236.18783137922466,235.55792628499515,235.69886762723957,236.24207365211433,236.0440861408533,236.17943234637792,236.67680179762215,236.9747294158619,237.4083319894878,237.7170613069454,237.8062194408833,237.73371938098649,237.5086703294827,237.64753139585133,238.3438298461949,238.31050052835377,238.1270478064421,238.5703320226443,238.64079005885225,239.01951692943263,238.9667359960747,239.10922157676453,239.40493859154097,239.2833315122206,239.63231215223598,239.84478065463838,239.7057040058779,240.2350485845289,240.21443310282123,240.24115012007044,240.8423532012764,241.2284528583909,241.3732834365604,241.56474096057207,241.6674133365724,243.27324200317327
10,213.8111259466667,217.713560434286,220.66762097315802,223.8783416746664,224.5221512901698,226.1643545011761,226.5074495019232,226.5709075084331,227.9589577771996,228.7405796058249,229.3819557537212,229.6030775706385,230.55678953439718,230.9279702543286,231.2631607700067,231.4486192084589,231.0322749644673,232.2756203656501,231.953026769849,231.8873400526485,232.65286002241842,233.2519984624171,233.3243507871275,233.35013181089232,234.19904808998808,234.6610253582989,235.0952491094804,234.9417769536306,234.5493965286062,234.9074296992122,235.15622538858432,235.9046422572107,235.9084862665496,235.8620918855437,235.9110240735859,236.31547022306052,236.77396816901592,237.1836292619974,236.8739393571622,236.8917195691926,237.1767777099823,236.8317876694964,237.8087095402345,237.1154748257663,237.28878763704762,237.6014196955976,237.7657100864557,237.7889773056693,238.0126879994399,238.4354037955028,238.6779631076047,239.0040741928183,238.8494020474822,239.0488227903058,239.00630933696732,239.2597021000336,239.5620472259259,239.5778174424156,239.486380983101,239.78663109790298,239.83093315483129,240.1214389657508,240.1356727130893,240.0696237325902,240.2784181583379,240.18918626390783,240.5441481217742,240.8867406814661,240.8548189523236,241.3100727090293,241.3182762164823,241.446347246107,241.5630723152216,241.6629185918132,241.6967244735699,241.9049406163192,243.0871670755691,243.3107410693436
25,226.15862798333376,229.30332728084025,229.73144862368449,230.775560128333,231.31669833850577,232.85240286401478,232.33693282340852,232.78775350420173,233.50794837183676,234.05492451547775,234.10064735977772,234.605125735423,234.91556933821374,235.1145857144955,235.58485069728948,236.37026988213174,236.3946434718355,236.477903938216,236.944272060287,236.6753868303005,237.1448692411845,238.19944723566198,237.51016927718825,237.559144244503,237.97840970993673,238.718587908892,238.68065731746626,239.0149141032215,238.98000228755023,238.75127046069102,239.05356409849975,239.55156766649648,239.400151669929,239.35112224737375,239.2409769712575,239.6239677938155,240.10525596449327,240.1350288200145,240.17363946864674,239.77651265845398,240.09582357381575,240.20676614221327,240.3013316555885,239.868861348829,240.2994129792715,240.37076314109026,240.44084604773275,240.43556121693152,240.93085990748574,240.745697313583,240.92086972067875,241.03667349084924,241.13505019919126,241.25937892845624,241.22588327000673,241.3927158582315,241.42217924898625,241.47542527011473,241.35586036230026,241.596778758724,241.66751503049326,241.68108490102725,241.968680064724,241.790927858493,242.04329033360125,242.08519190590525,242.21026106037124,242.25653613129575,242.18712564442677,242.3947236498505,242.417213938809,242.44865347665325,242.60744859441226,243.016787499344,243.2195715680195,243.35560981074798,243.37541052245325,243.40099207166952
75,246.493661564111,246.841222142476,247.5067307209515,253.03851504166676,257.2647566507997,258.466879416602,253.53120251025598,252.94681589985876,252.379149061612,251.82544938332774,251.04157283350875,250.63115432614427,250.842665441789,249.5205937374285,249.65947934480926,250.38756825370723,249.56544823118276,250.00468863078027,249.48686536803075,248.72938719158725,248.92482757757,249.34108154187925,247.838182334166,248.6017433382895,248.34210214179723,248.37443021548475,248.4465157069605,247.687164948094,247.3121714345865,247.9535781141725,247.70336837515623,247.97042662373076,247.99186505188476,247.33228086880175,247.205151750421,246.74845287,247.14960236345001,247.17956862208425,246.915138091734,246.832847584851,246.8264895963735,246.84397968468699,246.82281310931847,246.14114821944048,246.628818412404,246.64159455837225,246.056799507306,246.2399151802985,246.6254312281375,246.10627359354774,246.2118536330475,245.98870177924402,246.10596411171602,246.13876153137025,245.84026556748273,245.986814609937,245.94945712915302,245.50986604845625,245.5541388303015,245.6385935195795,245.57328594057125,245.14412962791602,245.31866966200826,245.2815816994705,245.32638069640848,245.11037132164074,245.10663474249424,245.01671435022325,244.901787388266,244.84621143780623,244.82721470238374,244.614585117534,244.5078847933535,244.346683666782,244.16066941551324,244.0109206681975,243.82626539645975,243.657016557951
90,274.62609418888945,290.87724209844544,279.69772679368384,272.0584739760003,268.5106231928202,265.8505385821916,261.3704615957534,261.2121954048484,262.84670939102057,259.8170081423677,261.2924659908267,260.3777126697618,258.9784280037827,257.2587429983584,257.5719231737675,256.9278780449905,255.350081999556,255.8239587417137,254.638319464409,253.54299605230452,253.9997831742531,254.453227909525,252.9950040507078,253.70342089407302,253.2080964724044,252.9109635234612,252.6465775795548,252.2695524263207,252.5290125929104,251.97999284440758,251.3585178961983,251.25335823344543,251.13814837726,250.7133729726132,250.4272215673376,250.4820064775516,250.9503016077308,250.15368513205948,249.9027194328354,249.9672384381796,249.6539201377555,249.81418251301793,249.3234600801432,248.8485613696464,249.0311510323863,249.1659185314331,248.55370562796801,248.4692717763719,248.6811107051729,248.07437217432022,248.3155943146963,248.0834348981389,247.8745223640266,248.04653506649578,247.6350570535595,247.578249678412,247.5374419948865,247.1342936443579,247.069874709434,247.2174134578568,246.936229616986,246.54375954191352,246.4858317365122,246.31869963775299,246.27301904343662,246.0290699227096,245.902204513389,245.75944631235,245.5136706440783,245.3991847717895,245.3176882226314,245.1034432008207,244.95406998232622,244.7147471829739,244.5024162751603,244.2989621701634,244.0283850138122,243.7399852813665
