,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395
0.5,794.5280764449999,1171.95552603065,1463.480983595,1778.76022372435,2063.9302176383003,2366.743633585,2580.08913469335,2858.7683787457,2985.9280828833002,3254.0911906092997,3527.424963015,3740.6302443,3886.783998937,4295.8464767972,4453.61081471285,4656.9226582653,4835.8432199186,5057.9116579907,5254.7357527495,5466.8723387766995,5755.89770275905,5821.434629535,6152.21563327455,6297.18951134105,6455.864506032201,6635.70218969045,6946.77499779315,7018.59903455465,7190.10232793065,7500.03306996905,7622.2157379512,7809.49730288075,7939.862505532001,8066.10984102905,8417.27819850455,8489.1422783601,8778.128939558701,8967.9445798131,9104.12750544445,9214.2024338393,9410.582393097,9616.86348951785,9712.99482333565,9960.287438542351,10131.361398499399,10292.23330657475,10358.79672759375,10560.12733961825,10751.074466211,10946.86447897225,11098.720677235151,11281.3403933047,11472.59730921935,11603.810492694549,11811.69052869095,11819.29402609725,12064.0941561272,12272.2805553921,12409.58910354,12540.060240455748,12728.81596758285,12897.49711658815,13041.91917621775,13182.63409125815,13341.61700716935,13482.23638657595,13599.175207265,13797.720907015,14033.3412011903,14181.2269079922,14305.4742663373,14427.1935388297,14662.855032290001,14805.76578957455,15035.0147788,15187.03973022,15374.619437305,15613.85782918
1,837.02916727,1201.25014665,1487.86804399,1836.3627896203,2108.54599105,2387.0372740692,2623.4438698097,2911.6376617534,3114.3885399006003,3322.30799335,3607.1288446597,3811.2959559887004,4062.6045761576997,4320.2548396744005,4531.121140020599,4791.8968781503,4933.3465047697,5154.4937203387,5354.0476773153,5580.45309899,5801.8658103722,5868.5829281782,6211.4957853213,6390.3048019287,6525.430587660499,6674.2093123297,6988.851790293,7138.7930852123,7294.5056828026,7557.541613783301,7731.8585046948,7919.3714904167,8032.364723252,8209.6760047243,8489.4904381293,8661.5942152767,8829.4952554434,9042.3236958372,9163.650098602,9317.405030653099,9461.5248193013,9654.567408639601,9862.0198567197,10035.617427653699,10157.1283501716,10391.8318846609,10523.5537441948,10622.5307674955,10834.7574069493,11012.0728934645,11148.9211033651,11344.7765067411,11517.1378399644,11673.3446705192,11851.4606730557,11908.7980067203,12116.5975693938,12334.54846654,12490.010510155,12628.589887800399,12777.331658179399,12956.6486135441,13091.9801793272,13251.7345853853,13436.8537644674,13516.5517751641,13658.471430830301,13871.8183309157,14052.2062598901,14254.1576911419,14332.2645986292,14511.5356387498,14725.2143540947,14882.8875553253,15055.612286795,15211.56599092,15429.231546449999,15642.6444646544
1.5,867.8520757,1241.78643068,1525.63875568,1851.362458415,2121.4020597521,2417.475948975,2653.8049496868503,2927.93483553,3156.4958145699998,3367.481474622,3635.7271232208,3830.2862223929,4100.1074416865995,4352.621443646501,4565.3701362958,4821.528746401,5002.4824242019495,5211.30215942915,5432.15382950555,5620.45470228045,5828.4026699201,5946.5757331332,6254.9038819365505,6452.625241400299,6625.4772984479,6717.14312084505,7020.06262478295,7192.6724159449,7363.35668752505,7592.74353471965,7793.64670994455,7981.2198593729,8091.3118575165,8268.529373856501,8522.61783810075,8690.44556441765,8867.7263012564,9085.60814209875,9199.00112739035,9358.2868564534,9531.3648194697,9730.9616448626,9901.6534780065,10058.07026626,10200.937873862,10419.23476826275,10570.515211193351,10675.84993235275,10860.6809645247,11074.47778112185,11190.33867266695,11379.9244278831,11540.91840614765,11711.939355039449,11882.237063179551,12018.769226584101,12166.677423595349,12375.179804127849,12525.942287970001,12687.014377819001,12806.04822575015,12988.8499975396,13143.00746692795,13300.0656392167,13473.807578013351,13555.74642542645,13700.9626253953,13903.60520283945,14085.9908258628,14290.3582361116,14389.2842100166,14585.853757744999,14746.295431167799,14905.577945390001,15068.760241815,15233.66770852,15442.217927695001,15661.160426229999
2,883.4052448399999,1250.99276758,1551.0692295688,1860.57833014,2136.46788874,2431.8499979253997,2682.0710498846,2947.3160901812003,3211.08451264,3383.23236236,3693.2629467042,3889.4277955400003,4130.915429565401,4394.18891941,4602.1130197788,4846.7509882806,5038.162296577199,5232.9979125816,5473.6986020868,5637.3778947096,5875.480005653199,6013.179390827,6294.4524278332,6481.329920766,6652.7435850428,6795.143512162,7054.6386513888,7223.6950163298,7433.451550764999,7635.1229103148,7808.644190445801,8009.3181281168,8129.0592592112,8342.042852005401,8565.324385895401,8729.5518133742,8888.696980614199,9158.2877500864,9224.5948869,9400.11652646,9560.262980933801,9760.885715137201,9970.5427412724,10091.8150664554,10218.6981718548,10465.9496424708,10598.5665774656,10699.3020294506,10884.747081246602,11103.8943806024,11220.7230601988,11447.000880824,11563.664668870999,11742.2369731,11926.1113802294,12041.2133704318,12181.3474533896,12413.1407366316,12547.4914999978,12706.5000528152,12836.5467040576,13035.2151465394,13175.6281130998,13318.0907421614,13530.4683185716,13574.12857696,13742.4069455892,13926.708912071199,14099.758867871,14323.3297970396,14421.6499012874,14606.644708430002,14767.4511390434,14923.8915954284,15081.5586230326,15254.24154109,15450.299256310002,15669.71189407
2.5,901.038403875,1273.042043725,1566.540568425,1871.4365644000002,2164.5824680250003,2443.915798525,2692.42806011875,2969.10182915,3253.1270643565,3405.6117391314997,3706.8811737,3933.612272646,4138.2937007,4420.69211306825,4621.81454657875,4856.924382326501,5058.2012740885,5259.0043103475,5508.810518940751,5671.63520707275,5910.0596028435,6031.43604245075,6328.6432935425,6516.120569436,6688.990227108,6835.26765467,7079.97743411875,7247.9576942365,7456.29721650425,7651.654395731,7831.335333856,8028.7817108615,8183.269931910249,8366.46041912025,8580.51559817275,8744.65619224075,8918.46024266825,9179.3002579275,9276.65139971675,9432.00122090825,9589.894582031251,9784.7434599975,9987.41411669775,10112.02235323375,10271.91541176175,10477.82057922875,10620.92803179525,10719.574264785,10901.3581807275,11109.95175491075,11252.890452844,11469.288433392749,11592.8244035635,11763.779136498999,11971.660555743,12077.68355916275,12214.955700373252,12430.85629543575,12568.55563348,12731.15958119925,12859.16404615475,13063.25962944975,13194.3331440305,13339.082581039002,13545.1068288835,13605.122333669251,13763.263453361751,13951.09528818575,14112.384581315251,14337.549398429,14444.470798755,14627.72102259425,14781.93895965675,14930.351503180002,15088.255776083251,15261.256931079999,15456.231545855,15676.45286328
5,955.7905915,1320.7145386500001,1643.6124089,1919.524970557,2227.6202303,2531.635532005,2766.3061111604998,3055.0487688615003,3322.1233998615,3534.0003150684997,3801.8398106450004,4053.9303106015,4280.1641202105,4513.2399051,4722.7687326815,4946.1971732,5172.336251227501,5378.084010985,5607.652496896,5801.7452781615,6010.522756025,6203.050042433,6443.4175432465,6638.2450114635,6796.1490932120005,6967.441057799,7166.104387836001,7355.796385251,7579.0911248425,7800.3469355160005,7956.2593063255,8153.1535911045,8298.004199691499,8515.840660751,8668.3867937625,8856.4067120565,9024.553105132001,9240.288118590499,9364.261955795,9555.098513364499,9703.965663713,9888.5237887435,10064.195668297,10203.1004605465,10388.345696297,10551.3026642435,10708.966187392001,10878.938956871501,11013.610357494,11205.027300053,11344.067000149998,11556.389580023999,11726.747502952001,11874.104671998,12033.834365846,12155.900702875999,12313.6458001465,12496.367824,12635.60685483,12825.4799049755,12950.285467746,13152.699096945002,13282.056940865501,13403.4102355885,13621.3800832505,13702.035903177499,13886.84015728,14018.31246612,14176.1189717365,14382.9544347505,14508.50743098,14684.34560672,14848.754498827,15004.1635323365,15144.607515118,15308.34787838,15485.60201808,15700.347711773
10,1016.7194673,1387.832927723,1698.256135674,2025.221343534,2313.206312606,2616.707955983,2875.2164678,3120.9158658,3415.0807167539997,3647.498501959,3897.2576213539996,4157.3170821,4390.0027372859995,4608.690783710001,4841.684675123,5068.372758168,5303.463013396,5493.0927459800005,5727.400581831,5933.064167405,6136.01125493,6347.505023073,6561.708944397,6764.756876788,6923.219952384,7144.456780617,7312.253416351,7507.365603712,7702.931757676,7914.544299747,8079.135953489,8267.598794439,8440.907429823,8639.602991682,8795.675240736999,8996.751643472999,9139.550756531,9361.224693741,9492.511411605,9676.196658611001,9825.35827706,10007.113415913,10167.037794023,10347.261623406,10511.459564466999,10674.299999225,10835.579143618,11020.782442821,11128.777182054,11309.04425392,11475.332042226,11662.633489638,11829.399220933,11975.496189862,12109.968276714,12250.049821682001,12435.262392543,12596.31845563,12733.720539703001,12918.764319253001,13067.830842844,13239.706530055,13370.136188337001,13501.181527447001,13686.194127817,13797.397863143,13973.727994889,14109.78558379,14269.067518641,14435.899281243,14583.118256472,14755.463701030001,14897.919506576,15052.627829737,15202.445075893002,15366.464555229999,15527.04943533,15714.711842474
25,1095.41055475,1484.98231625,1816.14405325,2147.63777825,2451.0812199225,2767.093288715,3036.699261355,3269.406002795,3593.7544006725,3819.351611605,4066.387047965,4326.4964979025,4570.954290765,4817.39874584,5038.9989903450005,5258.58369,5516.5093524349995,5702.171489755,5950.9417941775,6121.72014625,6350.95233938,6555.0727021600005,6744.424429045001,6953.319765034999,7158.323129925,7344.703267355,7554.2806327,7722.10795102,7927.356384267499,8100.4166641875,8287.011939907501,8461.95074041,8664.651055297501,8851.995896065,9005.353457257499,9199.741230477499,9342.229564595,9547.7912017675,9702.056176765,9877.995570315,10045.519398625001,10192.0475612975,10372.3348728775,10547.240016665,10708.0899437525,10865.344036365,11028.4959441575,11213.925742212501,11330.049942485,11502.763676312501,11669.659701325001,11822.4939625275,11990.615193167501,12146.96368517,12288.6467098125,12422.889019940001,12610.046240935,12766.2512400275,12903.69403787,13072.99391444,13232.711312485,13375.962044995,13520.25783355,13669.833186695,13814.519779355,13954.2161918725,14123.426085575,14260.99374234,14396.271824935,14561.98221473,14694.534491045,14849.672340230001,15000.8661182625,15136.509949215,15286.40510498,15441.5406153325,15589.528367730001,15744.80003298
75,1285.8359676725,1704.22639725,2083.53651175,2456.72282075,2782.9862306975,3118.4362657849997,3396.722197585,3663.292429725,3976.2268054875,4241.7713963125,4507.38538775,4758.61792049,5014.3791121575005,5255.891446405,5475.2618351775,5718.693253497499,5941.1854269175,6153.1669850425005,6400.647305485,6593.89219689,6813.94498869,7007.96756817,7218.9231678425,7407.8955664875,7603.267123405,7785.01338072,7991.1752175,8189.43718402,8392.4131782525,8576.015155845,8746.06234453,8938.366694755001,9112.6326809225,9298.2298146725,9431.0625208625,9631.2846220375,9802.044183525,9966.706685917501,10149.0103442575,10323.8572952225,10483.944420340002,10666.5459675225,10800.783990337499,10989.929292765,11143.48034378,11302.4332801875,11442.141700445,11617.86435983,11749.885205065,11911.4339096975,12074.251155292499,12228.3814302875,12362.37630992,12538.6024055275,12674.455753035,12814.161959179999,12983.4006411575,13103.897916745,13259.3453207475,13405.9718265825,13555.1729709175,13705.498717729999,13821.4920251875,13968.1974388625,14108.208119230001,14248.691444119999,14392.72529748,14523.09686248,14664.8613629375,14795.484125435,14932.554732685,15055.934665730001,15192.35347198,15320.3035562275,15447.87241011,15572.32327823,15687.91625348,15796.76232423
90,1369.762817234,1806.11089826,2216.5046890999997,2584.9056259060003,2920.373048463,3280.250083204,3552.892872914,3826.6563173619998,4141.656081554,4427.4534804859995,4699.9469760209995,4963.865678753,5192.8062733,5450.267217911,5680.9998353910005,5907.105628133,6102.610967941,6339.720787179001,6601.56649941,6801.088116248,6988.746574234,7201.689172221,7403.79082238,7599.848224656,7797.018438862,8028.633794888,8195.216952407001,8380.814943923,8600.192081543999,8791.66661309,8969.756123417,9132.370430972,9316.744571961,9492.569952625,9635.858460272,9853.707959080999,9993.208898768,10150.627971134,10347.520592761,10526.880840238,10670.343510239001,10832.671703962002,10964.914711703,11159.846261884,11303.670486299,11476.971741186999,11630.820008396,11785.693728747001,11929.656067795999,12083.844910128,12234.328182687,12386.621001277,12536.194361855,12721.476543826,12824.912278856,12975.763674728,13136.293539587,13260.131653399,13414.907330245,13565.680756943,13694.907350898,13830.740078382,13952.542086223999,14086.99165423,14233.535964623,14355.145545774001,14506.354854774001,14626.413894826,14765.05025663,14898.712326947,15019.190088574,15138.570577497001,15261.372968343001,15393.835687730001,15504.867801030001,15616.893540829999,15722.76519723,15806.97461443
