,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395
0.5,85.00279196950001,88.89197024415746,86.17798490475,87.527209563344,85.48317100464463,84.28253109928575,79.129198873625,77.81698939077778,79.6349119065,78.44888047895485,75.55673087375004,75.49904186079537,74.20181477455037,72.8126825541683,69.97636719426437,71.29612684070591,70.42093452151688,68.5740359151317,67.99434863302301,67.47228480898268,66.71861652247274,67.0425055119501,66.76776072544169,65.54017448660815,64.10637952937005,65.40918602570012,64.64049509156294,64.04906478751666,63.08982802532646,61.96251888859256,62.35158120114842,61.713358069198826,61.70724573666221,60.85126481749414,61.16508157900928,60.58648377501093,60.94135010095106,60.08215700395195,59.645499622231874,59.007520680044465,58.843511455249086,58.44832716372093,58.30489518067648,58.20007205035937,57.62053106350768,56.95097679886727,56.631348455495754,56.106434645925546,56.932234341614596,56.075590838013234,56.25314770661107,55.57675693157683,55.52323724874472,55.39404125377127,54.47178739132276,55.30090865273506,54.140649138270525,54.82068064013863,54.44289841205673,53.663693516303645,53.879590630375326,53.942387944323556,53.92840586937131,53.6332598841168,53.5071974821474,53.451604402481884,52.807791061598195,52.390201979804935,52.82861102196683,52.70400108580446,53.02132229420552,52.933625861775305,52.681102950079186,52.47398095577417,52.281611339170496,52.71205623297215,52.62861938232282,53.0192876630354
1,93.848760529,92.22104994600004,89.63642407050001,92.3059698056,87.69824498409334,86.29154723663716,81.9486123745,81.70753105399999,81.213711281428,79.34049674704002,77.00617982614463,77.39978791473577,75.32326529301433,74.51540193800002,73.04357098104282,72.42250938382767,72.09232971519116,69.56802993226981,69.91107801806325,69.05104623172367,68.86595593031745,68.4380944453492,68.56743247602235,67.1075689400688,64.78597992571811,66.06108359893422,65.01430514493752,65.0330363480818,64.03778497227746,62.88326952629297,63.36073655967099,62.53659053763128,62.59338607248221,62.00410473114084,61.87914985245947,60.91847047549544,61.341403119714755,60.89963986946257,60.28648122163333,59.43615216601444,59.7884501522511,58.907438115862874,59.14990718455842,58.50831964932415,57.962226870763345,57.38075711637848,57.05397769397579,56.60589296800374,57.498718360583496,56.302974893900384,56.6822265301664,55.95274512574602,56.15067818484188,55.822923451975456,55.271158996316835,55.47745197658073,54.95073639741193,55.04142002862918,54.79106266773845,54.32775897800417,54.58115568558601,54.467237639554945,54.303580261459686,54.13755166030649,53.672891204029064,53.69891507309615,53.268171567638866,53.027912897403816,53.109688661394046,53.02645933421069,53.323870278733274,53.152697735577995,53.059423391250796,52.69042415947253,52.66364856406315,52.91349263227633,52.80742189362568,53.32777924299598
1.5,98.67007921432,94.037865469,93.662971986355,93.3437929164,88.7955197525,88.23876476605368,86.3190081582275,83.5761582679556,82.59011400295189,82.21059931152912,79.25152401092124,78.62142651687002,76.71451910402274,75.5699557019793,74.54602702458129,73.49915089370587,73.76727662777499,70.7644399595626,71.140953697132,70.70827100316913,69.66701472743583,69.71439080366622,68.77534997670249,68.23613429593138,66.2668484996162,66.82825251673579,65.80276180035315,65.13886215387018,64.9269700586989,63.361787450519984,63.810152601424996,63.37585315167692,63.233817242867175,62.536423045847414,62.295079213143865,61.75533142007602,62.02218603198354,61.43068104779375,60.69190641065059,59.944391756351635,60.33032701037204,59.22776155757425,59.468619827721824,58.96225096585173,58.47077751360309,58.43262920954126,57.561342787846314,57.26192234602567,57.65775394263944,57.286048913038655,56.82642787287996,56.645855083395936,56.550868933912646,56.16780857877847,55.611528803133076,55.83204199329888,55.140057548492535,55.191611360660694,55.00591992483995,54.873735872816205,54.79547178133523,54.619017284866324,54.40098769775789,54.30985269714954,54.149035814315575,53.92773630305192,53.51826036490313,53.516326151776056,53.214412269133774,53.430004454217936,53.43747059648435,53.341960702906334,53.2451063820267,52.8390510122307,52.92219327657154,52.95843607034808,52.99356755982666,53.37645636178223
2,100.84611928,95.11347289066663,96.12152187000001,94.94755100637201,90.66892509196,89.32934580799997,87.46062951489125,85.71788929491552,83.556769215424,82.80646534981815,80.2502102617133,79.62809488952661,77.95183060981216,76.31577165806347,75.40007555282125,74.12988908686872,74.59561036124373,71.08760989836419,72.2320884727008,71.60196041844101,70.37402061896792,70.44858312799998,69.26251117117086,68.93755384309736,66.68385247210198,67.82112162656924,66.04366839746375,66.0919235496469,65.17016988884563,64.7355736202334,64.160060422864,63.973084302064265,63.74997141927133,63.08709368510563,62.47307318091664,61.89139960876211,62.338146402669246,61.64274081900461,61.1650223618881,60.27066150965725,60.518469764657176,60.05629969310066,59.61877045342288,59.158321967044095,58.727468956747366,58.73664836391364,57.86326727144349,57.37473561230177,57.9427760737166,57.46306791156807,57.0620585188627,56.848712833812066,56.728856770789136,56.44136915495392,55.742027432844026,56.070176239738856,55.576630344680474,55.34505236916766,55.29572475128,55.125378176735474,55.00104157436131,54.972901930689865,54.522420053864025,54.632569582850465,54.19661374689308,54.05140559405788,53.65480068613429,53.776076562438796,53.57815510524345,53.558773897271074,53.50517848916389,53.380129464942435,53.29494002756496,52.92254287677003,52.977517170378896,53.02496121611433,53.12050434581489,53.410281997529154
2.5,104.4611309125,98.0403152825667,97.50482221667812,96.66236771923,92.04891460833333,90.2815669122857,88.956928914375,86.63125891225552,84.52162743917,83.58731898198066,81.76203592752708,80.0924512874184,79.21174920106073,76.70300881534446,75.74434729368406,75.22057918820907,74.96119748855975,72.22958234071682,72.52566558366624,72.49354233662794,71.16173716090796,70.80352115772402,69.76108099503642,69.4365884929993,67.52866164086446,68.04518589947823,67.08122659314976,66.47624411040468,65.63014747819366,65.14208373251688,64.58498642183125,64.33066737475148,64.01152245876584,63.50381626688383,62.68997286957359,62.463676062919816,62.66947591990103,61.88690143292701,61.79493962727169,60.639341704363126,61.018704642462744,60.28566393274206,59.79804108526275,59.619123019862,59.124133419238916,59.013147856965645,58.393454932628096,57.73686651766383,58.01958447804565,57.67237414304655,57.299963420276086,57.040222315457385,57.07427961886055,56.66176636747272,56.08370388308635,56.3052415133088,55.88314695857848,55.602732834728734,55.429197089455506,55.35757739581658,55.155462545332306,55.164451935708506,54.734327657713855,54.79183611671976,54.31768155743538,54.18465015722935,53.922939498520606,53.96628874727237,53.75488134828433,53.58948662576193,53.591136169411655,53.52458829062557,53.391166673551375,53.081590992682536,53.075278237142086,53.1087336779792,53.19146169488592,53.42340284601263
5,114.36297864,107.7690698400003,104.9632362675,102.11228135068001,98.60607249333334,94.71173572404288,92.381505384475,90.7220615233333,87.02050448505301,86.59185913939544,84.5859761161892,82.9746361600723,81.35927344369067,79.47580582253333,78.4906420172875,77.17999486235297,77.0866872949294,75.20682666170212,74.71141504881776,74.18391370804382,72.63071341150112,72.97842373573481,71.17225407175525,71.1516448288634,70.10463927561862,69.0938317774861,68.46267762905424,67.69852856451728,67.31664195848516,66.54532448464596,66.13302552682237,65.65059984943898,65.03621333337277,64.60765500040631,64.23727919470831,63.47659715577319,63.6535295859013,62.92401894975319,62.5868968881145,61.84268222333376,62.05531045418804,61.39317845872837,60.57820991475366,60.34777677004945,60.094168420223596,59.98515019687843,59.60578584663125,58.93621221363029,58.9248081639044,58.68805999230214,57.97907068544517,57.73107237580004,57.81712464791616,57.53754135202682,56.72742437368531,56.858482387254256,56.54573102787582,56.163002460139616,56.0115622834,55.93094187760655,55.989679191290435,55.618403621076006,55.326100391604285,55.21840898832011,54.93694394132437,54.85087980486248,54.40226951612352,54.36791206515324,54.16669905117284,53.82856690065474,53.96540385335274,53.855634942316414,53.71022502621889,53.3996645442547,53.38189169324206,53.39783224041038,53.36918146042046,53.532129269782274
10,125.22005155000001,117.37490582666699,111.896733375,108.23433725136,103.80864767603971,99.3520993276,97.97406653934999,93.7441688234667,91.621202732,89.67869697454545,87.4048343689933,86.73400661901154,85.07336672266857,82.38494038786668,80.96665119159,79.7258002315912,79.43069553916828,78.19422863440523,77.5978042439425,76.21825819849904,74.77038032604455,74.81551269987393,73.18206132400705,72.950540547592,71.89959716374307,70.90700861863701,69.96569621439288,69.42864414356141,69.0225893926117,68.13008644070261,67.60211509746904,67.28900497974755,66.85135286750587,66.0094133717417,65.77625653169025,64.73912676153243,64.87280410812976,63.93563323878715,63.461978338594,63.00797754386047,63.08159234973908,62.32349158135814,61.55296058485521,61.673457156375584,61.07527740950824,61.062661684321235,60.590383812965996,60.03344178853836,59.881767933068396,59.5416017313547,59.04999670082212,58.53027278803542,58.68668399416609,58.132914629909436,57.76124126527395,57.56388972525385,57.35272105898538,56.9359159101556,56.78126848446664,56.759727408413745,56.50870526890352,56.21807307677622,56.00318158655373,55.66321089730383,55.48294265741468,55.19272254814034,54.96867062958084,54.93574231906595,54.64064696418287,54.35155821292321,54.38722289556872,54.20823732061507,54.06241705166218,53.817666919678956,53.77250819776845,53.66729156691948,53.59032727888203,53.62082483433927
25,143.12402782499998,132.13736658333323,124.27824315034376,119.72475220295,113.482634725,108.587202750161,106.10180696908125,102.06371488348076,98.5443390028,96.54109931767273,93.60017084736252,92.52307456561537,90.98754841071431,87.71743118298498,86.04503027090625,84.89206016764707,83.9191339157958,82.89489559778947,81.49283788352375,80.16938935963805,79.0918075341625,77.990002609525,77.08314306867085,75.98816117107799,74.88937000651345,74.1733818693463,72.92532226346425,72.06552484968277,71.74800845549913,70.68968588187904,70.3382630517125,70.00421106093938,69.00764401488898,68.26095041346645,68.13185863735555,67.16996947293374,66.98169054898355,66.39880462218073,65.8217115939075,65.3660471702817,64.79348310305716,64.50072856354942,63.5975182959079,63.55739329195553,62.97610405101518,62.65816837126488,62.137587262897924,61.73666441519845,61.490072248793,60.911012565411774,60.627569522450976,60.05503883371033,59.99899213830602,59.66991895371725,59.271792311375904,58.90916355115395,58.63283651883875,58.21364712426143,57.9898683049654,57.80352058988197,57.51956982443225,57.22450186104125,56.92698950910625,56.5932187429777,56.454254176835576,56.21582768102687,55.88186469824855,55.7684564801855,55.478750241290726,55.177211798137996,55.03470300676045,54.78651313173495,54.613958957961444,54.432214677833976,54.23752923558945,54.056211725438324,53.91148757290705,53.8087818750987
75,189.509215175,168.49861268333325,155.3372891875,146.41920789,138.11772320983349,131.07910702857174,124.35492178271551,120.75468086155276,116.1713353744325,112.47929279305424,109.03011168077725,106.07428950715375,102.42504432335325,100.23261588,98.2552360895875,95.9288965746912,93.94403017972502,92.17499549859474,90.78255339260001,89.1529338624452,87.5651894327727,86.19826858348257,84.36700916303747,83.72943198816,82.5492850500125,81.32271040827959,79.6558318338179,79.02671543794223,78.21979710802583,76.9646134073532,76.38418310506876,75.35247555503028,74.55428145679413,73.92832746779,73.10240415927565,72.30430449096352,71.86813414008549,70.99420766873523,70.42747402108625,69.86970480404634,69.36573225182144,68.67751320262965,68.1198795386909,67.4189854441756,66.8314076781174,66.3484749137266,65.8301481927677,65.29612030253776,65.00098568600251,64.17568019158138,63.9396499923322,63.132255499138196,63.08042009412593,62.56378888329272,62.36576208276785,61.652286444990374,61.46657403709995,60.89927381713342,60.660244297740824,60.3364543973082,59.95958973087578,59.44809044134408,59.188291696010175,58.77413510706768,58.3799929621106,58.09805723729255,57.73539403022687,57.459828957953604,57.19435134546855,56.770847717865124,56.51982784773263,56.07982403606577,55.850941775793956,55.51759109777065,55.11127240524735,54.807927125101244,54.477703973497455,54.077638841554425
90,215.980349892385,187.41041794,169.730389215,159.40127378016,149.33140402333328,141.7217043796001,134.1363727841229,129.3507892956444,123.40651749309,119.3777503390406,114.9588713135017,112.91278246389649,109.3481009628573,105.5966352685367,103.39594949585,100.58104412616501,98.86056894056169,96.17993676486998,95.0730219431805,93.50199006317808,91.57512696450905,90.14031460562306,87.70289498218834,86.9602075276476,85.7503652915135,84.42848916962774,82.66962862689931,82.06869032304205,80.78842131457401,79.78534526236123,78.78861769250655,78.14365943458635,77.24664640742938,76.58191173421287,75.23921707909803,74.63467357143976,73.98714747227105,73.26700732349175,72.40045171826625,71.6969905750749,71.18119468199329,70.47842230924027,69.97634339609388,69.36214022150492,68.79300428482131,67.99775324073983,67.59175164331045,66.87080506678078,66.5012450397632,65.69878156596727,65.44408092453982,64.71562051687864,64.54225598631906,64.01075463474469,63.62705546669287,63.0942024442982,62.686025260971,61.97367027513302,61.64273018075967,61.3358101473151,60.92306087577383,60.46855190836695,60.12777810928745,59.66161390694765,59.19919260031671,58.96334206052267,58.53838243815224,58.1312113877384,57.80933341610856,57.515658993115466,57.06377082704997,56.636563703354796,56.31016332963246,56.00256970790403,55.514880939552604,55.15476635773242,54.7039438809333,54.16861055914936
