,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440
0.5,196.79959013455587,205.34022924285708,212.13179271235964,211.77643761118935,219.34383876957116,219.77605213695614,225.70057148689932,227.07312799480792,225.8004491209131,229.5292775531996,229.6524857641767,231.9512705453956,232.95216566668418,233.2475289125383,233.71720691401134,233.03291034727098,235.57012253647983,235.2978385355138,232.88625699444157,234.68858532962477,236.60306360168872,238.08784506241082,238.258996271404,238.67919850844783,237.44176820798768,238.6035882099275,239.0827750311501,239.29945881514138,241.0591358913535,241.74540825583958,242.00714119066993,241.0241687018447,242.01554530671626,242.66177014271477,242.0697587143237,244.6499826761177,245.1950734039145,246.48450325496302,244.41386584523565,244.48616872872194,245.79099550549947,245.88689735022484,247.13737067397855,244.3800900673311,245.95846826804876,248.07413596397112,246.9697811818543,248.16990265160695,247.4082787859307,247.94126666303802,247.06809494217987,248.03732930005563,249.14112937369313,250.51129329805835,247.95850769214357,249.18438797651737,250.53914492162966,250.8297633696883,250.09991747933648,250.36527529675408,251.4224616677948,251.13068447235892,250.55371593292537,251.46521327734425,250.8675663231063,251.6178777692143,252.9388302551847,253.38477613101406,252.18261734647882,252.49779882058579,253.57743443573554,253.86866372382747,254.47806309494274,253.45619040854314,253.8943869006336,254.99066192009064,255.3570932432698,256.3000988856187,255.93577043330262,256.49500243095366,255.5798772176823,256.7526537774916,257.3676033061442,257.6220342235776,258.76893560143765,258.915173462613,260.43283811767776
1,199.277652818444,208.92122146187958,215.14869711235735,218.4731546811333,225.32619697639387,225.23513938164413,228.72902405588735,229.0423351046635,228.55714531115055,230.51922275160626,230.92527570453146,233.117265212238,234.25187400642795,233.83451715647413,234.85078327114738,234.79983423841333,236.75210689929912,236.84511238852892,235.5603322455027,238.81190444294623,238.06882354157196,240.9494301977407,239.7146724890293,241.2815078601631,239.7859328820996,240.49048621852256,241.7785475055581,242.22246210003271,242.3139976041398,242.42197845076356,243.62383057753885,242.12268169062875,244.0033203329649,244.68953707696298,243.83710294229436,246.12227741173956,246.4958444386764,247.50029271883395,245.91418574435616,246.03897422178272,246.98635448527511,246.32130934722142,248.1993934602618,245.82483803854214,246.81113215422351,248.31283204942903,247.8556203697777,249.62829422958598,249.3000410630443,249.14215656238048,248.40502670276652,249.1019408392861,250.38096467335615,251.02648932773272,250.27435816531082,250.0491565006469,251.56985271782173,251.38281293455938,251.05841120543457,252.0294838064694,251.92488373772574,252.1267085601476,251.4188305883841,252.42526593963933,251.9763778267884,252.93815894322904,253.53471364832458,253.82722239808723,253.03804495507916,253.6556878641891,254.07407421079276,255.1114843719447,254.85432425728732,254.92459072006906,254.664348540794,255.76602803990414,255.91462757754655,256.6079526784531,256.25613293551766,256.98652071289985,256.26201948054353,257.788244123913,257.7570924562391,257.79796421344594,259.06062109569865,259.073340055438,260.44679690131306
1.5,203.40590684900002,213.8397944985,217.09179578005293,221.5753735471786,227.21697498145372,226.67215741070217,229.6963736841093,230.80843754410367,230.47974943922142,231.96186354363422,232.76934231795747,233.568910304513,235.59173470992343,234.59436441539873,235.7555581903484,236.20868191502117,237.714554592546,238.22359527271945,237.58509236432792,239.80638454978666,239.21643065832095,241.69903581642203,240.87334341854108,242.0815214833249,241.39338680436595,240.76214797441554,243.92728363197998,243.44954964504515,243.86108704933855,243.0375924627746,244.4749029329493,243.56667924332766,244.9208131977814,245.87854514442432,245.7367337211554,247.11198568368613,246.74084047978272,248.17426014972287,247.638647839564,247.06676583400903,247.97725816358147,247.194203344631,249.00862737781102,247.68944292994684,247.29362917036332,249.15847664332435,248.88901061892236,249.89776215092897,250.2505833340419,250.12720564647944,249.6032912901708,250.45516394806833,251.17197296010758,251.64646027018685,251.32416122661382,250.4878676028467,251.9777561075243,251.88040766151974,251.66467953234653,252.9407903365429,252.3908795838192,252.7210240107769,252.78992872619747,252.78253558360512,252.61063447513877,253.55015340672335,253.6544725828092,254.3211662889605,254.20857020258805,254.1386192928836,255.05675749531704,255.49505080790365,255.65954660016567,255.55482252719636,255.16897036278613,256.0283015794475,256.6418674143844,256.8898267903835,256.5688788141879,257.4602243170012,256.851261125387,257.9540084212903,258.015978344327,258.1751985815243,259.2124155890312,260.25730799797856,260.47969607765003
2,205.61420456711156,215.56355883208232,219.9003866915379,223.54095965416533,227.94798595245948,228.52239050922185,230.5661642129559,232.20735521396242,231.85939843194842,232.51496129076122,233.34242150862767,234.71987516580177,236.55211696539106,235.66385008676218,236.22134574967342,237.1980075200972,238.6823526500198,238.83626279856057,238.90996501230808,241.84504808245273,239.72702450911027,242.47816030485276,241.4569844409631,242.60803788599682,242.283973038052,241.5494736319502,244.95792962257664,244.41320889536095,245.02229136406788,243.73578121997974,245.21860778626527,245.27333379568122,245.76128716977445,246.4204563110087,246.70847257685034,247.78617076456476,247.45660129011077,248.8179049584547,248.31662319407138,247.67823397699507,248.304645699823,247.69509667608406,249.0414088393916,248.49635511465561,248.80374985005804,249.55452711517873,249.35569351432434,250.18214573249847,251.06164865146621,250.56629387303096,251.01120314224715,251.7862608048154,251.65175866294854,252.02688147149016,251.51955667719383,251.5794314079886,252.78366881049297,252.29026390429564,252.49066028671604,253.71293319695192,253.36948668191718,253.04207087154666,253.39781974047082,253.1983165170171,253.27822027949708,254.3952522571238,254.28474453009463,254.7154175853274,255.07167103074715,254.84308571045048,255.47238138861226,255.89572807965584,255.87779189200984,256.1806710079873,255.57931739643487,256.71192033196104,256.80106954272713,257.1110779358239,256.99243742026425,257.741477592252,257.79555622149553,258.1232450128601,258.3608007108014,258.8598109327671,259.282470853353,260.4266223226907,260.4914190801527
2.5,209.13466362722264,216.69221906761905,220.69351383760394,224.79864760696665,228.3427766687563,229.47125413969405,231.31113617725504,233.31206572759473,232.467079115302,234.05103387267266,233.81382335277743,236.2074428216934,236.89891045911557,236.68997342380817,236.45181434190704,237.52507258591626,239.6190041973502,239.18301444105742,239.81647421377727,242.45721728048025,241.08125908675268,243.0525840617671,242.11000118212542,242.96728702134595,243.18162327832104,242.74063862208865,245.65567897462245,245.21615049113012,245.51484011617313,244.73747862387347,245.66710841001077,246.30546209823098,246.62075465231794,247.25506186658552,247.25983501385505,248.42297907814276,247.79106180224184,249.40269867916692,249.41128005028946,249.0759805832493,248.76564921164317,248.43411967267448,249.4916758595142,248.89278946622517,249.35119147948163,249.91643763855564,250.1028385262579,250.7264633223091,251.61619777610582,251.00845638206522,251.44502577641444,252.2957002268332,251.87314076409325,252.46807477489716,252.2639730022007,251.79125133920726,253.28546665004458,252.79979899832145,252.8122272907169,254.33828718034042,253.55876985812725,253.56175051936083,253.65002732154142,253.78904026576333,254.12193811561173,254.54686031255835,254.63004161055562,255.00363417041004,255.38452588174567,255.0772059978674,255.87465042081638,256.2363923109714,256.07950738104546,256.48567884661355,256.02671134277136,256.9459131161319,256.9696269810866,257.3063874915153,257.42834671264694,258.0854286813403,257.8542312864642,258.4334117398096,258.88871826691667,259.06253846395083,259.35281110533685,260.50212681453155,260.5047483177599
5,217.79933865947925,223.79643286529304,225.37291334200017,228.73709265430665,231.6860912999665,232.16527320747215,233.53940480661404,235.0664029060968,235.95474717929412,236.72917573931156,236.75382566388808,238.43821143257895,239.29035626485668,239.47505013878103,240.05300216352688,241.26849102005173,242.43537497788827,242.83617170771484,243.41657455504372,244.78049167613926,244.2212917133434,245.3781445236531,245.3122257027126,245.52559032993454,246.11331887223997,245.78013994874055,247.85287238807086,247.81954982974213,247.64545919586612,247.48470600372514,248.2983462279585,248.6078008835206,249.35371458830178,249.5738637568224,249.6974648707543,250.12973355997244,249.97808241702236,251.170441881284,251.4002232656793,251.0607252654792,250.44382059836718,250.70741694635353,251.45588330312455,251.3784244548694,252.15927298696826,252.1950868982457,252.24183823847906,252.81079228494775,252.94817318308986,252.8159289122304,252.9725479925195,254.003141635922,253.85888344635745,253.9029902668101,253.57714797922188,253.9116054483236,255.04567093147668,254.1610419476377,254.4697711018459,255.32116837487416,255.041106394366,255.58188117479415,255.2675900585954,255.4994148348419,255.72403770332545,255.88395315315125,256.27054586469416,256.0507657349006,256.5423592496611,256.2285404025764,256.773565931268,257.2485769243651,257.09170960636897,257.42828811887347,257.1872377931019,257.71442529803727,257.9170547356194,258.4390796099102,258.579413964034,258.43349290285096,258.46057918249295,259.39137766422687,259.5133297441562,259.4032872339893,260.5009506933227,260.64557259082767,260.57628280276634
10,227.7643031999998,229.3378167008271,231.1451650799649,233.43577398565358,235.15923019604608,235.4552546568405,237.00011852620142,239.0881147849002,239.09746206267252,240.1432610013472,241.1295550632449,242.41046200652002,242.6550600725921,243.59388660015512,245.52715378762002,245.2537841793672,246.1203311214528,246.6414255613028,247.1024666016158,247.8652529122984,247.68752407638038,248.488842748265,249.3052466086863,249.1251383990978,248.9285033170401,249.7762911325772,250.8395826435374,251.3275637849231,250.0879094728476,250.01530286400163,251.59423175948152,251.1917486918066,252.6515683876896,252.11583907672568,252.2934339090632,252.0350265158234,252.6284108558838,253.42915512085972,253.47296582899529,253.2429801913217,252.8121779977293,253.41970975380772,253.9462494086097,253.62258812096482,253.97804878696653,254.5418812719813,254.5002903194369,254.8434692262873,254.8549722680292,254.7147447151849,254.9112471163717,255.6190679518966,255.4943006935633,255.9041949816999,255.37878511878282,256.175477902454,256.3863779841257,255.9309454934947,256.24415192770067,256.8594858828979,256.83328023210834,256.8073644268452,257.07338664653827,256.9405141327183,257.21161901469924,257.52587026478596,257.53573308807205,257.69388596130045,257.98941312532094,257.60365842895203,258.18509424670293,258.5313287246788,258.2907855363134,258.5797954256446,258.7609329594835,258.9868173647265,258.9904687944371,259.1981708688756,259.3626025307679,259.7014398953853,259.77421088499347,259.8169276001103,259.9973841152617,260.2390691489296,260.83558772602373,260.7851323309207,262.1172445965491
25,236.54139732464427,238.00878436190476,239.3572148982895,240.6336471771665,241.28493292023802,242.37642989168876,243.56233154254875,247.30041013090073,248.60953617069902,251.02826630125548,251.291971496788,250.778102644399,250.68145127650075,251.7052709285705,253.11552913843025,253.320799698444,253.07682342393002,253.31000399225275,253.95141754135426,254.51146636526576,253.69075548365151,254.50387219313976,254.363934206215,255.0956460384555,255.18003078766,255.05048206345026,256.45480091974,256.4897694217598,255.2987569887145,256.253421344466,256.59655525726276,256.3686875893585,256.8520519695235,257.0923461107945,256.699499588989,256.81775254480374,257.4180791609475,257.30300441603475,257.516635354956,257.62992810627003,257.5527719257085,257.26945195738574,257.7055175919862,258.0626858974115,257.4046237804105,258.071537817092,258.197153276087,258.41053429367173,258.2190644021813,258.52535343516377,258.45504284547997,258.743594386156,258.876950402811,258.8852325214755,258.6116820941628,258.91147126199076,259.3402650283855,258.95687064238473,259.23846457139155,259.3134433449575,259.4429820171145,259.67636939145274,259.5878992881275,259.685619272491,259.72027852772976,260.09978872492525,260.054258612031,259.97194146994724,259.81909938075705,259.8970712990365,260.20547477541623,260.3148162408385,260.3337424160978,260.34135325566604,260.76000554803073,260.8843420615052,260.835292454704,260.8061795989552,260.737262273157,260.88394474869574,260.9285918683795,261.3720361641125,261.3723876895848,261.249112638628,261.29183648452675,262.28705465381273,262.19915048827875
75,293.9632755499997,290.4052280512383,281.8457596196055,276.37969205696703,273.95965675045625,277.72651794826425,276.8019134628845,275.5275755383535,274.24540279084374,273.24664427696655,272.8089493804513,272.39979386313877,272.379885096978,272.3908067275748,271.71484760253173,270.85194540447003,269.7814635598542,271.921351856132,270.98988320052223,270.1066968061003,268.96820816686375,269.0304029516235,269.51163615197476,269.20122937374225,268.9323184428335,268.5313597842958,269.28273110002897,268.92858335472624,268.22848210424553,268.5646120873085,267.7570173637945,268.040320315278,267.6022274813315,267.331537889236,267.36254572513155,267.861491690285,267.46867934966525,267.02435138362705,266.9823673092455,266.99449786491925,266.677011770807,267.04464083475926,266.69991185275,266.67845521655624,266.00151021453047,266.0622561509117,265.8880344595522,266.31399504482954,265.892068526348,266.22531342425697,266.40199320459726,266.048676537379,265.8790591399235,265.6453725500775,265.320080229341,265.49435216806,265.212229602901,265.1799054665345,265.5734990288575,265.13224698893197,265.2833487580315,265.283340188234,264.8935572943785,265.0538199791607,265.1080290287895,264.7298319155575,264.57375681190103,264.48879585796726,264.4880914380087,264.240778547782,264.50600373317604,264.28931875471903,264.25738748004227,264.22759202348925,264.12122127985225,263.929281795316,263.8085876577003,263.56890550159846,263.5928657766698,263.9485796560173,263.74904802053004,263.605711448481,263.4514620169515,263.126725020421,262.932523192917,262.6648904113265,262.377617079897
90,328.1003219466667,302.4264685986671,292.1934542115793,301.14894880191997,295.3060311380254,290.4944845350357,287.1510942613304,290.6988796703839,287.0756586348402,285.74825315224973,283.70241405335804,281.4913641539543,282.2288901737451,282.0821129322313,281.7343191448682,279.2747896852602,277.0391635700866,280.43755923317553,278.65163432985634,277.5893417255959,276.0900995328247,276.1054433998409,276.963881844769,276.3915508450551,275.1081439283169,275.3514737124572,275.9668786765695,274.80363731140744,273.5807565262393,273.542736896324,273.5659996194487,272.8426293487093,272.82940111583343,271.99946677049064,272.22843303313596,272.8431402484487,271.7590150998641,271.3974502481172,271.21900039897315,271.25944365105846,270.8161800219823,271.5556631009899,270.80989353528497,270.535110288138,269.5088915264654,270.07510720192823,269.2121339816797,269.60876658650005,269.5186377019882,269.56865810212975,269.4595069934844,268.5916905503331,268.6672786332749,268.70996069668814,267.9574465606028,267.95065422227657,267.98696093697555,267.58082431219395,267.8971330843303,267.63255915878443,267.7208345637368,267.4881756826472,267.3760196595101,266.91558355425093,267.1120486952467,266.47290524942423,266.58222516488297,266.30443167113424,266.40929639746497,266.001532409636,265.9850988775584,265.74321262930494,265.8099445321452,265.5244506744877,265.630707204651,265.3371716808532,265.1657883211455,264.9399917871538,264.7214961358119,264.5075022606132,264.2331960196599,264.0327747990247,263.7539895287154,263.4050359714616,263.1230378987895,262.8167296011493,262.4509616931477
