,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440
0.5,874.638211565,1246.815102665,1654.5550161666,1867.9767568,2227.9293842628,2474.10802613895,2814.53319389677,3110.19651410885,3350.3922404162,3597.46864211905,3680.37544250398,4153.7364570695,4371.64620941767,4638.4564632423,4776.7706013881,5120.5133733174,5261.5912983218495,5645.59552003525,5695.8041916248,5985.3184985725,6192.522902382801,6391.78034985965,6596.2500458787,6797.69033636495,7003.1252490612,7142.48486883875,7470.68506173157,7443.5363034088305,7760.4419812347005,7962.0820550919,8162.91542454485,8358.87104006475,8585.44328065892,8749.211211171649,8960.74118220838,9048.51906027175,9243.93024828075,9463.42467249625,9606.64290964642,9771.973484476599,10027.72991875688,10140.14346307632,10350.1463234819,10542.311357122471,10649.9471368185,10789.847908057769,11048.07233243362,11186.04094687447,11409.017596072521,11526.66739586085,11728.317969404601,11912.62035145545,11925.18380775265,12241.686650468131,12386.2784847861,12532.70357767555,12722.23015674158,12815.138525780048,13017.50440401955,13158.33671384605,13293.80248029125,13536.38480473285,13621.02031760295,13795.28651038515,14027.0965660906,14135.2386833311,14215.31551957175,14478.6560499479,14621.6875437484,14767.1834061089,14874.35750108135,15093.0860768527,15258.204489320131,15471.402076360531,15607.23410350065,15743.3660013082,15940.894096600849,16067.0888616499,16253.096005934449,16387.44069243958,16569.60168531845,16715.55173366905,16919.833118696,17052.035570761,17246.6580804605,17458.6678251165,17659.448466015998
1,940.92542032,1274.4759827956,1688.5249064975,1981.5555982199999,2285.53198646026,2579.3790962099997,2827.6950810786,3175.07392551026,3382.51639301146,3678.50830576104,3793.7841250352,4200.9066430556995,4415.3971376765,4661.9791019713,4915.985636806659,5166.31607252276,5357.25401427264,5674.437875973999,5754.195257651199,6011.44211261326,6247.700693354,6492.9431687651,6640.49533602634,6842.76958106846,7088.2904526273,7239.304064650841,7524.13641144134,7585.25098986114,7863.92267393906,8075.367832138099,8268.83598394014,8445.436308914399,8652.2933797244,8798.0248119882,9015.266728969938,9143.42000070714,9328.122122364839,9509.03831030324,9644.4752103517,9887.97848250386,10117.23557057066,10234.31973817564,10370.77614132004,10593.3418725953,10723.4794223957,10913.4748893473,11086.609147065501,11272.7870407758,11485.842689264,11613.17364675786,11762.23526701204,11967.565020477039,12027.1074145106,12299.14860786536,12447.22702171654,12596.89720400206,12748.69615726456,12915.9171108096,13087.7119196088,13255.15413377796,13405.2220680997,13595.68408251656,13692.13329854364,13858.21489582046,14103.2392545236,14174.9398801652,14338.41041932806,14519.6390518592,14668.4740973781,14817.33845976406,14934.0266027438,15193.66190311606,15318.8394785841,15503.009659651401,15657.250017549659,15810.341638876,15967.92413795756,16114.2179055753,16278.246511242001,16438.4619092445,16625.5584776851,16761.6958817196,16944.240843436903,17101.391586946003,17268.957920205998,17471.452839056,17671.629047186
1.5,958.66356819,1302.1886308550002,1715.37922141565,2000.47250779,2302.8499227175603,2619.4043523585,2867.640668175,3240.1956490117,3447.02677364899,3724.846979754,3898.5976260695,4225.82194799061,4481.870763862559,4686.2309719906,4964.9733367933495,5217.60180632256,5412.2615193744,5708.4972084657,5834.3852924262,6081.829078854061,6283.44296790409,6514.77680764635,6687.844138207,6892.005628901,7113.7511127198395,7270.974613255839,7559.4770940491,7651.26448518861,7898.95565134965,8138.32788226274,8317.45070334881,8504.48826537181,8694.174711179401,8858.33666294339,9065.89224371275,9155.03591565571,9385.76973735975,9590.0864190264,9693.82623238935,9913.465363811289,10159.295650379849,10333.75150788429,10414.332095215239,10639.85118430525,10798.93020397279,10988.9823664456,11139.597346629651,11373.26275219434,11520.123436382059,11673.17034829695,11793.382083460141,12002.9020006587,12117.8875485404,12322.2179964619,12483.654266913849,12673.2862306354,12774.73192373795,12983.37476475399,13116.69461678916,13283.930219512611,13419.756461163559,13605.13170998121,13724.5450479586,13915.16965188039,14134.56299816925,14229.811099418801,14368.06503782865,14563.5014403694,14729.54763645595,14849.01323229085,14963.709135600398,15214.82040542395,15331.6016993003,15530.4228629544,15691.60876930015,15841.56663653569,15991.962795327849,16123.6999380132,16301.9952100557,16477.012442486,16639.7179750029,16783.41417954145,16962.16285238755,17124.22731755286,17288.3635236855,17480.088558976,17677.251270075998
2,977.661981268,1319.2778469671998,1733.34820086,2022.8448035338001,2334.3032457888003,2630.1829558868,2900.5927957842,3256.344650439,3478.4350230636,3767.3558355548,3932.1202766697998,4260.5546480072,4493.8888051568,4707.4888280852,4990.8631726264,5251.4230989736,5427.3085939098,5738.446986614,5877.8426290272,6123.41125782532,6301.79330642012,6543.6189208692795,6772.1214685352,6910.31068672908,7147.562870950201,7318.4864843092,7589.15443737,7708.052287930001,7949.494397016,8177.25071440052,8370.859372351799,8517.746603949481,8710.866914325201,8906.69638813948,9096.4461049944,9227.887739334281,9420.45322171992,9623.89922994608,9717.52185406828,9945.191956855599,10172.231435951,10350.323224556201,10449.4566361652,10670.495881598,10830.4411711542,11014.019544558281,11162.7656685702,11391.640942637801,11568.9319622216,11697.22039536052,11829.6100348986,12034.3190878486,12150.01254196532,12340.724683515,12521.92763838012,12692.5078442318,12794.4001842914,13012.07940811668,13152.343196761001,13307.971330751321,13468.2014542362,13639.970436042,13786.88645605572,13935.380682565,14170.035635108,14266.7415001662,14390.118556778001,14583.222086096801,14751.0257193912,14900.6790708062,15001.199490262,15239.927702308001,15376.8095778508,15544.870189563799,15708.6812624636,15876.182091466,16018.7564173174,16153.0191183958,16332.5732617958,16490.635544353998,16650.98603899372,16801.852099736,16989.6620950664,17132.13864603628,17313.8502976052,17487.538760954,17687.521877876
2.5,991.588618075,1338.2936608,1747.14261619925,2035.872017725,2354.53327626725,2644.4859304,2924.19863863275,3266.1251301514,3496.733951738,3784.8498824741,3973.1801613472503,4301.243167008751,4505.697319529,4749.10235121025,5006.55152249785,5279.900549030999,5476.7406206355,5754.111392386,5904.4430590859,6144.3404808055,6329.62652845175,6575.117269588501,6796.2436107901,6941.55297727525,7159.70731457775,7378.8384294200005,7603.7360930531,7736.3734143560005,7971.19780963165,8213.70018049725,8393.10666294025,8532.259115789151,8729.310988201001,8933.93239041585,9117.96083652985,9271.32797567215,9487.129722161098,9644.533009123401,9743.938623251499,9985.448185671601,10193.63690039325,10359.265277879751,10475.1308828689,10683.31026426075,10847.53663161475,11040.946469775,11172.31672427125,11427.00812192525,11595.249203221,11723.64112768175,11856.612607530149,12053.685820862,12192.7171970635,12364.185677664,12550.597139732,12708.21095208275,12825.9510661404,13033.6041955655,13193.499493866,13322.301305568251,13501.765739686349,13680.8386283071,13810.031195386,13959.197220396749,14187.8145910736,14280.32016239675,14432.94080266865,14609.296951912249,14779.91694964125,14925.5103048815,15053.26039464625,15257.6954589064,15386.790201840851,15571.95804778515,15721.82757918425,15886.72933847235,16041.133520918751,16169.5210236035,16355.28081010215,16507.30896988075,16662.2493520336,16816.421855637498,16995.62747383135,17135.4952741785,17323.892888065,17495.520085872,17693.400323986
5,1025.25138795,1407.54246735,1791.0984059,2096.5490544943,2425.577884,2739.5309277640004,3003.468480538,3338.1948660775,3592.0215234247,3858.7652402743,4108.948285573,4396.910272854499,4617.4410502195,4830.105751946,5129.999277412,5360.488617738,5602.2916900945,5815.8526619172,5996.1211035083,6241.2715882202,6456.0154253015,6666.2407761645,6880.9556095063,7061.0351653212,7286.279426359,7458.674343977001,7690.944597516999,7841.4023821855,8067.8295653845,8270.1238017525,8473.9665459423,8628.2261594905,8823.5269414183,9034.40848056,9211.709456379,9371.1587028135,9573.7615560953,9727.332542382801,9910.9243312025,10100.2559586433,10279.6402120697,10445.122086800498,10589.660602832,10763.2891986385,10955.7222261308,11145.420928802501,11272.1338250768,11496.0232590375,11668.1304197795,11824.496485472799,11954.861318642299,12135.7400218168,12302.2690112315,12466.0709162435,12635.4562209982,12789.2169156853,12973.6135173935,13110.0788508935,13268.0773398047,13421.850734530699,13590.7589406605,13746.6929236827,13894.9932956397,14085.610110333,14248.823468742201,14359.8961191845,14520.4113978872,14685.354255893,14854.555921497,15005.558455731,15113.8670510725,15307.7907803695,15445.4214211695,15644.805335472001,15786.9512178767,15945.0779091578,16099.329536041,16227.718426067,16395.235181689,16563.3134368165,16714.904355781,16864.6915275562,17040.240007501,17190.838947236,17345.778583736,17524.452676886,17711.370704086
10,1081.0065341,1483.45015606,1839.490280604,2166.624568841,2536.5394061854,2834.407160829,3123.9321947000003,3430.5532115444,3705.956981584,3968.099522557,4227.655537833,4490.418028633,4726.625932395999,4949.269266945,5236.133127327001,5478.6797166426,5710.405166246,5948.9650432186,6123.404163677999,6353.7174457816,6564.2597844560005,6769.464429081,7025.5079697084,7172.8679981020005,7377.1228825686,7579.720896692,7812.3784980296,7984.9355996330005,8195.2576790806,8379.194753327,8562.4441334226,8752.835236092,8945.377008541,9149.809994419998,9325.792521856,9493.7025021796,9696.081515541,9840.4634335994,10034.6283831506,10209.8135519916,10382.5380577054,10540.3528728976,10705.236206465,10898.95803303,11053.160489081001,11258.2609828626,11381.074726731,11583.939095231999,11754.218957074001,11920.201039931,12066.7992811706,12232.091836385,12419.113355314,12551.81065379,12737.430270004,12893.436919901,13056.9419001266,13213.602131976999,13379.198364897,13519.890647072001,13681.5326579426,13845.78820739,13978.6007810146,14183.8730653936,14343.961524488,14433.340454866999,14615.860385431999,14789.748775135,14928.235495719,15074.635768357999,15249.417223888,15391.884492845,15523.084146685,15720.374225604999,15853.332778503001,16015.365379493001,16166.2663915086,16296.884220383,16466.53504381,16621.777397010002,16760.46001108,16915.458104532,17086.224802736,17235.128072336,17390.549710135998,17553.660359835998,17731.634819135998
25,1175.34736925,1587.587261005,1961.8494138074998,2312.720363942,2678.832744875,2984.4289907449997,3289.264381,3596.9685804675,3874.9712165815,4133.3605403225,4394.39732429,4648.196201439499,4913.5385018075,5157.462719217,5407.7402897465,5658.9696347575,5876.31550758,6118.9096005245,6308.618650132001,6534.743456877501,6736.4602778325,6922.930456835,7187.6908446635,7364.9214603775,7554.9468445195,7774.731169127001,7969.61076659,8173.549048011,8377.7775781145,8564.345474085,8760.156157316,8955.7467199525,9126.939485774,9319.121815204,9518.933496359,9705.0306329465,9872.1181806075,10030.456090841999,10220.222080341999,10401.793028381,10568.0816736335,10726.960088521,10924.3924079595,11067.0989183015,11261.204433769,11439.9389012785,11589.3735373535,11768.803628284,11941.585126956501,12114.5873207695,12244.581932544,12424.518655754,12586.074776391,12741.4281450835,12919.850485904,13065.7598512235,13243.965590041,13399.793635417,13548.128659731501,13690.0082431675,13848.354575805999,14016.434119189002,14158.5400841045,14359.120371357,14506.678863889,14603.8687799735,14770.1282200535,14923.830794296,15069.583204501,15218.155347858501,15371.3536726585,15519.3575048495,15665.7505413785,15839.057006688501,15964.623389604,16131.7535589635,16282.893775147,16409.279899576002,16563.6538865985,16724.785493786,16864.763487035998,17011.399792061,17159.4082854285,17307.129819616002,17452.272784536002,17610.494692036,17764.920663036
75,1366.368007645,1837.773020845,2244.18690175,2615.2982349474996,2983.024393849,3319.446260965,3630.5134288524996,3944.798178,4216.876984845,4510.01339366,4756.0917940399995,5036.765624235,5298.44832467,5554.0902472225,5816.53178276,6009.164667585,6284.0610970375,6501.5079931225,6709.8976560045,6945.128347165,7150.416955294,7345.087877095,7592.9019429575,7796.330314422,8005.972676965001,8203.5400835315,8383.346847154,8586.546769505,8788.44841149,8959.398169305001,9155.2054654695,9360.401411002,9567.0750375315,9729.2388122025,9907.0121993035,10094.512708022,10295.166643159,10460.123899454,10635.580763411,10817.519154666501,10983.7747138245,11156.4400803445,11351.2388732045,11499.470391884,11700.327065663501,11837.686671461,12004.456158429,12166.849146906,12324.901370126,12513.0879961195,12643.339262039,12821.930275924999,12966.364579006,13131.233409579,13288.346801636,13440.077057378501,13608.851799256001,13759.6277552025,13917.067358852,14057.0016655535,14218.345550599,14385.6051410045,14516.3634367995,14677.7880844395,14814.0424448635,14961.454187046,15101.822565878501,15256.107858696501,15396.6719593785,15525.4895487385,15678.830613036,15815.634229266,15962.5543204085,16116.6920585945,16245.421401466,16386.0267539935,16517.465670421,16647.0783142935,16788.9959117395,16927.990344861,17056.393260036,17180.566255211,17317.975212036,17451.703901286,17572.709187211,17700.089117786,17814.177539926
90,1476.680166241,1966.9207929,2362.7323074,2731.1224756740003,3106.089216069,3468.043380509,3768.790966683,4083.297957597,4370.610084756,4647.409818878,4913.606698257,5188.079571518,5454.1430382074,5732.180419795,5959.867187776999,6170.9101558606,6424.887767016,6673.0205077166,6876.0156841266,7130.993195168,7319.2989296764,7526.364097634,7781.6556882234,7980.851988042999,8180.7367819764,8389.720559861,8559.9176226536,8769.565640606,8969.855243823,9180.402645151002,9344.762024317999,9552.5130967764,9736.139587261001,9916.1579014094,10072.9771962846,10291.684023312398,10484.882317434001,10638.887182094,10818.68597276,10987.6766362454,11200.975992448599,11347.968567168,11520.488127278,11671.623090604,11864.5228372424,12013.730324816,12187.940827137001,12344.876863048401,12494.7582320086,12695.4014714124,12828.9597505046,12979.1103057084,13144.8563027334,13298.5816766326,13448.6161417346,13627.7854712066,13768.191325464999,13928.65095613,14067.1865355464,14214.7041727136,14373.3906624844,14531.417329403599,14666.919587395401,14823.487150505001,14960.285120944,15105.238224965,15236.2107201326,15385.84512704,15526.934910872,15651.957234874,15810.515390952,15956.187961882,16090.481504849,16211.586968063,16360.8265145546,16490.757859948,16624.701467667,16747.279319481,16866.7404355964,17008.730957648,17138.698663836,17254.677064536,17386.898659036,17500.953287667002,17621.001241136,17727.645400936,17824.413602336
