,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440
Low,991.588618075,1338.2936608,1747.14261619925,2035.872017725,2354.53327626725,2644.4859304,2924.19863863275,3266.1251301514,3496.733951738,3784.8498824741,3973.1801613472503,4301.243167008751,4505.697319529,4749.10235121025,5006.55152249785,5279.900549030999,5476.7406206355,5754.111392386,5904.4430590859,6144.3404808055,6329.62652845175,6575.117269588501,6796.2436107901,6941.55297727525,7159.70731457775,7378.8384294200005,7603.7360930531,7736.3734143560005,7971.19780963165,8213.70018049725,8393.10666294025,8532.259115789151,8729.310988201001,8933.93239041585,9117.96083652985,9271.32797567215,9487.129722161098,9644.533009123401,9743.938623251499,9985.448185671601,10193.63690039325,10359.265277879751,10475.1308828689,10683.31026426075,10847.53663161475,11040.946469775,11172.31672427125,11427.00812192525,11595.249203221,11723.64112768175,11856.612607530149,12053.685820862,12192.7171970635,12364.185677664,12550.597139732,12708.21095208275,12825.9510661404,13033.6041955655,13193.499493866,13322.301305568251,13501.765739686349,13680.8386283071,13810.031195386,13959.197220396749,14187.8145910736,14280.32016239675,14432.94080266865,14609.296951912249,14779.91694964125,14925.5103048815,15053.26039464625,15257.6954589064,15386.790201840851,15571.95804778515,15721.82757918425,15886.72933847235,16041.133520918751,16169.5210236035,16355.28081010215,16507.30896988075,16662.2493520336,16816.421855637498,16995.62747383135,17135.4952741785,17323.892888065,17495.520085872,17693.400323986
High,1561.9058853503498,2045.632434299,2472.457996671,2878.56252777325,3247.586913137,3617.62325806325,3902.999251334,4233.86216054685,4527.213727406999,4819.5665979469995,5104.967608364999,5365.573924026,5628.6267442475,5896.82036461975,6136.3095384925,6378.950960472,6592.4573978499,6870.374206773749,7065.87578475665,7289.16440620275,7534.420679010749,7697.27452261915,7966.723308989649,8169.125647328749,8357.40048981125,8621.795668276,8791.69487605985,8988.223531921649,9140.6305995601,9348.16307145225,9558.555449746898,9773.3866410394,9904.7020254884,10111.66886367775,10297.549989551599,10497.933047060998,10700.99751070825,10829.353879343,11008.57177033425,11182.12572572,11356.7567484481,11565.3880972336,11698.20897628425,11876.2052070959,12053.651495596849,12187.536230491349,12360.3388069095,12556.749743377899,12687.0179370526,12918.808591130499,13022.01626493535,13201.34717749835,13357.2978240685,13506.56872242375,13675.6202144105,13789.94940885265,13941.163786084498,14105.747900893151,14201.747390837001,14392.00394274635,14551.81923203285,14677.551801821,14821.1302960935,14994.999138092251,15127.07807203385,15237.84663501425,15384.7800185699,15536.34102123925,15659.46205961175,15773.11926278865,15955.406610194399,16090.755113152,16202.06299988935,16329.937195007651,16481.724498010997,16621.7053436485,16728.56040011125,16848.5530085665,16963.24253154525,17114.35226571325,17208.39395818835,17336.98897398775,17460.357234196,17566.978514655253,17670.4777401435,17755.877969410998,17832.987566861
Mean,1269.365232871048,1706.418185438584,2101.4022653793163,2459.97402463715,2824.80089996948,3150.8677213570622,3447.700746964566,3766.517599432744,4041.539786951636,4316.620471765854,4570.770802070336,4850.3491962665585,5100.860740437094,5346.504250908341,5603.648884529168,5832.4723834554425,6070.719732997606,6306.371498078389,6504.925227621561,6740.046663872062,6946.115928130589,7150.058730249634,7386.619155726438,7576.270192741036,7782.302389356142,7988.182757507806,8180.931740033961,8378.40084476867,8581.955353577474,8767.127079633125,8958.664159987333,9156.655784347635,9346.330139981925,9525.562483888738,9711.966074230104,9898.875826825399,10085.518620168745,10245.134587899667,10426.089413080193,10604.339228934004,10775.92166609711,10949.965384055185,11132.961991873903,11283.066545662032,11469.990535468016,11637.470770299029,11797.132911922168,11967.08284192303,12134.666082506039,12305.09984383699,12442.719468648917,12620.101395679121,12777.444594659508,12936.045275864255,13103.235377704836,13253.385635226168,13421.18798665656,13576.586888019612,13731.187584895373,13873.873533610844,14032.61464921077,14195.278469354535,14332.141169445804,14507.340774856435,14660.005802444555,14774.941100569595,14932.406380403958,15088.106004795809,15231.347730690915,15369.837851512655,15526.971648184648,15670.319183775693,15806.28616513892,15970.97679303504,16101.05263054917,16255.59374050014,16398.021835205174,16527.46911719247,16672.632899285472,16824.173842592172,16955.425729688362,17091.772455363116,17238.146948291807,17374.753879723812,17509.771331061147,17649.734034139332,17784.46990650265
