,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70
Low,493.2973664120475,653.8157094478275,783.5413100121125,897.3221444921,1024.9201033869,1130.6601568959275,1237.426447246295,1345.2503379381499,1424.6556079315226,1523.152956037675,1616.06923481905,1713.060113277475,1810.6428422496
High,794.513823490275,984.4644240054275,1136.3253351891974,1278.5589435983575,1390.0586765571975,1508.0936247628952,1612.0162263344,1693.6137324581075,1763.9189538850524,1833.334566303825,1881.9260312617998,1938.0162198854725,1977.2130029514474
Mean,627.2862565940686,805.139302052414,948.6588722668595,1081.7449875977543,1204.0330621561393,1323.6605461530205,1428.309082254488,1526.0747070217722,1611.3321624783628,1703.6327353890329,1790.3548207247275,1869.1575625847336,1944.6051843557734
