,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70
0.5,35.19436167263073,31.267503593659725,30.27972400774568,30.591386661883956,27.66694134603576,27.881187418299586,27.338399991143433,27.15207115342489,24.78111181546329,25.204487549953818,24.05984384411248,24.44770305710484,24.915851214086338
1,39.86286475107019,33.12498787550733,32.94646174446085,32.73239963817213,30.115607420439385,29.059956069311163,28.615612997994127,27.513434354763,25.41562215526268,25.75587997418204,24.85657986638643,24.915776440705912,25.227570546400173
1.5,42.32913443247735,35.43592545451441,34.805629401503865,33.52680822170744,30.452572421145053,29.818572499501503,29.099772772752544,28.070550595520338,26.36875630824523,26.280703411190803,25.218325882117206,25.143296657560953,25.350043374890515
2,44.04189951958064,37.47516113329082,35.63442917068434,33.81123784265798,32.39005673407504,30.36866007178016,29.482739411383584,28.261617983540063,27.115198868302283,26.4026599974492,25.574957758166352,25.608185662644814,25.6058317833982
2.5,45.35828520307706,38.82199079265327,36.236477201858364,34.16676396665882,32.744663495576376,30.681424540615602,29.835850302343164,28.676896595593007,27.336625892345364,27.106683390268216,25.851815931366332,25.796534372127027,25.833551897150063
5,49.43949499076551,42.54528496101004,39.40801226662667,36.4467322419151,34.474606075406676,33.066096987660416,31.514965702857165,30.129256583838757,28.90813645414686,27.886804118718462,27.15703658537963,26.705690265715713,27.419731429357185
10,54.1557494092182,46.73723563871223,43.07961134033764,38.94926188339791,37.05415043070859,35.16638199286826,33.4408694405778,32.17049799388326,30.6364705974588,29.49292095562066,28.52503118376172,28.09430740735024,28.3014333497681
25,64.18238465660374,54.83626563415785,48.88892319970052,43.6973680764818,41.2476116034763,38.84262355014425,37.07206738009758,35.15246968672035,33.495547097796404,32.262015877971294,31.140173939238675,29.977277069263724,29.2346730596087
75,90.5239672126289,74.09727608106685,64.15908386483302,56.6309788165553,52.079180686665325,48.59809429872252,45.606670521084126,42.372078103126725,39.51504601909285,37.32717188160172,35.128961476010375,32.67220114821693,30.554413736176077
90,101.839023800351,83.33061382387773,71.78865340512876,63.26796971144868,57.013315210240236,52.85578748722137,48.89724066792908,45.10872399954644,41.6750716033104,38.94615254353374,36.354980928591544,33.69998781957286,31.14043648202439
97.5,118.71906633611769,94.03182443053674,79.88301064737315,70.11487572173297,62.73993618739275,56.93949969580967,51.90559479170588,47.72954979520554,43.808432046723716,40.95267088926631,37.800811702277386,34.93730445769166,31.83991719851692
98,121.32671280438915,96.7159402320221,80.50006656265825,71.37573095283193,63.07928829644304,57.70719638350023,52.726768989366,48.05412973173202,44.42381468877229,41.18181655742623,37.98078724472976,35.07082200122753,31.866908562309842
98.5,124.39152616034075,97.98729004402796,81.49706990267953,72.56510338084199,64.09344373459992,58.24285714904506,53.248309050346315,48.241337290323784,44.651970273450424,41.340077994759405,38.105363649271936,35.242937099888785,31.948411833307905
99,127.2381056574489,99.89625192215438,82.66966116196285,73.68875216501729,65.18706900682805,58.55300237251495,53.863634334605756,48.5247534578108,44.8542614579662,41.746570078038715,38.63193250510846,35.36860415106145,32.04453628236647
99.5,133.8445128735074,103.42288830461025,85.68128997653729,74.67051896876985,66.18423656930803,59.501493938542275,54.214232242269524,49.67520482800406,45.70565664920285,42.03656988575996,39.70462980097122,35.57160538513504,32.326143865462306
Median,76.65228608469,63.369374135447245,56.11816053914845,50.4813061102383,46.843318951981146,43.5690459775347,41.246594943855996,38.7981856470234,36.443669974050195,34.968851988679305,33.33165193258015,31.5101191601685,29.8807787928713
Mean,77.9244903606797,64.5821998826376,56.779735451932574,50.69231897111449,46.7807872095983,43.76053129298227,41.232699647662855,38.7038911930904,36.30633599005439,34.61013018397102,32.88321551276108,31.181940585410274,29.76125720349956
