,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70
Low,129.23294662104342,132.96986971122175,135.175017460155,136.86205634909578,138.1533127043689,138.7693545287077,139.75362661944956,139.94942789775385,140.51514200163052,140.8492647472167,141.3431070316619,141.6952419926352,142.08385779229687
High,184.2893621479631,170.32386641837428,164.2975166208331,159.66903642271117,157.2633081333878,155.13033989891912,153.61433695533475,152.25509299720656,151.08782274038654,150.19505363466985,149.41251949858383,148.59662349911,147.6854981884875
Mean,147.5925130205534,147.45102135198604,147.02896101487352,146.88730897948588,146.90207590729057,147.16262710820686,147.23138764156127,146.94682066510313,147.0500474731602,146.96447025252237,147.157651995407,147.00583480979827,146.98359687969815
