,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440
0.5,879.8496224700001,1216.5223815250001,1523.39501558,1774.87165583835,2123.652927621835,2413.337873035,2648.5172817853,2850.06959295935,3118.89956486685,3420.3612294,3615.685890448565,3940.3213515316997,4135.49515951885,4417.04106840185,4624.775417489151,4928.712854422485,5016.153072002565,5403.9899933775,5561.184139823636,5721.209596391201,5998.663392590885,6215.67360053715,6364.99672035685,6716.1410564234,6820.623980722,7026.0880969076,7074.71743666985,7434.1097638755,7585.95139471455,7925.061560656434,8058.294069379185,8106.052035227501,8491.8427500689,8499.2335075667,8795.85609364315,9007.074148557735,9212.145890271851,9401.354160560715,9565.10834140125,9759.9456093833,9819.607060806185,10032.25919575725,10249.660553031285,10409.9020586295,10662.914662505,10844.48366365,10993.842071488536,11104.23300934365,11248.70704850375,11509.4955055809,11756.773495921234,11776.7852833342,12028.45127973295,12270.032600949899,12416.99605902885,12437.491356231865,12712.459566443935,12785.040936112,12965.535004018315,13152.60915526515,13354.8100230232,13397.682436924364,13639.62631744145,13835.58918824805,14064.61184541055,14217.237258173936,14326.5022397275,14515.549092136034,14701.03522153655,14777.0548797655,15001.5439608212,15193.95465111235,15295.95985139,15513.72475082125,15681.412610686351,15817.75232858265,15999.0834335167,16164.4781378974,16298.9056647037,16512.142124813636,16719.7204221023,16808.685369314047,17011.716710369397,17204.563280317,17428.833805046997,17611.1045262875,17845.168046036997
1,901.51514768,1237.55610622,1579.72031539,1826.96595611,2166.751828601,2458.3336351256,2684.3016191543998,2958.0859635102697,3249.6021877514,3486.0247104431,3709.63010081013,4013.4597405585,4228.97746036,4470.155096898399,4675.5882300758,5004.9500238085,5136.192723292271,5457.09357183,5618.095352271001,5800.0390517961,6090.5918124279,6284.8256636364,6477.6282703444,6758.6875684533,6914.201998448871,7109.23461299423,7394.0323886863,7552.0366540434,7665.4221942722,8055.79979928367,8099.2357077685,8289.775857570101,8509.0816719689,8623.5746841304,8891.660721605102,9075.709659706601,9323.9782487123,9427.7690391577,9648.91654222947,9829.9160047161,9965.03154452067,10175.6254367403,10343.58735291293,10570.36341410287,10768.65628226927,10901.371277211701,11077.19371065803,11196.201096516801,11324.887352495529,11577.333338106799,11814.089713820069,11917.901352017601,12064.4535654136,12322.542632045299,12490.5770420845,12591.82732610843,12754.8168560042,12891.63808156357,13100.148543427,13257.3519729711,13387.58744398443,13563.881785621901,13726.36567469873,13945.1295738137,14134.84812097997,14317.87549609393,14360.503997066,14576.64796097077,14805.86831476373,14891.07133040667,15099.916429159299,15248.53273294147,15411.891607187,15605.26026377213,15701.886939557,15909.3899598914,16064.9887919737,16207.6935931097,16363.001129897,16564.899748506698,16738.569094413702,16893.370702717002,17045.411649237,17232.186263396998,17456.903791257,17664.406432777,17884.523731227
1.5,936.5637102000001,1265.6828050416,1606.167858225,1856.0238851851,2188.0142271901,2487.3477069095,2713.141045825,2998.3513353499998,3282.9480789399,3514.792749423805,3767.6923535625,4042.0171282267497,4264.582698668455,4545.5917477384,4710.1661150742,5044.20090770725,5197.096346683899,5492.70536635755,5720.686127295399,5846.704728881849,6109.441559118501,6322.405764380205,6538.356492664855,6799.642137922599,6964.775881392505,7146.044236202551,7413.224121152551,7603.37081039535,7748.527408504345,8082.2345274603,8203.046584189804,8364.932377993455,8541.695164527246,8675.812312077354,8970.43771001495,9124.835331987295,9361.31742124355,9459.397187139699,9677.8439674468,9894.125068959054,10022.18460790445,10224.475755051155,10396.555601930255,10627.77269374135,10813.7623350497,10963.220933551695,11113.403697016794,11252.0863596755,11375.5291427087,11610.751454561496,11851.643915437706,11961.192447073405,12175.067344344056,12361.131344977304,12522.6965776527,12636.428647521849,12802.8363932823,12964.494394662255,13157.98777256705,13295.8857969328,13422.554939485855,13605.109547428796,13781.78112358055,13971.728016358555,14173.5104515531,14339.80814442675,14433.292413925601,14639.1715373295,14828.74663248645,14935.753689207,15126.2615446935,15266.3648922405,15439.456667617,15628.9587701712,15771.375065783599,15935.755742394895,16082.932724564149,16253.27248398215,16400.01180465155,16594.76021220645,16761.0702435051,16906.7090640778,17068.027661062548,17264.942433752898,17464.726449082,17687.906680101998,17899.188033337898
2,952.2746154646001,1293.8750626400001,1623.1856869,1914.2879427399998,2212.3038930678003,2499.77050086,2760.2159316800003,3020.7329383012,3312.6635741236596,3570.2549605465997,3824.73886948,4062.6255236734,4302.68568043606,4571.3532455404,4760.44234766046,5059.13140042174,5219.51991692526,5528.5696351222,5735.2893907669995,5884.60320045474,6137.3855573888,6379.39588265894,6569.884517600401,6823.3138282062,7006.06857989434,7174.123669120199,7457.917339958401,7626.7813185218,7793.21885554066,8113.493189839,8248.167010837,8391.1384231666,8583.141096627,8741.693642902601,9015.80311714106,9157.11804365346,9392.03210523674,9512.26362097966,9726.74532343746,9926.0147604434,10091.864376519,10274.940371494658,10432.6205611568,10658.969608490199,10849.693555742659,11000.716656262799,11143.978067583801,11328.37136090826,11450.45634577426,11675.825504153,11887.6035603644,11989.5118131192,12216.32605948954,12392.432457450941,12554.2079737284,12703.1345134682,12838.67404756806,13008.518931125,13174.0091754028,13336.627334196939,13498.140016395,13645.606647454,13817.7692628078,14013.6408353916,14192.078526530599,14364.25541800046,14464.278979255001,14663.800437376001,14837.92151828794,14956.80536159966,15145.804126991401,15283.325525170001,15473.527523754401,15660.727256074999,15785.955197564399,15952.631741920799,16124.485647183801,16283.106370316998,16429.70055966614,16621.4594486232,16775.032838055802,16931.9310343744,17118.357197817,17284.247229682198,17480.376452084398,17696.947499157002,17906.030492437003
2.5,965.4531528499999,1301.47949419925,1632.6217096,1930.04319034,2233.107745575675,2515.4477477249998,2798.69552558025,3037.518976375,3349.29802027325,3586.5483319,3872.58380390175,4089.74277586,4334.9205493485,4598.02780453,4799.885959235,5093.141145621749,5273.1362914085,5541.361791648175,5766.7353909655,5942.04080827025,6171.908064121751,6395.335690503,6594.4426903594995,6841.30515977075,7022.44079401275,7200.453659607176,7501.59440471575,7656.887101754,7800.921821615249,8142.076145810574,8283.69181964425,8407.728381698425,8626.240564095999,8778.672995293675,9032.618275074748,9187.003820996575,9424.32110779575,9535.411594696574,9736.511683247074,9953.973078546574,10105.9760295985,10310.461163169324,10461.52986243475,10668.2665752735,10888.23883071575,11019.07516660475,11170.812979955075,11357.00265005475,11477.284937345425,11719.142652436,11901.869110696423,12016.302040741924,12249.833909673676,12400.653167935501,12600.033907596175,12721.48269233175,12877.778798124426,13038.523824413674,13219.643163607676,13401.094217356,13531.444515924251,13677.502893106252,13851.063922446074,14044.209673693325,14231.219111665749,14377.409054793825,14496.774682101324,14687.335728912425,14857.258943011,14991.4346163915,15171.646760505999,15310.64110208575,15488.859898511251,15679.5926445055,15803.060369598,15981.41709722275,16150.089050832325,16306.85306763225,16441.511868957,16642.391289938998,16797.5911215095,16959.9770924945,17128.112329532,17304.094789336,17491.593055282,17713.723954357,17912.9330700735
5,989.3090981500001,1340.75874745,1713.78270575,1993.804769,2306.56982105,2598.6634122,2897.952174999,3098.18573505,3411.673724455,3692.2051182898504,3952.21425054965,4195.8014336135,4442.156750148651,4679.2410111685,4909.480069896,5173.704364417,5405.028734926151,5664.9203689175,5857.2170620078505,6058.7363122219995,6286.05226996685,6510.743945472999,6726.5633375615,6951.478022008,7137.058628047151,7333.875675839349,7587.47141614235,7782.40570321015,7927.711490347,8239.599136509,8382.072613429,8576.2311174155,8724.773287806349,8936.6755432595,9155.841760151501,9307.481033298,9511.9451418935,9677.96270519835,9851.56956106285,10060.587196387001,10214.62515612185,10412.49521023285,10607.07149397,10772.364467677151,10972.510160925,11119.09080330185,11288.48288024615,11478.921738838,11625.0826408555,11839.00721007685,11992.1889167805,12121.210067112,12368.6611342895,12494.970346958,12692.25457929835,12814.7715608125,12998.739128752,13139.7287690045,13331.5185766285,13484.045356908,13644.170231096,13772.662737419501,13959.799295681,14176.726392274999,14305.165952219,14454.54804345315,14617.6056921255,14781.6193697755,14944.9370576285,15108.161786254,15239.7588733135,15397.499473924001,15595.03894919835,15739.95179399235,15878.574542525,16049.3500180835,16221.60549949315,16360.982292552,16504.906170552,16718.762739812002,16857.859240757,17016.054772301348,17190.128000807,17354.442741806997,17535.2641376305,17747.934930212,17936.269843907
10,1039.5991711000001,1395.89374,1769.289142306,2064.8940916,2397.919751721,2668.7602526269998,2983.7037373,3221.3997602627,3528.7254033510003,3801.376337191,4042.0976573,4310.467687210999,4559.5166514229995,4801.507454377001,5029.419604557,5326.899686773,5506.120908997,5786.432844924,5992.906615745001,6157.958372077001,6412.550146331,6647.584980802,6843.3595961133,7068.8119841657,7264.7339902700005,7483.193598604999,7704.931649312,7914.321430596,8055.98204037,8347.096276746,8514.831164943,8685.968149404001,8872.6190579933,9081.563266689,9274.313396484999,9447.594078692,9659.0134760633,9790.914260607999,10021.680650795,10185.2206052,10364.145096671,10548.218378402,10714.396792454,10898.231277733701,11095.0548895537,11229.3568213507,11415.8378743233,11612.0521239193,11774.392579614,11940.7660421297,12101.7632712023,12232.8500368317,12485.076731187,12607.047268813001,12794.6160569067,12918.623753132299,13091.392770327999,13267.5911194427,13444.6401199593,13631.964438704,13761.67058069,13906.322644881,14083.667807911,14275.385745428,14419.4700427727,14551.802104733,14715.077799242299,14890.549025004699,15017.287689023999,15192.455936987,15356.2352014553,15514.556627035,15692.395667051,15825.960461264,15990.53048362,16131.215781531,16302.5672433457,16453.16220576,16599.186090357,16775.79548067,16933.936225641,17093.978842647,17252.353293957,17416.600986940997,17588.981797656998,17785.565046657,17957.128580957
25,1124.19473225,1493.400248765,1861.3121968075,2206.165691,2533.35473962175,2827.2583328875003,3150.0643254025,3389.2129507025,3694.583704645,3972.0723311700003,4231.29209745425,4488.61241760025,4758.3692230202505,5007.0404088775,5243.05599060425,5511.8518114875005,5734.5289666275,5977.065257645,6192.9202142175,6390.15664675275,6644.1927969792505,6889.49655955775,7065.356730405,7290.34749227,7488.52359475675,7688.16632612025,7899.64798224425,8112.91655107175,8272.039374940001,8545.459511952,8730.117930752749,8891.592112927749,9087.127006974999,9300.284946049249,9496.020987857,9681.65652670925,9850.70608787525,10054.800340450001,10217.1652437795,10393.134978257,10596.604918460249,10749.2331673375,10929.601874067,11114.16524041175,11286.92631522175,11459.38538201175,11650.447740416748,11825.77704641925,11971.1342454395,12146.111647142,12283.60564003,12453.8097593245,12659.833156445,12813.713221267,12976.745510465,13118.257503627001,13310.743657882,13460.34281372025,13624.6807236195,13809.296594107,13958.441275831748,14105.619828392,14258.28428467275,14440.34668528175,14583.601037797,14741.897926325251,14895.640552722,15051.934796582,15190.358866707,15345.4293514045,15520.97582218275,15677.105635854501,15832.8045765345,15982.6668033495,16144.106543732,16291.77423639175,16431.126400256748,16595.4254000895,16736.70824971525,16902.508791712,17045.9627447045,17216.353303507,17360.2405048795,17504.3637637295,17669.535151932,17834.6214258545,17991.317188507
75,1298.02712367,1735.3757755,2120.8792404225,2497.691302875,2837.65325015,3166.15301104,3506.0514388075,3806.51327932,4073.09498868275,4386.46551484,4652.7946979675,4914.06608082025,5177.9053427974995,5448.40339366775,5687.58497367425,5962.02449994,6182.938562497749,6409.13581119175,6658.91113165275,6846.45933827925,7117.90659414,7350.29045960675,7563.03258467425,7748.3063349475,7975.78479571025,8194.38947408775,8387.3051116175,8601.36223068925,8768.49983504925,9013.254835805,9158.11594187275,9385.08829940775,9588.082642287,9783.0730604175,9963.885874687501,10155.80626207675,10353.514455057,10496.5563234775,10700.437669255249,10870.5092378845,11027.94273240025,11218.8324004625,11400.4951511375,11574.224631640249,11749.6228898275,11915.898263362,12120.3655549245,12243.7229423695,12441.002415902,12591.418753196998,12768.67841325,12921.26531375275,13081.31019388425,13256.04247108925,13436.40036046,13552.42972397275,13706.147792922,13906.944754395001,14046.477926187,14201.7732952345,14346.4857470595,14507.946983622,14675.582153292751,14832.601809252748,14966.82943428175,15108.894585865,15261.2809306595,15421.3733099725,15545.562984842,15696.4400154545,15871.283339489499,16012.580704182,16150.769763847,16298.115804802,16437.781299804497,16584.085461157,16717.51113655675,16855.2869834195,17000.214944741998,17137.769815507003,17263.417789407,17405.47185790925,17542.2492988545,17678.296985547,17808.15765136775,17931.001704257,18047.331197507
90,1388.0173092280002,1837.92565911,2236.294225306,2629.259366542,2990.86561569,3341.5436133000003,3672.516043487,3972.837218132,4251.970379187001,4564.965883506,4814.1258123843,5108.279541905999,5378.000248477,5647.544354671,5886.022895255301,6158.029575141,6389.875962366699,6612.4388911470005,6867.2185008767,7071.0684177097,7337.556613058,7537.6200635233,7760.947047921,7979.5982375813,8167.5443242599995,8407.532123167,8598.288002733001,8827.938357993,8985.3159645877,9226.314446415001,9390.1424497807,9595.7871067953,9799.798851726,10016.788889836,10175.8095000167,10364.242083306,10564.9259053903,10726.022936266,10894.0294716377,11076.9984009187,11243.1712082313,11449.96276185,11601.993059817,11794.0211309053,11971.778374975,12129.8490165243,12345.835604704,12464.898634965999,12642.75673468,12817.200598314,12944.362057625,13127.604300725301,13282.579231695001,13441.096551408,13626.387855041,13760.6642758467,13902.350041314,14086.467421473,14207.9245965337,14388.047878695,14509.769604693001,14683.809516425,14841.8948594303,14981.3403464903,15109.461917384,15240.534406261,15427.9277877213,15561.904470832002,15698.820277666,15830.669521193,16005.305918128,16150.7606576953,16276.83029742,16435.986156057,16564.706193948,16720.283195387,16828.8883303783,16962.2714007343,17094.764185841,17225.1515092247,17356.656272343,17480.955375267,17618.596837874,17739.6563850387,17854.439386074,17963.147217057,18056.787731457
