,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580
0.5,1120.94071753,1463.15202796,1737.773342975,2053.857641185,2335.7837155849998,2574.38904517,2881.19398083,3124.080967075,3406.682944705,3561.7002420999997,3844.364774755,4232.224186465,4371.75622596,4562.244641055,4704.5655633549995,4939.652843345,5120.187982385,5368.890785205,5616.7581500900005,5809.705149455,5905.273339415,6100.39604771,6299.7835347,6384.528078025,6717.76313213,6855.583427709999,6888.598389905,7116.8008111399995,7283.60435509,7533.865406645001,7637.906515025,7862.85537299,7923.366602515,8042.8691868450005,8255.695049795,8395.772455315,8488.15531189,8655.663355245,8795.95955168,8993.30641882,9110.123180005,9283.903681369999,9408.413200800002,9631.518745374999,9631.257166735,9687.450423465,9749.030091585,10077.16267583,10126.278887585,10294.087983925001,10550.059411909999,10591.268847565001,10645.493887659999,10973.226875875,11017.754864909999,11179.801748335001,11243.136801925,11370.077184560001,11571.861749250002,11591.923620775,11740.575219125001,11895.690971905,12096.93131917,12138.962646765,12210.319928515,12447.396242814999,12547.39140144,12618.71286247,12758.50234808,12982.28201348,13055.54922332,13060.60764262,13286.601927675,13452.88850701,13588.031586309999,13646.646821499999,13665.152329175,13828.181534635,13943.34585142,14305.77838833,14264.809808490001,14458.549072655,14597.720414595,14785.45982232,14959.566517775,15104.693670499999,15013.14709393,15243.631623135,15340.071600469999,15489.883136165,15452.981885715,15688.611097995,15815.22461752,15975.68269114,16172.904210654999,16183.917042960002,16334.881430915,16503.77623407,16479.821299955,16776.581044905,16684.513380905,16946.703434465002,17119.934327935,17060.82432514,17324.234368105,17401.755424355,17589.952198715,17708.933291975,17852.10542512,17902.645450035,18142.42329295,18285.188079585,18422.98500847,18628.250288295,18729.169771794997
1,1147.92515349,1538.57617048,1831.37847761,2143.53981592,2407.68868109,2642.5221171499998,2911.04312587,3256.53067775,3478.7499009999997,3729.26656214,3961.2864929,4246.75426278,4445.81278456,4597.39511133,4823.66255679,4985.7291299,5262.36143718,5443.34917584,5664.24149379,5875.4125565800005,6035.61387998,6258.473439060001,6374.63041857,6559.55048262,6767.21856439,6898.79461999,7033.264988780001,7219.91423991,7362.49818865,7591.41456772,7757.18090048,7912.1455553,7961.70882628,8127.85333866,8397.59985875,8451.10748299,8611.68222827,8752.995527840001,8917.17807101,9088.7192808,9231.36177075,9413.938370329999,9482.4020169,9694.44144344,9755.63662227,9776.73437746,9908.85215941,10211.24435348,10282.93495171,10432.64673353,10661.56894832,10704.05231447,10761.23280017,11033.25822494,11065.76691433,11258.44849543,11344.54934986,11420.4985642,11640.12879158,11701.46162708,11933.36406523,12023.80381974,12164.08496221,12271.22542737,12470.81165745,12624.84928258,12726.63244446,12811.48184369,12927.16812237,13037.590671830001,13125.82582079,13251.43916485,13432.88153588,13595.55589297,13665.51088046,13866.81035591,13851.81908599,14079.775847210001,14114.846500919999,14372.02700017,14345.663233599998,14557.598613459999,14710.80028736,14839.96449568,15042.12273628,15162.80893103,15072.98037535,15282.99800643,15404.25571186,15614.1910218,15684.81863977,15768.91368992,15947.27163719,16044.48671792,16219.13338505,16325.76590722,16426.33454355,16597.60310669,16562.150062470002,16848.98011226,16954.12236174,17072.001631699997,17173.901720579997,17276.56916077,17404.25058594,17492.98971388,17657.14336969,17770.59663194,17946.35969574,17974.83341771,18199.90481732,18375.106380110003,18505.52751376,18656.175946410003,18814.83132957
1.5,1203.62977826,1570.878021885,1840.87993057,2155.27152652,2463.5288394950003,2691.5040838249997,3009.079685315,3312.09498685,3503.36643941,3797.80261176,4013.684514195,4284.0094497400005,4511.834469154999,4679.0180224,4885.129949795,5025.77851224,5293.89898414,5535.447923065,5718.1426189700005,5915.90494167,6107.634003495,6364.05754671,6481.4558984899995,6669.147480025,6801.53476882,6932.093864054999,7138.47973915,7302.6380707,7429.57191405,7630.480970925,7810.207377615,8008.270070965001,8045.541462675,8220.672971015,8453.33579554,8546.763258445,8653.732559595,8817.026633835,8967.824248019999,9108.174475555,9304.77851899,9477.713778135,9531.36602675,9734.71946718,9858.96291482,9818.706581735,10055.243630745,10275.024549400001,10411.11387306,10464.67840212,10754.233330395,10849.780096035,10811.751978245,11079.92852606,11154.959842485,11304.237999895,11401.20133978,11550.807817175,11684.86899598,11825.617116525,11982.554602615,12077.54543124,12208.01127396,12340.997319465,12515.26180887,12710.342446555,12760.387787145,12904.06545848,13003.3767722,13132.60150743,13250.662091245,13381.641961425,13591.173724369999,13644.959084985,13736.44671659,13958.201373225,14020.599795294998,14177.664939605,14309.95940911,14421.763393475001,14464.53278041,14611.25733387,14792.646868479998,14940.739535685001,15086.733307235001,15246.207488605,15219.949783560001,15386.55236897,15522.272698825,15674.624146345,15723.782094825001,15809.963545305,16000.49592914,16104.915617675,16305.24578215,16390.80231763,16497.764835035,16624.00763329,16671.96095265,16879.98697961,17031.71801798,17144.728269659998,17233.632886030002,17343.229138115,17467.024424675,17548.91022959,17771.029762545,17830.484874725,18004.32595319,18122.250742444998,18250.92529811,18403.046429269998,18524.26722225,18749.70091471,18872.582324855
2,1218.09706278,1600.51724666,1885.7587816,2190.6216598,2489.47420522,2764.7146095,3053.60637086,3333.76189422,3584.35254256,3842.5339617199998,4067.98389086,4322.89101572,4565.2765246399995,4718.22086682,4936.63382098,5136.4445453200005,5364.15314288,5593.41666882,5816.20886122,5980.5874925,6142.0279647,6383.358008040001,6509.2366561399995,6701.899128159999,6848.62393494,6988.66419118,7184.98455408,7359.690472820001,7476.03048976,7695.09960812,7831.49432012,8054.0494904199995,8075.53331304,8285.64858528,8489.3051454,8604.93230712,8710.31368528,8871.18540448,9023.37391886,9180.48659266,9362.119758660001,9532.829474319999,9610.13729722,9802.1247932,9889.51713792,9887.89543776,10111.00103118,10317.44057218,10479.01488014,10565.381366579999,10796.61058374,10929.894618479999,10886.041902820001,11113.530080159999,11201.7950987,11364.24205592,11458.39773886,11653.605069039999,11757.86760444,11929.49506402,12082.22352684,12145.08588432,12235.15411838,12369.96298474,12552.46498738,12742.70463846,12813.360377840001,12948.27350934,13063.2534722,13240.05205654,13301.302142819999,13446.1643807,13640.134887940001,13710.66002514,13764.35952204,14014.960482679999,14059.991073860001,14255.3986804,14372.38019584,14481.55120718,14571.11189148,14720.93943688,14902.909747880001,14973.7540589,15117.01147098,15274.517211659999,15302.425769899999,15485.35120164,15568.610248179999,15744.4662871,15756.54521796,15900.01550146,16103.13126336,16182.94099364,16334.2790056,16439.48084176,16561.05338678,16670.16784754,16733.966554360002,16942.43483904,17057.20601796,17173.54876396,17255.21950838,17384.0572276,17511.73314212,17590.5366922,17800.40272672,17861.33112326,18047.645165740003,18192.918940879998,18309.96817714,18449.2894122,18549.56939852,18779.37644512,18885.33081158
2.5,1244.851268575,1605.49722595,1900.075131225,2235.1083283000003,2506.2119354250003,2793.4311226,3101.964267675,3358.3631184250003,3673.868123875,3853.1663542750002,4088.1864800000003,4351.72942925,4608.46350995,4776.8760145,4983.3754066,5185.31157685,5409.9413593,5634.011997574999,5851.470770925,6016.263320725,6167.458883325,6406.14419675,6531.79492575,6718.4169278,6922.71009695,7026.163291775,7207.778806124999,7392.33923235,7531.492210275001,7729.61151415,7874.805182425,8071.980321274999,8117.3557547,8345.197027275,8516.448736825,8637.749933224999,8780.45421325,8922.025417800001,9042.6716219,9210.81527,9392.901010225001,9582.111143275,9637.365709175,9842.325379725,9960.2830704,9948.131823875,10202.342176475,10339.759130475,10503.672236575,10624.51831055,10843.57227305,10955.34945705,11003.389750375,11215.26003485,11320.4005425,11448.250176874999,11532.8445402,11699.2267292,11785.976497025002,11976.31289955,12126.799626775,12189.656853774999,12292.009631125,12422.587898275,12610.1604302,12757.091175525,12856.722609175,12985.31897235,13131.415097925,13285.31243465,13423.9107253,13505.97504685,13682.804298199999,13746.460417749999,13819.409717699999,14096.496018250002,14128.9617461,14292.20936485,14398.91021155,14528.985161850002,14630.125150824999,14758.0610958,14931.2184559,14985.8681818,15179.453036624998,15354.965465899999,15385.266454425,15508.6171226,15586.051539375,15775.808324975002,15803.2280524,15972.36736525,16124.29050105,16224.372939675,16385.37293735,16476.024332525,16595.9042664,16735.866583475,16766.429843625,16962.429525625,17082.538379925,17189.293319475,17296.592460825,17401.637372975,17546.989563575,17643.7310124,17812.975562575,17893.096014324998,18075.304370474998,18227.11566915,18326.109928225,18468.17934155,18570.109688975,18808.852107225,18898.80853665
5,1274.3186544,1660.236875,1965.39336905,2350.08571155,2606.1348499,2879.8202433,3220.07052615,3491.7049041,3757.3798078,3948.9100106,4241.61521745,4478.9201153,4729.94825475,4901.85171435,5130.1439553499995,5287.3705972,5554.512186999999,5754.14009105,5944.3607811,6143.2322142,6317.44301465,6542.492618550001,6668.6451214,6839.49768055,7031.471635450001,7185.115639750001,7370.67018555,7532.7695267,7682.6957090000005,7899.25523635,8022.8854974999995,8197.7388439,8285.908067600001,8506.908919900001,8678.027857050001,8772.1929796,8943.59561495,9081.88598345,9182.523305,9368.95154915,9542.15547415,9691.1377809,9829.9175622,9983.78696165,10133.579598350001,10133.0407468,10375.69892535,10521.351340250001,10664.1078706,10837.11314285,10968.53613065,11080.1667206,11194.059120150001,11383.960871250001,11451.059812149999,11597.676282299999,11713.4993106,11829.4332079,12034.879493550001,12171.6974693,12277.61239715,12360.6327496,12510.18103155,12646.29167675,12775.44758295,12930.29242345,13007.6132507,13194.96241505,13270.2886635,13444.84284065,13573.118498650001,13695.23513215,13832.4222668,13912.8938168,13995.354613500002,14211.677587099999,14256.64449525,14419.167361099999,14562.7086085,14699.2328287,14787.2797678,14896.02656905,15056.84444595,15143.394651600001,15320.9178696,15452.82370285,15493.81961165,15604.434173,15745.315977749999,15899.690559050001,15954.722437,16105.3101428,16225.5616582,16350.16654755,16470.6554555,16568.513370700002,16705.4952463,16843.16941655,16904.9111721,17042.346050199998,17186.8763739,17298.1150095,17394.21848435,17558.00694675,17622.445849,17794.83249355,17919.7678065,17996.09074255,18183.1991843,18282.8195229,18398.98780225,18557.986048749997,18657.60619785,18861.099920049997,18965.8242491
10,1333.5433774,1741.7247647,2078.0183017000004,2424.9173531,2735.0927844,3012.0738125,3324.8875677,3617.7888479999997,3860.0277174,4109.1661287,4362.6831139,4662.8646259,4868.7906256,5055.0273247000005,5268.8100769,5457.8555419,5700.837118300001,5909.9598807,6113.9950841,6309.4697938,6483.145693500001,6695.6002948000005,6817.4931857,7011.574848,7219.7190512,7341.24893,7541.8365568,7669.3911812,7831.881410800001,8059.1737723,8160.884533,8386.6140472,8479.9958433,8695.05913,8830.638635300002,8969.9873302,9091.389928300001,9282.1952632,9343.9851949,9541.4564112,9744.8062532,9897.130299,9989.5185355,10181.201437099999,10313.135161299999,10384.2930269,10587.8461357,10690.4590844,10868.840080599999,11036.6745892,11158.4914455,11266.6086644,11421.4027506,11568.145984,11635.841672,11769.6404916,11943.8277589,12054.2154618,12221.6695227,12370.391371400001,12477.2960922,12575.5778134,12713.2505342,12836.444406800001,12975.450035,13140.4013737,13230.8639741,13357.4398554,13501.834453899999,13660.446893100001,13741.1640248,13867.1346131,13993.5495854,14121.1014304,14176.9229883,14365.309424800002,14437.8078513,14583.187272000001,14718.8992734,14832.758287699999,14981.8428092,15101.4827663,15212.283597200001,15322.596260400001,15462.2665393,15611.965318,15641.732941600001,15791.801218,15874.8630921,16048.48983,16099.2967798,16271.1489023,16393.549035300002,16508.9532866,16608.776896,16725.0925073,16850.3950146,16973.0081196,17122.700038799998,17188.5856127,17305.3422846,17413.705822300002,17549.7400376,17677.0729338,17749.1215363,17904.6715792,18034.0227059,18137.4681482,18264.472884799998,18382.360892700002,18468.5499724,18646.3682238,18771.495338599998,18929.1754488,19058.5962118
25,1470.08340075,1883.56652975,2254.8788975,2602.693547,2962.0791287499997,3209.737358,3565.0192175,3837.83831825,4089.3008255,4372.88408325,4600.43715425,4833.01547525,5097.055228,5303.16251225,5517.427868,5740.720765,5940.32508275,6154.32560225,6364.4789075,6541.05936425,6757.883942750001,6948.4611375,7108.8795855,7301.2255395,7517.901985,7643.58414825,7835.95409025,7973.73843825,8158.129710499999,8335.931848,8455.09151175,8643.1597645,8801.68006225,8997.98087875,9143.5739855,9276.0673055,9387.88380925,9613.523822250001,9712.52069425,9897.302640000002,10095.6210845,10189.797651,10344.125515250002,10494.79475975,10623.72315325,10755.7076225,10885.40983875,11040.3070155,11216.29772725,11347.441448,11447.756254,11611.74707875,11745.08314925,11843.12952875,11957.8583825,12122.998261749999,12232.226698999999,12389.411320250001,12515.2893325,12631.9158495,12765.90062525,12917.026057000001,13019.094906,13163.053042,13297.825753000001,13441.046672749999,13524.969547,13655.9147,13781.7630145,13912.14447875,14025.33658725,14159.616985749999,14286.84251125,14417.457455,14465.120782,14614.679396,14760.99644775,14868.8775995,15005.58730775,15084.71319325,15233.47268925,15345.791288,15467.9772885,15532.975843249998,15694.61727,15826.91924125,15914.2600155,16062.464357,16159.07800425,16269.31945375,16350.38705325,16514.202236,16622.916641750002,16731.451803,16845.57403475,16954.91026425,17068.39573475,17193.74037875,17322.30211625,17401.985923,17515.2757565,17639.466439750002,17725.81778,17858.8092035,17947.08157125,18090.403085500002,18203.479687,18316.8014605,18422.9525235,18530.63121975,18633.45002725,18763.0427395,18875.0436055,18999.621073500002,19108.09383025
75,1755.47929825,2263.79522975,2717.62852575,3088.31307,3454.131785,3740.6451515,4071.49060075,4391.751522,4670.342213,4917.75808625,5220.88139225,5447.88313225,5718.1514234999995,5917.93547625,6175.2792735,6410.9378639999995,6600.09204575,6776.76856875,7044.746627750001,7201.92198,7443.42735175,7614.25051175,7773.650841000001,7976.13567275,8190.92680275,8375.33227975,8519.932092,8695.40987625,8867.332337,9050.77869975,9189.12413425,9346.57711325,9517.9443765,9699.71175125,9844.008458749999,9964.2643375,10086.485023,10324.15503075,10429.41356025,10609.155962249999,10766.4383175,10923.35095,11025.50855425,11163.21042775,11315.36310775,11441.487149,11554.56408125,11721.206986000001,11843.15618675,12007.155179,12143.377546,12281.061398000002,12391.36919975,12503.5810685,12641.580401,12799.367011999999,12899.11479675,13076.9642465,13173.1268045,13253.622284000001,13383.3740055,13538.788783,13677.901393,13814.16126225,13938.10588075,14055.7654205,14148.43619525,14281.44615775,14395.627265250001,14512.80655375,14643.777381,14766.764085750001,14866.49741225,15008.19175925,15056.594752500001,15217.71919225,15313.69006825,15452.05960925,15533.625788000001,15676.255290000001,15787.18995025,15886.497672,15981.4308445,16085.984378000001,16216.2543115,16329.0987725,16424.746807,16552.0512595,16666.8219855,16756.67020325,16877.920377000002,16967.052213,17076.6495365,17178.304702250003,17280.662275000002,17387.033361499998,17477.628248,17604.352557500002,17698.1607735,17803.0233985,17877.8632415,17984.535572,18076.7354705,18169.67594,18268.940934500002,18372.8581225,18473.77786225,18570.2287425,18657.94293575,18748.44962125,18833.91287875,18925.176866,19004.103557000002,19092.093217250003,19166.62775775
90,1915.3098329,2464.1910807,2946.8544944,3329.8904512999998,3698.9218858000004,3996.3716391,4334.8813192,4680.2485699,4934.5376481,5227.1259723,5485.3267906,5764.1333907,5999.7758516,6224.5603873,6460.6561987000005,6705.4355157,6890.4665997,7119.9174076,7310.4009942,7493.503183,7744.6813354000005,7913.6201749,8070.1012538,8292.885268200002,8466.6372469,8708.3657083,8809.1134545,9011.5208621,9201.077255100001,9328.5993618,9487.5533048,9670.2100905,9814.9397539,9957.7158093,10103.971866200001,10249.2418508,10404.950325099999,10607.911597,10719.4032443,10919.175072700002,11054.6249033,11198.6535517,11349.2801024,11456.1485449,11602.8986986,11796.088103099999,11842.174983800001,12020.867208599999,12125.1891452,12306.073961,12424.5994698,12566.954023600001,12719.2007503,12769.3697741,12937.613844200001,13076.7572993,13180.2681784,13333.4131529,13413.438209400001,13547.7152744,13682.7593978,13786.386139,13914.550360700001,14079.767815700001,14209.740783599998,14308.618558900002,14387.9029224,14534.618295999999,14629.520192,14776.4857032,14856.324662,15016.5987315,15085.911684,15255.1228732,15297.2383351,15441.4783616,15564.9438704,15667.9521854,15751.2856622,15863.056576,16007.5793652,16108.255440800001,16186.3139885,16293.2264343,16426.614197100003,16522.5257991,16623.0730763,16709.4078664,16848.617116999998,16958.2569961,17050.0312925,17126.9924114,17250.439389299998,17337.9365831,17425.422253700002,17531.0954979,17634.1409046,17743.136262800002,17837.4205448,17917.067848100003,18007.7901039,18096.3353604,18197.4613414,18281.3965899,18374.3210271,18464.7061332,18564.954309099998,18649.0010904,18731.4400708,18820.5565961,18885.5478891,18974.0113347,19045.5188744,19119.3058725,19183.440838399998
