,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580
Low,1244.851268575,1605.49722595,1900.075131225,2235.1083283000003,2506.2119354250003,2793.4311226,3101.964267675,3358.3631184250003,3673.868123875,3853.1663542750002,4088.1864800000003,4351.72942925,4608.46350995,4776.8760145,4983.3754066,5185.31157685,5409.9413593,5634.011997574999,5851.470770925,6016.263320725,6167.458883325,6406.14419675,6531.79492575,6718.4169278,6922.71009695,7026.163291775,7207.778806124999,7392.33923235,7531.492210275001,7729.61151415,7874.805182425,8071.980321274999,8117.3557547,8345.197027275,8516.448736825,8637.749933224999,8780.45421325,8922.025417800001,9042.6716219,9210.81527,9392.901010225001,9582.111143275,9637.365709175,9842.325379725,9960.2830704,9948.131823875,10202.342176475,10339.759130475,10503.672236575,10624.51831055,10843.57227305,10955.34945705,11003.389750375,11215.26003485,11320.4005425,11448.250176874999,11532.8445402,11699.2267292,11785.976497025002,11976.31289955,12126.799626775,12189.656853774999,12292.009631125,12422.587898275,12610.1604302,12757.091175525,12856.722609175,12985.31897235,13131.415097925,13285.31243465,13423.9107253,13505.97504685,13682.804298199999,13746.460417749999,13819.409717699999,14096.496018250002,14128.9617461,14292.20936485,14398.91021155,14528.985161850002,14630.125150824999,14758.0610958,14931.2184559,14985.8681818,15179.453036624998,15354.965465899999,15385.266454425,15508.6171226,15586.051539375,15775.808324975002,15803.2280524,15972.36736525,16124.29050105,16224.372939675,16385.37293735,16476.024332525,16595.9042664,16735.866583475,16766.429843625,16962.429525625,17082.538379925,17189.293319475,17296.592460825,17401.637372975,17546.989563575,17643.7310124,17812.975562575,17893.096014324998,18075.304370474998,18227.11566915,18326.109928225,18468.17934155,18570.109688975,18808.852107225,18898.80853665
High,2109.6443257,2694.52001365,3207.1927027,3635.9222268,4015.1413119749996,4292.043903025,4680.46924535,4938.299820975,5226.109140775,5558.7075821,5773.32750255,6110.108733149999,6389.333745125,6517.19655035,6824.25566235,7003.834049175,7226.2885885,7458.98432395,7558.6567728,7890.29689995,8055.169334675,8240.563936575001,8330.89550805,8609.171246099999,8799.249921775,8993.605683675,9172.05659165,9314.837731325,9545.8658935,9626.684988025001,9826.80401915,9952.2341504,10094.54820615,10281.136524425,10498.91515395,10562.3348781,10733.549718625,10949.793979775,11043.91035965,11245.529507375,11311.308996599999,11481.081589099998,11639.3674194,11775.08955885,11987.263267725,12112.2308512,12141.986523000001,12300.9778063,12399.63062015,12601.166542175,12733.378478525,12854.8343882,12982.172612299999,13038.7634741,13250.569293999999,13414.74502205,13457.2052224,13596.75554485,13723.118419575001,13803.509491499999,13957.6173711,14036.57023185,14173.96788695,14361.653853325,14416.30519015,14594.425926175,14731.7591682,14770.0103668,14880.372890725,15025.302195975,15113.87361545,15237.28896135,15324.722624475,15486.568854325,15535.1522023,15678.9822781,15763.196271249999,15909.30598435,15982.721296149999,16109.90348415,16223.99928185,16286.239502675,16386.851719225,16479.018169325,16629.659145874997,16767.0124862,16827.94003135,16919.938023975003,17021.455830774998,17132.146765075,17232.5989252,17310.037369449998,17384.42422525,17516.98317305,17602.90420875,17675.9336748,17763.026757699998,17874.599295075,17967.074257099997,18037.117805025,18121.296840025,18223.889144250003,18290.4726421,18390.53481165,18454.722676,18560.114314175,18637.329430025,18728.9709243,18788.194113499998,18868.811190975,18956.2736325,19016.491416124998,19081.197749275,19146.0477436,19195.140122875
Mean,1620.815093042,2083.597510572,2500.114376168,2861.2193550929996,3213.46280007,3482.668278377,3829.832743892,4122.348719502,4388.049679932,4654.713476909001,4918.610913801,5161.786273675,5414.916170499001,5618.557015703,5855.801397517999,6067.541019415,6277.490141783001,6489.870413818,6709.7821743,6894.213170763,7100.890779978,7285.7924269509995,7446.161923236001,7644.0172964680005,7845.150627785,8015.481282553001,8181.238031879,8343.921384162,8512.336286668999,8694.538790478,8839.361760344,9012.112928879,9150.227373918999,9339.305170704,9489.422152782001,9612.311592427,9743.109307562,9952.98818205,10059.238407650999,10247.232194232,10410.784927125,10546.930952718001,10684.663801348,10827.031268819,10974.527763333,11080.366059883,11210.410345758,11375.629591042001,11514.898147417,11664.713551088,11797.995149428,11928.382314311999,12059.530378833,12172.165726413,12301.97769735,12454.794363604,12566.320723848,12717.523471047,12827.90337091,12942.841633857,13073.327297486,13203.497868374,13337.273891159002,13472.719379852,13601.962073356,13733.267721191,13826.288027980998,13954.524536432,14072.864881150997,14210.202592713,14317.982937921,14449.026560577,14558.913004163001,14696.833460164,14755.492008882999,14911.447428055,15021.207345251,15138.060294121999,15255.460913112,15368.768551489,15495.156572305,15604.004074436001,15713.473559334001,15805.265517945001,15951.247769557001,16080.86194633,16147.751087783,16285.450172734,16394.020500542,16510.057521891,16598.433064389003,16720.358124039,16836.136184138,16942.104595238,17044.182767775997,17162.505915744,17262.325021894998,17378.495584637,17489.082809801,17588.293080024,17680.655174228,17791.983535084,17887.786690207,17997.069949777,18090.111251390004,18215.451799344,18318.035989533,18423.777958992,18522.968217595,18622.319359405,18713.274981,18827.941340541,18922.405961305998,19032.770758239,19124.072113278
