,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620,pd625,pd630,pd635,pd640,pd645,pd650,pd655,pd660,pd665,pd670,pd675,pd680,pd685,pd690,pd695,pd700,pd705,pd710,pd715,pd720,pd725,pd730,pd735,pd740,pd745,pd750,pd755,pd760,pd765,pd770,pd775,pd780,pd785,pd790,pd795,pd800,pd805,pd810,pd815,pd820,pd825,pd830,pd835,pd840,pd845,pd850,pd855,pd860,pd865,pd870,pd875,pd880,pd885,pd890,pd895,pd900,pd905,pd910,pd915,pd920,pd925,pd930,pd935,pd940,pd945,pd950,pd955,pd960,pd965,pd970,pd975,pd980,pd985,pd990,pd995,pd1000,pd1005,pd1010,pd1015,pd1020,pd1025,pd1030,pd1035,pd1040,pd1045,pd1050,pd1055,pd1060,pd1065,pd1070,pd1075,pd1080,pd1085,pd1090,pd1095,pd1100,pd1105,pd1110,pd1115,pd1120,pd1125,pd1130,pd1135,pd1140,pd1145,pd1150,pd1155,pd1160,pd1165,pd1170,pd1175,pd1180,pd1185,pd1190,pd1195,pd1200,pd1205,pd1210,pd1215,pd1220,pd1225,pd1230,pd1235,pd1240,pd1245,pd1250,pd1255,pd1260,pd1265,pd1270,pd1275,pd1280,pd1285,pd1290,pd1295,pd1300,pd1305,pd1310,pd1315,pd1320,pd1325,pd1330,pd1335,pd1340,pd1345,pd1350,pd1355,pd1360,pd1365,pd1370,pd1375,pd1380,pd1385,pd1390,pd1395,pd1400,pd1405,pd1410,pd1415,pd1420,pd1425,pd1430,pd1435,pd1440,pd1450,pd1455,pd1460,pd1465,pd1470,pd1475,pd1480,pd1485,pd1490,pd1495,pd1500,pd1505,pd1510,pd1515,pd1520,pd1525,pd1530
Low,1020.6630787908999,1361.05813620775,1665.954278484,1986.8567005531,2253.64005059165,2527.40342090375,2808.2167145089,3001.0687626706,3272.798081249,3518.15566825,3722.16351147255,3925.4328976797997,4125.9210209724,4318.04792045625,4520.522911748,4671.2231916734745,4905.122174651549,5013.34461899015,5188.31897608045,5341.618031516375,5570.093379571875,5715.1835918839,5844.78444113765,5951.99701331025,6110.2768384125,6308.265617523725,6391.70480851115,6594.5311670836,6727.19268951435,6865.092243437,6964.14388177685,6999.393761159625,7250.384863140225,7297.851496998575,7446.27027385915,7613.23361688375,7695.316406579625,7867.864678544475,7968.737891075325,8043.1001834117,8188.2326597506,8313.489431395325,8385.56356478275,8522.81225362925,8621.223031999923,8755.606113793325,8795.58351146835,8981.59716104325,9053.152691718626,9137.965646745275,9265.208729948301,9351.060663083324,9362.704167482625,9561.763909761974,9635.163450183125,9763.625617505524,9838.03667889465,9920.512068833375,10087.47928536005,10139.548335987676,10181.437645077202,10375.346224673725,10457.81193689915,10450.95252439675,10614.70836837535,10674.60859170185,10830.360339676676,10873.822027195276,10954.912914837474,11054.8246012893,11132.5836768621,11262.836815796125,11314.174523880574,11439.692550957925,11456.759293982199,11590.035230464126,11657.894078438825,11754.850253348126,11841.342268158,11977.499253964825,12036.358383905475,12043.8009866433,12207.530902640674,12244.904854944125,12349.216858055775,12417.192483478952,12542.411226435874,12576.26119852965,12667.456065796525,12696.612676475224,12850.17889357085,12895.856485551474,13009.97440674275,13003.629782153324,13109.279222415125,13207.487119965126,13292.53647582395,13365.704547010775,13421.0345410659,13505.119904193374,13630.603544915324,14058.31239519275,14098.24676766445,14233.495063869075,14333.5948367767,14286.116434529,14349.175998695175,14426.9964368985,14547.436093731825,14593.106591132324,14720.090769643126,14745.270897842724,14827.131472159675,14857.02686552225,14950.790643395976,15068.614225697951,15061.261142849824,15139.449762284901,15277.443580957626,15323.467453011075,15411.908997037352,15443.217523291225,15532.505882383799,15628.815842555276,15629.6088891202,15701.878821907225,15806.9911510883,15877.554573375624,15925.071277220024,16003.3187312615,16101.223209511776,16146.768058068525,16187.660933820325,16241.714374105175,16294.7766639144,16401.79497978515,16420.890214563926,16518.524012749,16574.713414008726,16626.572932189774,16744.83815109175,16800.1109879161,16903.6033361504,16890.822405106,17011.53349800925,17043.20159229885,17061.681272633276,17143.510591788672,17217.659741391024,17286.995664038528,17327.7397216965,17377.2945421905,17478.232903354776,17524.208530523978,17637.61132077205,17655.673713211276,17710.299256604976,17795.753127214626,17827.653634503073,17907.972899108576,17924.952293408853,17931.13167559115,18055.41530280305,18169.318586601574,18193.204297148623,18263.871520901248,18299.218060223677,18332.203887023425,18467.233000647775,18539.271002838726,18529.269819615874,18591.04279013345,18662.723761683148,18714.152856335775,18764.5338792241,18898.511552321223,18835.55732201145,18961.9468033038,19005.415492975102,19108.1381994025,19080.6038738418,19199.34055650295,19225.81740138035,19249.42784998245,19385.7311383923,19368.525252405652,19501.5024107869,19576.2718995397,19522.073608363502,19637.9496385438,19716.2425419733,19781.3472148802,19784.844254980402,19845.501748468727,19912.852938172728,19962.13026371315,20044.2814409786,20114.546361227574,20223.991372847275,20193.135658431624,20249.25333772265,20286.712174459324,20403.789905488975,20439.875461683278,20515.6768785078,20549.375330740226,20588.8094868698,20643.488034355076,20673.590308849427,20728.34012447615,20771.44317497495,20865.37720975905,20880.702809767452,20911.546193041475,21070.126613305252,21085.5846971865,21108.15012282625,21180.694548258227,21183.715101991973,21265.124625156976,21319.918369122173,21378.02977248275,21475.094012715625,21503.716159302003,21549.830260854073,21633.997877728772,21693.80926346845,21734.321258301225,21739.853291875024,21853.504006770676,21856.150821579777,21937.78325262505,21983.798619380552,22005.62605772205,22114.1382089102,22157.076341152802,22204.144271410976,22246.320099805675,22292.83353957855,22374.9619330474,22429.055468906725,22467.0948444592,22528.743754950225,22559.85027788945,22571.30745937455,22669.547324131003,22728.734028470473,22777.161491474224,22830.6509907329,22899.25782619145,22943.780302779625,22962.8311674507,23013.15016048875,23098.89666327625,23075.697521381775,23180.695122118752,23241.66415331235,23275.18191238725,23278.611446083047,23371.234602832224,23473.2928618417,23461.896591901,23524.473440104503,23602.810172521247,23583.9836698765,23700.415360211526,23741.56929840345,23799.55179524955,23867.406252422,23906.430232820523,23955.59957077525,23999.64242098355,24056.862742741,24108.6263887653,24157.0701044785,24201.9285611855,24262.5246810995,24312.432421811,24363.05588900775,24407.078845527,24430.43863497025,24509.2664032948,24599.80282355775,24684.324640017003,24732.2951549225,24773.773355074776,24833.6836002015,24884.733836240248,24922.409502436,25012.618695066,25045.995230682274,25114.5371168985,25166.891114042002,25205.5755925135,25266.285071507,25335.807482956,25412.1512606335,25469.817282567452,25555.183913356
High,1559.508560025,2038.8650053064998,2458.8444738827498,2813.3417818988496,3173.31803106515,3509.84139410725,3788.105375316175,4074.5423670654,4364.144788183,4548.436818351474,4822.2666618534,5018.947061994825,5274.598595454249,5513.046096358626,5697.015333448575,5887.6829439316,6106.277206818425,6317.5277680043255,6400.66402779055,6603.554048995275,6782.657893472249,6937.793922754649,7124.6839264511,7350.807535508875,7487.001428320625,7637.047721350875,7742.4503140318,7960.9088503245,8035.3991838553,8200.41620187925,8284.4606920157,8476.686222597675,8614.732855064249,8804.81639189325,8911.249179795124,9009.4989001311,9139.150278350675,9304.427683411774,9408.096502792125,9483.243396323725,9547.988776352899,9771.006339920748,9866.490730819076,10067.87447182,10134.888700912026,10244.6199786439,10294.70990848365,10454.7089063272,10556.873222983673,10677.8879018663,10732.9782728725,10842.465159751551,10958.610293433449,11049.9995947047,11147.5670025448,11188.66198414015,11425.631031440349,11446.961299697748,11627.21046716805,11688.684162509675,11818.360610685975,11902.387492123049,11990.492820540325,12088.59344195545,12150.72305949685,12197.798418689126,12337.86426729935,12455.054609094499,12500.857908200176,12706.737534488198,12778.424031987175,12786.511665157326,12922.74698511655,12970.013080915776,13050.932504695775,13197.673897662624,13263.794708018424,13366.8540708406,13414.174201609825,13525.017717645149,13645.45270700185,13646.622917103325,13819.861241836574,13828.313130419725,13911.508381173326,14043.473789695976,14150.728695857973,14220.307781555874,14283.619402776,14342.677541726576,14397.900737371649,14461.612407250275,14584.2859783517,14621.249700142775,14732.694171352725,14879.256128836425,14986.69372393205,14978.94019392965,15153.850673271798,15111.847663820976,15177.83919156465,15601.999864721074,15708.42832830775,15791.405098275523,15787.31280009505,15918.85950873165,16013.541649667173,16133.61613428935,16144.719560092124,16224.50333228295,16305.439266688276,16353.1378589625,16432.299943994025,16489.53835918385,16532.1392909558,16617.75563056665,16747.070094987273,16755.893662495026,16882.393282111,16922.28727492945,16917.810158532626,17051.621350243924,17108.348615988376,17142.494995250676,17186.05600367985,17294.913489221424,17392.90890846187,17440.9429028853,17454.86686461205,17576.192561079075,17554.076830584578,17740.856564517126,17753.9082671734,17802.149552767572,17886.41119571405,17935.27956809635,18071.454014097773,18014.351041205722,18104.875101181224,18160.967063457174,18267.8618558409,18305.314293498574,18374.851833134224,18471.933364208926,18468.146663801923,18555.2599135657,18603.6634017107,18684.918134396503,18739.642959016,18797.34203807015,18874.67957223675,18930.7655789843,18955.9014890402,19036.832392244076,19064.15705717145,19163.880717587173,19245.699558827226,19251.839644849275,19285.913010870052,19399.05866246595,19461.282639201752,19478.48135184503,19551.860059756575,19582.356213921274,19663.89649505445,19650.790605579,19760.9718344491,19859.9163594313,19911.56919215055,19965.8464166185,19941.191093157122,20074.60813915935,20055.309654438573,20152.772722397924,20234.1327832084,20266.350630776575,20357.127077075475,20410.2854814358,20423.42244001455,20456.508571651673,20523.038444008398,20684.39685690205,20655.644146927425,20677.408583478024,20755.710354986277,20808.76775289365,20872.098502130324,20920.902610372526,20937.571280369175,20984.920621382025,21081.2780887505,21114.491767167925,21099.939994272278,21215.357174798723,21235.81096290005,21397.04914828455,21365.8469598591,21457.85384967,21488.57599240115,21550.38164824065,21579.721649021227,21586.96171108145,21698.729514035,21720.674487207198,21802.364682724725,21800.741786667222,21866.8269948405,21944.235137914377,21952.748944112525,22037.364308995922,22026.266965614028,22168.443597487625,22150.936291963702,22225.886969442498,22294.746045475975,22293.478654715975,22322.964627394977,22393.947320250227,22441.2158717965,22524.380579735225,22557.699850644676,22601.4334885341,22606.377207554702,22734.4295826955,22732.235312679248,22805.171326141673,22811.57014268635,22824.80584649345,22888.147968424226,22973.643466055724,22991.924126805174,23051.399508381775,23099.155529357824,23142.41945679305,23209.7840826567,23191.750463616725,23293.880419611047,23314.868557321,23358.94728359675,23391.629651463547,23489.333524287023,23485.145678505753,23530.729299738276,23554.731310570278,23632.378885210248,23666.950523422773,23723.528526421,23721.869676682178,23776.1505206285,23852.65253953175,23903.0598072258,23924.935414547475,23955.1802249243,24018.2782109545,24053.7237836175,24067.929929138474,24150.783380627225,24178.567581600724,24217.92289487975,24227.12420408555,24307.416224166023,24347.642226392752,24367.501940548547,24433.46404071725,24450.20964366755,24518.7399100857,24538.2521100122,24577.62555678375,24632.2693184648,24671.677228939152,24708.45975006475,24735.400079730698,24782.85972970755,24823.740911297773,24853.52964657975,24894.532659631524,24936.96709717825,24966.221763063524,25013.173154325,25057.0194487794,25090.811017080476,25124.37496546855,25190.349433681,25237.372014716002,25248.830981609975,25287.150794631503,25330.66867888525,25368.323736243725,25398.931151138502,25430.738182415,25470.010883537452,25494.07944386255,25527.83698949245,25558.810374293498,25583.754626056,25605.897918446,25628.946437881,25646.732736831,25659.32239577525
Mean,1269.4251136742141,1680.5254616835612,2052.0407464313453,2397.3311206239864,2711.217080398338,3020.0077162538137,3299.3143789201063,3556.448152146603,3811.983882511712,4045.023854595534,4268.960763471581,4492.095269382233,4706.7685161957515,4924.015141661045,5102.97039528364,5289.09298999745,5495.665046797285,5664.532061099868,5825.838083554205,5974.717693013176,6169.358884408142,6332.7180832974855,6487.648081652239,6636.329921391538,6775.120936669114,6939.149136422399,7074.363100856394,7227.654261201197,7366.165574826032,7504.041168146512,7629.227289084116,7736.951202448834,7917.0977797413525,8034.228175293837,8158.385309812082,8285.375348187801,8411.9645259993,8561.354266851038,8663.046120112698,8776.206093008526,8887.664820496531,9031.457043830886,9134.99969425149,9245.708237205532,9340.165480452783,9462.498886343592,9550.818600316417,9680.803986700774,9803.378524890968,9895.038582557467,9996.954097461488,10104.857439941405,10184.931689585206,10307.068876660347,10400.883462680706,10506.331622980024,10614.045837444366,10703.08659901367,10824.828190134767,10901.062934543568,11026.612947681118,11118.987787884493,11223.844944472803,11276.33951857733,11369.071041110647,11463.377578117206,11584.546954767,11658.295260346082,11758.07556593052,11874.260976629872,11953.338527865562,12026.47583334956,12136.251008935396,12201.12961600267,12282.427372771137,12387.306161044264,12452.647960950628,12572.190331286174,12636.86154124425,12728.479929757823,12819.448885220527,12861.226139626717,12978.132129054175,13062.505549016516,13119.072222547258,13203.625404083114,13328.399147140464,13378.210296766669,13487.7011332978,13539.990467397834,13630.53405720512,13726.491354199175,13772.75659324563,13838.262133092181,13935.73829893889,14023.22352681238,14103.713351941595,14181.216242361988,14266.204069165355,14320.366615889341,14400.509570161243,14854.896712591939,14913.232172242284,15008.239808059374,15082.191148195285,15113.4073279746,15226.466497457423,15301.565601022397,15349.613023546815,15415.55411847606,15504.359740492237,15569.597656537038,15631.349379252562,15697.95111807019,15770.429571292767,15859.6605800637,15931.842751111235,15978.342660739598,16065.429850731749,16108.72860197734,16176.976484316026,16266.068604181262,16327.289180940037,16395.910710855853,16449.04904759423,16521.25901318418,16603.088352994335,16657.894295247635,16714.661154242378,16789.152733361978,16851.2693953129,16939.364620833872,16978.36477559541,17040.136682013028,17124.003293468206,17179.32883110253,17232.442463314517,17306.50508049076,17375.914565685714,17444.60751500231,17495.55871657184,17557.998392450587,17623.86225289823,17676.85841606446,17740.489915605227,17807.78198450845,17856.287217192683,17928.888427385642,18005.719954168104,18050.04776984755,18113.14322532365,18195.01410025679,18223.779662019508,18283.9789493274,18341.93873902161,18412.234195126635,18476.516208023437,18540.099790801407,18587.670251563497,18658.33259272006,18710.242271102175,18765.39800267328,18817.497862007214,18878.107916837915,18947.020748601826,18980.560665058576,19059.834076084288,19142.75115953955,19171.196503691703,19231.983244943374,19287.63310291464,19359.95489471351,19407.55758816562,19463.901519412353,19517.071910500385,19571.210050659894,19640.48707447968,19699.37281908529,19733.009797593924,19794.645013608064,19855.521328541865,19918.782545478516,19952.30818779054,20004.005245516546,20074.41898443425,20133.400736223415,20192.51467981434,20235.228870484887,20284.75501360803,20335.407095866565,20398.770491146224,20471.137708901337,20487.265197639925,20563.987855897783,20598.992437928377,20670.507277629404,20717.84491983267,20773.487864253042,20840.924873293392,20883.233139538035,20925.815235433398,20986.179565164068,21055.63710342349,21085.250235668973,21161.060237064787,21181.221698486042,21253.24806465584,21313.93983807768,21329.545199023007,21398.424143830536,21436.1430813372,21508.06843293627,21543.339806728287,21615.902738465564,21654.99942825835,21719.755651955686,21752.73488750364,21815.460822533245,21865.08187542053,21909.813927070132,21962.625095038864,22008.85273105707,22055.230195610904,22112.32263448663,22152.442937902026,22227.99923625547,22253.879079092,22299.580610629826,22356.89571614406,22414.104856381477,22461.29801199978,22531.40246419467,22554.17775804233,22609.93163200575,22654.300653014503,22693.01088409946,22765.150589963174,22797.23724823454,22853.43998922995,22904.05258855377,22964.626677238404,22999.748113687612,23045.08321549438,23094.756062489418,23135.816637145304,23189.10856915168,23236.15704954646,23273.21669024637,23325.452056676782,23371.394857574986,23431.346637838207,23469.536027810736,23509.272738634332,23577.958281080966,23593.173601360493,23657.429757060985,23725.44004927307,23743.92504784078,23781.81504658097,23835.23086142718,23906.636680477626,23943.8110397084,23985.974708572798,24036.55900385581,24071.07177494461,24131.01201009201,24163.439446663768,24220.27121537104,24267.941563781776,24307.17566103623,24344.143784950516,24390.713849866355,24437.61991871494,24491.96619437234,24521.83651183349,24573.347468775362,24626.400940747306,24664.094293550814,24713.13494300248,24760.56024878628,24803.74662138935,24845.403743733983,24932.837156585258,24987.969397316778,25019.917757777974,25063.473163432343,25112.29338117084,25155.465356958433,25198.10115089423,25244.230865792022,25286.702770846907,25328.872780489448,25376.0115397121,25420.820362158323,25463.65314609939,25504.326906740145,25549.474523654404,25588.928978187247,25633.509861926846
