,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32
0.5,0.83405822555548,1.09751758379225,1.63759744006431,2.10923722446435,2.84391273330115,3.22427994876704,3.6450598326781254,4.06368191277597,4.285094848676235,4.562923170043235,4.89038652149286,5.183994171740215,5.42170270340401,5.7263392227926,5.916909802233,6.452050161733
1,0.834632878064,1.150628354479,1.67203170908778,2.22879997226832,2.94829193350135,3.35421557119147,3.7368205027761503,4.147440316904071,4.4065654844964,4.60994869657607,4.933077805709,5.2370096053921,5.468253153850901,5.7495607437167795,5.971782648001001,6.452050161733
1.5,0.840739345414,1.20142242419417,1.75569683511675,2.43074370034585,3.00314176351971,3.461150369206865,3.82259411709077,4.165094784917595,4.46231551236265,4.68650114361525,4.95672697429,5.271045350274795,5.5019886137329,5.7851783190881,5.992352279833,6.452050161733
2,0.8505302178959201,1.21988918499512,1.86923785268776,2.6255555679790397,3.082484600757,3.493553770786,3.83627284700224,4.1913141359106,4.4960321276588004,4.75803961283716,4.9700550155244,5.308752765009601,5.53070081344616,5.8134860136492,6.018192634537,6.452050161733
2.5,0.852969658324,1.24779009404975,1.97559445307035,2.6797731592124,3.107468083112625,3.535734390016075,3.866556719257825,4.21762249760305,4.50683910120825,4.78393824001675,5.005412702814,5.332676820182249,5.5438552780747505,5.82072393694325,6.031720518378,6.452050161733
5,0.87872525846,1.3600215560266,2.2979149529293,2.8394156652952,3.2386914200317,3.64987973229805,3.9953776787375004,4.33544340292245,4.6144545536066,4.8761740708534,5.1259369851854,5.411882671271,5.618127155864499,5.869182491537,6.0972096093345,6.452050161733
10,0.971791239492,1.5175223158520001,2.5532274208528998,3.0323986797491,3.4093100704272,3.8161902031657,4.128766472591701,4.471610433044,4.7357905456610006,4.9707201828374,5.236301034576,5.483336039159,5.688031156258,5.916881343634,6.127527260843,6.452050161733
25,1.080942029879,2.1777055210082503,2.8288094225669997,3.29605442438875,3.67604411038025,4.0194619062135,4.3499626327535,4.67021988432625,4.90536097154275,5.1464870671125,5.3973776520605,5.6150339393902495,5.81118177481625,6.0176327233455,6.2169327783455,6.452050161733
75,1.9845064765325,2.71481425204175,3.29028076846425,3.775128499446,4.11799184307975,4.4800150573085,4.75777892298,5.059781372138,5.28083795074875,5.4869080187205,5.6920428801805,5.8848123175380005,6.0755271586205,6.2234397189755,6.377771540533,6.452050161733
90,2.0865575495212,2.8847408188372,3.4702284412594,3.9482119117181997,4.3139986445442,4.6381510177969005,4.9416654305400005,5.1947315487027,5.4402511038246,5.6242628941078,5.8231395776988,6.01339836178,6.166126926647,6.306364090089001,6.397049046203,6.452050161733
97.5,2.116731115582,3.01859801834,3.6880347524709247,4.168289330858225,4.49872772830025,4.8384894051080245,5.1097896698363,5.385485634106526,5.598843174659399,5.7848775316665,5.9493272687051,6.106025839455575,6.24856572385325,6.336647515605,6.407778803783,6.452050161733
98,2.11931004126426,3.02791318710134,3.69706825160994,4.20019799829896,4.525800856156,4.84872284755934,5.1289617617483,5.4052951145967,5.61707335624492,5.80505673762946,5.9651110673148,6.1163454632150005,6.255995830808001,6.3381463650904,6.4097239502052,6.452050161733
98.5,2.121001776277,3.056486345073015,3.7155749812934147,4.20845984157643,4.5441572073393255,4.869943991222505,5.1619495499982,5.435820894684805,5.629828817495885,5.82269605371615,5.98507620246505,6.14343291062485,6.25984546393066,6.34249607610605,6.412495895863,6.452050161733
99,2.12557578541854,3.09645978255927,3.76292071511575,4.25707299698743,4.56969026773342,4.8955559676242,5.1947815626570595,5.48449526138858,5.65087877431554,5.8544688777665606,6.0184232657373,6.1615848888575,6.2713660485743,6.34601646026876,6.415649927833,6.452050161733
99.5,2.126612716605675,3.119178481282,3.78705522059387,4.28318842245898,4.59051740037006,4.91996264991129,5.232769561981565,5.52890287818648,5.6793384958115,5.888958468153095,6.06383535017423,6.1704131594868,6.2879396960088,6.3497290948014005,6.41711756678535,6.452050161733
Median,1.679379503915,2.511320313782,3.0825015083705,3.557540445279,3.917958720553,4.246542698103,4.5629414622585,4.8831859763495,5.1024408563595,5.332841200629501,5.538587023722,5.758077945713,5.949721981698,6.121710237873,6.303067493113,6.452050161733
Mean,1.548534564257088,2.3792673083329507,3.0303454756542747,3.509903157959936,3.881663302846682,4.233979548020846,4.546063808583538,4.8562326202407275,5.087733525047234,5.311803028976679,5.53317079958002,5.747781993747573,5.936193930496375,6.114620390332697,6.284592839234687,6.452050161732999
