,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44
Low,15.284598,42.179706954001254,50.91216343413503,57.503496831165315,59.853930926128,54.878242105682055,54.05899802169628,51.297156485923956,52.697147137136355,50.2249120745865,46.80442309428691,45.230591327292636,41.60190884048409,41.61064134438699,40.26147074384217,38.76081659556784,37.54177259347132,37.4070375287263,35.296264643415114,36.911572063972066,36.333955091815554,44.5813592609091
High,426.384199818705,381.1250999041319,287.3632790637225,253.06224379328015,214.07457841418474,187.2191160750422,168.19283211667593,161.21022775674834,142.44149089447205,130.95042529238276,120.58233341269536,112.97389052195882,102.72208933002996,95.88993212817483,88.96833998452857,82.57815397008544,77.72323951022459,71.44845877962204,66.68067170132582,59.3453399491188,54.8177445738095,44.5813592609091
Mean,288.2303983916817,208.01662142923516,167.79451001123596,146.43172994678795,134.04142262680975,121.8998668215106,111.6320721191218,104.71842640101072,96.60996426470699,90.43594171935882,84.32053037713303,78.99746621387068,72.70342488075153,69.25963099425626,65.34978432343934,60.80382012007947,57.881248150926325,54.43294259842005,51.424903969553746,48.7185289458113,46.755610514413405,44.581359260909124
