,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44
Low,24.375729424,58.622420042887505,160.77227585908201,195.64988114575488,217.6658867017151,226.96140331258414,234.41362135500788,243.08154119731097,245.6782822402499,251.37830913186983,258.1074344417657,261.5647564706125,264.47610518541507,267.7211861163412,273.05948432740644,274.8814760798945,277.68325966661837,280.22452860343543,283.16176533119807,284.86061349633,289.914135904905,298.434843148504
High,426.3841998189025,393.759299760133,378.0975411368655,363.8792037717825,355.08809074706966,350.1845739644859,343.60828837531363,337.2974281123573,337.8718668568001,332.20052601198466,332.5399013493758,327.34478208193616,327.0178647477883,323.6850855564208,321.0218787992763,317.3420709505869,316.29040991067865,313.684970229476,310.59005335329994,307.6158907034517,304.604168984267,298.434843148504
Mean,304.7498409339411,296.1951791260907,297.81236938438343,297.5597026287459,298.0750282202648,298.00407776745175,298.68020569859794,298.2248025341217,298.73065000149063,298.8110306265292,298.61492863534045,298.0322694918631,298.4560120113471,298.6926922688096,298.5265998202475,297.9976013372184,298.1028792751493,298.27107129847246,298.7703790398154,298.19826647112626,298.5119202778254,298.4348431485041
