,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44
Low,225.3733431457575,300.84979734604497,478.90871140852255,585.22655137535,702.2970627291,825.621951142195,944.4639262796001,1038.9250420846,1139.59453821372,1253.092920439675,1349.97759943995,1402.2056900546252,1542.9222993333,1581.70115933785,1676.03961074965,1751.7398756671498,1843.367547420125,1913.6118950185,1974.9450240959,2044.7264542496998,2118.239428108025,2339.8092252233
High,426.3841998082175,791.28719943237,1042.569368623195,1241.291869972705,1394.879023924117,1526.8100363642998,1654.5851547948748,1731.4748939613098,1809.241747613055,1906.3517109363975,1977.1110443736325,2037.4787770468,2089.8249913968248,2136.116343208575,2179.29631200885,2214.85733629055,2244.723228154475,2274.112359636975,2298.969517879625,2318.768812037075,2333.8839352233,2339.8092252233
Mean,355.82488282136876,587.3891773458456,758.7853604399769,918.8917293753009,1053.1747352104244,1183.9823889912795,1293.064091691638,1402.654563928262,1491.6142290350817,1592.0687531819176,1682.0167861354244,1765.033802945496,1833.9189313832867,1902.1656562890628,1971.531199934943,2032.8916419933903,2091.051874129382,2142.4529331163426,2197.1077800140215,2249.105651258738,2295.6405745132433,2339.8092252233
