,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44
0.5,8.75599373900002,42.15541175302625,115.06271227561817,144.78916583593124,171.3264576973614,188.33461732718135,201.5028339976604,227.05538298924947,227.28718752619267,228.0124264893549,242.40678410782482,250.82816852614656,249.4046134778277,260.65801978189523,263.84216585202387,266.1405759497867,271.3284373827097,273.79166547217744,278.4206607123751,279.15010262771216,287.657804349009,298.434843148504
1,9.15663805839995,42.97233089459943,152.83233376941334,182.91135195134555,198.57986530293826,199.64015408571336,208.9836642225096,232.6275722566876,233.70397781904666,241.44171071404978,252.65312072391887,254.2669358002756,256.47140343508164,264.0874702117299,267.90168415730227,267.3303187627779,274.90454613960526,276.01550483053234,279.91694420508577,281.3447287069765,288.437408658881,298.434843148504
1.5,15.281702246793001,50.0414613151978,156.69412598977252,186.15324507487398,205.99355522674156,212.32275145061334,223.87113327059288,238.09155824869288,237.32468925513243,244.50322958044626,255.1612118932641,257.1422847724592,259.3230564013911,265.762729515024,269.25236533004846,270.98704487724837,276.21714542578866,277.4311878070607,280.9241573275692,283.7079306296156,289.0864659465853,298.434843148504
2,16.7029366982,56.950999195290706,160.04883321481898,189.63731520090636,214.07471051970305,222.03672885299542,228.79442395737723,239.9615034775385,241.01398634564228,248.71569689303342,256.58918502004445,259.5740218214769,262.5868132678995,267.0276552682007,271.5838117142107,273.4134900575881,276.7259290466849,279.0097826860921,282.5018513141056,284.47041499744074,289.093460282304,298.434843148504
2.5,24.375729424,58.622420042887505,160.77227585908201,195.64988114575488,217.6658867017151,226.96140331258414,234.41362135500788,243.08154119731097,245.6782822402499,251.37830913186983,258.1074344417657,261.5647564706125,264.47610518541507,267.7211861163412,273.05948432740644,274.8814760798945,277.68325966661837,280.22452860343543,283.16176533119807,284.86061349633,289.914135904905,298.434843148504
5,32.7659953291,184.66772219024864,212.3377870808597,209.72666550088906,234.8644915040221,236.6901185063376,245.60159943032005,255.4571437794525,256.9503443127899,260.49693852583107,266.09926922671843,267.0908490611405,269.4129641524775,272.9840883783394,276.79990739121746,278.7587560399464,280.03738550441676,283.5820900708578,285.80353618555273,286.77792959349244,291.19063333882553,298.434843148504
10,55.27379948739999,204.2039635143783,231.07778812366232,237.797524305573,252.6783787487165,251.6678992520226,259.9511545653805,267.6596751080848,268.107274339046,271.6057857466107,272.98451879172455,275.39982109531337,276.3229385508975,278.4695173395706,281.5645913957435,283.8133203813375,283.97838838141513,286.9353018559141,288.93540957329117,289.7455992027093,292.954544614203,298.434843148504
25,240.620800044725,256.287059407858,265.44577797102323,272.23933173777425,276.7166835563325,278.11130717186154,282.32279782280176,283.5256094184347,286.052613617458,285.70845491463575,286.46786055866846,287.634686774866,288.93384451246925,289.92693675281623,290.01327624329826,290.46093595344973,291.50353609849196,292.5031988144623,294.1280304286403,294.24430119550925,296.206799735286,298.434843148504
75,407.439399664,347.35987484093323,335.04884167166176,329.09222878794327,323.64433014304626,320.0642559750917,320.23557445135225,315.1458229380005,314.3839106244275,314.5427574229948,312.4002894201715,310.2840555862405,310.25466421316673,309.00768534722124,307.8633184695345,306.7388722775425,305.60569894324226,304.66434318021976,304.19183743198073,302.92411606583624,300.9636896946992,298.434843148504
90,407.439399812,383.92989986143,356.98234299311844,346.1508740871482,338.6808196570974,337.2079201805996,332.1080453289896,326.2159351546305,325.74758301562457,323.8235733257033,322.1584633475818,319.2859824572751,318.2213523446838,316.85121415503113,315.3403046777765,311.637183846933,310.52091981555293,309.1259346351779,307.90660089157,306.5763835809678,304.2829167515191,298.434843148504
97.5,426.3841998189025,393.759299760133,378.0975411368655,363.8792037717825,355.08809074706966,350.1845739644859,343.60828837531363,337.2974281123573,337.8718668568001,332.20052601198466,332.5399013493758,327.34478208193616,327.0178647477883,323.6850855564208,321.0218787992763,317.3420709505869,316.29040991067865,313.684970229476,310.59005335329994,307.6158907034517,304.604168984267,298.434843148504
98,426.3841998192,393.75929976294196,380.21111843581605,365.89126926111066,355.8441565240322,351.8994344500928,346.0835455790409,338.3488073983546,339.4108110278941,334.1165359139098,333.6773442919558,327.91624789500156,327.84712619351114,324.4736434322849,321.6256426233683,318.3763757663525,316.74714617267335,313.91783163182555,312.53462735064176,309.3359602381045,304.6127845639211,298.434843148504
98.5,426.38419982003,396.418066390442,381.58316332529597,369.44679650192114,357.88493242005393,352.42679289847536,347.6175481647098,339.51040890068685,340.49943635767,334.55370339368875,334.0930816237349,328.49565414936836,328.69411503115566,325.57471595161087,322.56833097247426,319.79654480121275,317.2754989719827,315.2227951368222,312.91663586998925,309.77835660365076,304.618495709726,298.434843148504
99,426.3841998224,398.8702331769765,382.4298192861888,373.6161864061863,361.5054902965768,355.2874891354718,350.0017287355887,340.2508797478122,342.3319011061409,335.50036203590275,334.7019496505581,331.73945056636,329.98139725973397,326.8440222123318,323.40596261593083,320.92877190252676,318.98464975127064,316.23023833899197,313.13143870658973,309.9249413692923,304.620097592438,298.434843148504
99.5,426.3841998312,409.1254331387025,389.1421564059416,378.16552364367163,365.904776451051,360.5923229668331,353.69000224166086,345.0107521172812,344.791089091563,338.861331968449,336.0434838455008,333.3944255356851,331.28181000306944,327.6703683027781,327.03655058217294,323.3505464536455,320.2353609276608,316.7555630198079,313.57288861064734,310.22924545627427,304.621755714372,298.434843148504
Median,360.7211999972,314.996533321308,305.37781316549,304.9297019901645,302.8598323740435,303.256390087797,302.00733862120603,300.8173069329265,301.60990380928547,302.04149680532703,299.974754171269,298.71135732196296,299.283545347054,299.684062258274,299.0905327105785,298.2170155290755,298.3653890317925,298.65071314897796,299.16791630688397,298.96091851052347,298.9254772577255,298.434843148504
