"","x"
"1","Actinemys marmorata"
"2","Actinemys pallida"
"3","Anniella pulchra"
"4","Anniella stebbinsi"
"5","Arizona elegans"
"6","Aspidoscelis hyperythrus"
"7","Aspidoscelis tigris"
"8","Callisaurus draconoides"
"9","Coleonyx variegatus"
"10","Coluber constrictor"
"11","Crotalus cerberus"
"12","Crotalus oreganus"
"13","Crotalus pyrrhus"
"14","Crotalus ruber"
"15","Crotaphytus bicinctores"
"16","Crotaphytus vestigium"
"17","Diadophis punctatus"
"18","Elgaria multicarinata"
"19","Gambelia copeii"
"20","Gambelia wislizenii"
"21","Gopherus agassizii"
"22","Hypsiglena ochrorhynchus"
"23","Lampropeltis californiae"
"24","Lampropeltis zonata"
"25","Lichanura orcutti"
"26","Masticophis flagellum"
"27","Masticophis fuliginosus"
"28","Masticophis lateralis"
"29","Petrosaurus mearnsi"
"30","Phrynosoma blainvillii"
"31","Phrynosoma coronatum"
"32","Phrynosoma platyrhinos"
"33","Pituophis catenifer"
"34","Plestiodon gilberti"
"35","Plestiodon skiltonianus"
"36","Rena humilis"
"37","Rhinocheilus lecontei"
"38","Salvadora hexalepis"
"39","Sceloporus becki"
"40","Sceloporus occidentalis"
"41","Sceloporus orcutti"
"42","Tantilla planiceps"
"43","Thamnophis elegans"
"44","Thamnophis hammondii"
"45","Thamnophis sirtalis"
"46","Trimorphodon biscutatus"
"47","Trimorphodon lyrophanes"
"48","Urosaurus nigricaudus"
"49","Uta stansburiana"
"50","Xantusia henshawi"
"51","Xantusia riversiana"
"52","Xantusia vigilis"
