,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
Low,264.72858767499997,380.353376475,475.57074554999997,562.472251475,647.7408038250001,736.652389825,794.0159020250001,866.8090776,927.467244,993.725912425,1050.5186027999998,1110.168097825,1156.41107215,1220.0766542000001,1259.057308875,1306.957808975,1353.4191497499999,1398.577768575,1447.244830325,1488.67571475,1533.3177373750002,1576.5995017750001,1612.36388515,1656.625018425,1686.9290606,1734.841999025,1768.4332642,1805.5645026,1839.432422125,1878.4966614250002,1913.32652815,1940.4139042499999,1983.808447,2018.62507035,2054.535709675,2088.1263633000003,2121.3056145,2154.1542039749997,2189.95825805,2227.74488045,2264.902488275,2302.7854149
High,476.16365162499994,611.7169652,712.8198166,816.082052175,900.0235082999999,962.459403325,1030.173570125,1094.7809274,1150.94678875,1207.685539925,1258.786981225,1303.8539649499999,1358.60922835,1404.5946965750002,1446.902607475,1494.424819175,1537.93527735,1572.9122141999999,1616.85753325,1650.422258325,1690.7786397500001,1723.23950855,1760.369956575,1799.46560695,1831.94510245,1867.1943380999999,1903.50900835,1935.1951966249999,1969.12057955,1999.8911643499998,2030.976179025,2062.6195257500003,2094.058806225,2122.784120875,2152.5110149,2183.3346489,2212.05182405,2239.52177225,2265.832413,2291.2343164999997,2316.180497725,2338.5637583
Mean,372.397782334,496.489597887,601.9197219150001,690.9429596190001,779.6599961640001,854.1075114629999,921.5671873719999,988.99638409,1047.8135036239998,1107.5703068,1162.9781386220002,1215.8738266350001,1264.423330253,1316.358660307,1361.1770024219998,1406.8853526389998,1453.1024189959999,1494.087230116,1535.967991524,1575.060138736,1615.961379369,1653.983606086,1693.761357163,1731.314356096,1767.015598888,1801.6559153829999,1838.835531504,1873.497042289,1908.0335335610002,1941.700263857,1976.550071807,2007.747641087,2043.159859855,2076.348126745,2107.2846699050006,2139.180044874,2171.673678337,2202.0060328150003,2233.0884725640003,2263.604635735,2295.213806086,2325.0260179439997
