,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215
0.5,22.122292007000002,23.395328707333366,23.074001471,20.8664343288,19.1693692006667,18.865748633571457,19.3212136025,18.179137200999968,16.8465568397,16.76395560736368,16.773445420749965,15.839167091999977,15.769199471142857,15.0085749818667,14.9806962269375,14.08432873552939,14.176246567055557,14.15978099600002,13.81257502255,13.370837125047627,13.262049212863635,13.22378894621744,13.112937680249967,13.0346492408,12.781036112846145,12.43316089966666,12.390927680357171,12.463288739069005,12.202946197499967,12.149591877903246,12.09976056503125,12.003129732272724,12.057950441529442,11.8363812535429,11.794689080861101,11.903721799648608,11.809473122105274,11.72416884112822,11.782797475725,11.766017975170756,11.729750563357157,11.842553590744181
1,24.220668498000002,25.334654134666668,23.85774706,21.9203396004,21.267510490999967,20.06412945228574,19.65244658075,18.632203111555533,17.3820417734,17.391923000909102,17.084925774999967,16.284296742923054,15.952915978428571,15.427209781466635,15.257292258875001,14.779594964588219,14.38371335977779,14.324329421368448,14.0578736398,13.56730450514289,13.4620677586364,13.36490403686957,13.274275268583366,13.08996768088,12.848287821769254,12.677895867259247,12.525452091642844,12.579334478965498,12.384113446866667,12.334943418193584,12.167256050499999,12.08749171121217,12.15373607329409,11.993854736114328,11.959295088166678,11.936147216972946,11.8880557045789,11.78144290758974,11.80398945105,11.822577080731687,11.780619217999975,11.874876543162793
1.5,26.315873447999998,26.204633143333297,25.04241263725,23.0240245646,21.9674697413333,20.55357968399997,19.92561540875,19.10113238633337,18.5110964765,17.67217637209091,17.1969691555,16.521964934384595,16.216634346857145,15.6168365694,15.3610889576875,14.912125185941182,14.531250284111133,14.395421105052652,14.1285639281,13.717025916714258,13.661656212818173,13.472727230869607,13.31602982225,13.17105585424,13.004957425653838,12.823328253777756,12.673203645357157,12.658443482896585,12.4462114906667,12.41833743009673,12.272689158937501,12.194441052090909,12.223252007529434,12.0306224425714,11.978850765888867,11.961388278891881,11.9447514913684,11.798650963717916,11.841594324675,11.862466510853702,11.809505465214285,11.905290588558106
2,27.093545252,27.389963174666633,25.572216231000002,23.7100216744,22.4204280013333,21.31666163428573,20.190640862000002,19.247754423111132,18.7217984552,17.82847706000002,17.370133329999998,16.652959443692353,16.389398290571386,15.918130250666634,15.452235450249999,15.110363965647018,14.744854219555512,14.521745619368446,14.297045706399999,13.841227567428586,13.721775418909136,13.567222821913056,13.417253733499999,13.25433174448,13.037210308307738,12.886067897481526,12.757401071714298,12.714980579034448,12.587538244533334,12.459148236516107,12.340200752125,12.279700021939414,12.262112216470554,12.1076735908571,12.02803631600001,12.019951004540529,11.973930742736796,11.819320420410294,11.867820398700001,11.887047572682912,11.840501649714318,11.914106477860507
2.5,28.312971955000002,27.700637161666634,26.29641951,23.914990155999998,22.898944088333366,21.474037057857114,20.637133840625,19.53338196722219,18.914422616,18.043034860000017,17.47345571166667,16.80524755576924,16.560210776428573,16.022146495,15.659284965312501,15.26267447058819,14.865008318611123,14.625627796315795,14.379860188,14.009357663571388,13.807248832954572,13.624662505652159,13.489329941249968,13.2876942996,13.078805738461552,12.971903924074041,12.8133008875,12.740631145000034,12.653757386833332,12.496339716774228,12.39632125671875,12.312421096060643,12.301808826911726,12.167915592142844,12.061898820000023,12.045254369999965,12.002923583421062,11.901590200897425,11.89231069225,11.897738022926792,11.86106332309521,11.920565434069728
5,31.956500765,30.83713259,28.7542096825,25.850547022,24.2913846933333,22.369909409999963,21.69048863625,20.3721159544444,19.806407120000003,18.678958013636365,18.0464300783333,17.37138971538457,17.030214462142816,16.59915683799997,15.97948981375,15.748721519999984,15.237848955555565,14.994862375263155,14.6845638635,14.332406519047586,14.13175533272724,13.922533809130469,13.72870590249997,13.5918707544,13.31135288230765,13.216934350740726,13.008092758571415,12.888608312758635,12.81134372200003,12.69770329516131,12.573936111875001,12.481292610606065,12.407979912941165,12.2630239234286,12.184430941666674,12.15077130054055,12.10543260605264,12.010355453333284,11.9700364775,11.95246467024394,11.92777438809523,11.965655622093005
10,36.21685591,33.32395529333333,30.664852075,28.020229288,26.025604110000028,23.940156071428568,23.1040354775,21.49777720444442,20.555653883999998,19.591042816363608,18.98986559166664,18.11235778307688,17.579563555714252,17.03685868533336,16.4850589025,16.07739958352944,15.73956903111112,15.52314282000002,15.122900294,14.82946344,14.489200421818191,14.27396163043479,13.977471455,13.818631972,13.61115335307688,13.43897495259262,13.27050984285717,13.12875252275864,13.00511314466667,12.895775778064511,12.77528953125,12.66440930848488,12.53252902764706,12.4052293348571,12.353069358888861,12.28189585513511,12.21144270368418,12.13365640820509,12.064892459000001,12.04439588731703,12.01236975666668,12.00491742186049
25,44.809725900000004,39.4447896,35.0907780375,31.09980536,28.919541733333297,26.361539249999975,24.85332269375,23.322288355555575,22.065305575,21.113720440909123,20.286311837499973,19.15055607307695,18.58031498571425,18.029646103333327,17.418226528125,16.900445355882326,16.455665472222226,16.20757785526315,15.8829541375,15.3998043833333,15.115387588636349,14.828618593478275,14.502430889583325,14.324320466,14.087290728846176,13.846250659259276,13.68747350714285,13.50987773275865,13.343382583333325,13.2110946596774,13.0657663484375,12.938086665151525,12.79856825588235,12.663531739999975,12.579575818055575,12.4857397391892,12.40426633157895,12.29407991923075,12.2385704775,12.16089053658535,12.117935263095225,12.073497731395324
75,63.594805675,52.2084633666667,45.1986832375,39.56357028,35.72609506666665,32.21382718571432,29.561071249999998,27.523063133333324,25.698019115,24.325735518181823,23.184131816666675,21.920317496153874,21.047995675000024,20.271036919999975,19.485653109375,18.819390441176477,18.247018286111075,17.8887260763158,17.2865602725,16.8240211238095,16.489885079545452,15.98932500869565,15.716496722916673,15.412672128,15.10418712692305,14.890881524074025,14.596710967857174,14.390925051724125,14.185007741666674,13.958202604838675,13.753330892187499,13.5749054969697,13.430694277941175,13.220231635714251,13.1214161666667,12.93470825,12.817318364473724,12.682940935897474,12.558759036249999,12.45068928414635,12.33480179404765,12.201164318604626
90,70.86021944,57.56926564666664,50.021039089999995,43.773269148000004,38.5606256366667,34.57782249714287,31.6546033875,29.38980446444448,27.218914882,25.646543134545468,24.5185620383333,23.047835480000042,22.04968186142855,21.01013290533333,20.4540373825,19.75221785764702,19.13886449999996,18.716821613684242,18.006859414,17.47088949238099,17.05929168727276,16.592356503478243,16.2265870758333,15.948792541600001,15.59210638769227,15.32501894000003,15.00525553428573,14.76507041448278,14.544636092000031,14.303845213548382,14.071740475,13.85823670606063,13.74288616176468,13.48856075714283,13.32118205222223,13.137388826486522,13.01152692999996,12.841864590256371,12.686359846,12.576209882439,12.42653301476189,12.25794109534883
