,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70
0.5,123.77608041962922,130.9964504090291,133.76385315600487,136.15353732959082,138.1452057688161,139.09285444243622,140.08254312918706,140.6754741463134,141.1281644482179,142.1789579644563,142.36022675188627,142.7559050195039,143.40779111725138
1,124.88385184473043,133.24883330630342,136.2653105193946,137.79027180807518,138.5710281158581,139.9095846757836,140.65781474423628,141.28280213031852,141.52788648863768,142.47246530339456,142.7232669214282,142.93595306973717,143.50395631610388
1.5,127.0158998186581,134.82405253919669,136.8043175127924,138.35886982712125,138.8414743743221,140.3965961949024,140.83111635010076,141.4217442967903,141.85388869027193,142.59302114382047,142.80734709927242,143.08416745901948,143.60266933922634
2,129.45757489008085,135.3504263556347,137.37489039660463,138.80032154327574,139.1885535916558,140.5406560558986,140.9755903991928,141.7146966983788,142.15917823175752,142.65593922804788,142.92894067717035,143.2166490360776,143.6631697004599
2.5,129.9727555009766,135.79544487478316,137.75961107816286,138.92157321701174,139.29469888641208,140.8604421505909,141.22922087504355,141.81323252213593,142.2410651412831,142.71039362909127,143.05889642567786,143.37496564396204,143.7452924157714
5,132.90377547314606,137.3402141550348,139.13675732185854,140.1989905149939,140.6103736815533,141.45655128394137,141.93784777707154,142.2940695916109,142.85537925780847,143.10091237888014,143.40830720383653,143.64715681946214,144.1211029935447
10,136.3337307372517,139.5953422372567,140.61301429051758,141.2255900896649,141.842636416035,142.4170756947367,142.68926807118518,142.9347722993666,143.432336935299,143.6179890819914,143.9278518674884,144.2551422945074,148.32547453023298
25,141.401289912573,142.31762312548176,142.73492649052423,143.30462992634975,143.393483972458,143.6540145868935,143.96437326918598,144.11452813664224,144.7144232843115,147.9212546286065,148.897301240058,148.8673021656155,148.67861640463175
75,149.377466632645,148.737568651508,156.59455369879674,156.5364705081255,155.02770031497477,154.06583079327476,153.03837756289775,152.1424293126155,151.42455537146327,150.78241921514376,150.18348534455626,149.69645063058425,149.17691636544748
90,177.4594979733324,167.7970737695971,163.3832736250618,159.2387530051796,157.1525006652464,155.3824289703414,154.0326317721848,152.96563838386,152.076487928356,151.32817112804662,150.66651299150362,149.9827297695773,149.37215654686602
97.5,184.6926761581198,171.38295531470888,165.04817972083103,161.14027800096957,158.50880598201852,156.3194897893668,155.1555827906768,153.6041520725589,152.7180321479559,151.69860939350352,151.03690871700428,150.26380697133874,149.52773169562929
98,185.20131145917145,171.7898450078901,165.2426824621453,161.413152208003,158.6582514161287,156.44197809057187,155.20555621642518,153.71908608067363,152.78539901430668,151.78839741726645,151.12861019982356,150.31175645581789,149.54552648443286
98.5,185.49599239153827,172.07071967743587,165.50684186830566,161.56952797496209,158.78025883599602,156.6454428165878,155.25945815010675,153.80297705362972,152.98064934293782,151.89307910460982,151.19331060326954,150.35552320707308,149.5558955089198
99,185.92935771705675,172.7881307157609,165.7682025062062,161.7721282068012,158.85078343858143,156.73076533640563,155.34444359574724,153.90504255664973,153.13915495007433,152.0221856776329,151.25347321965253,150.38420019954168,149.57139851309827
99.5,186.74506140637055,173.67736020710436,166.50968789975144,162.57315657588455,159.2024348625967,156.8542989042075,155.5380839911839,154.09125122310158,153.2102776768454,152.11791215510058,151.38254457121528,150.46408973568637,149.60179693357617
Median,145.66171440942202,145.3895383433425,145.24535776893248,145.3015384365175,145.41670777796202,145.983519918269,149.8238544331125,150.74424160972052,150.5634052811325,150.0138341044455,149.6320944067505,149.330943002378,148.950394881307
Mean,148.6352893771275,148.23564114535677,148.41611457873472,148.37224114489717,148.1731264906025,148.44817834343002,148.47412742400618,148.67650443151197,148.80957298223714,148.7489345010418,148.73764332581317,148.7230400646965,148.65437203075683
