,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70
0.5,478.4264803118085,621.4255990518925,757.6336644606156,907.519943752351,1001.247937168684,1119.8874784559848,1203.29762933403,1289.9403117889349,1402.5128271162491,1468.6416145753399,1569.0974026397748,1641.6032392330499,1753.1463274114649
1,488.609409234799,650.1619034435271,781.655541498823,915.8697974360799,1031.323541753248,1135.866852588321,1211.268050435818,1301.087282674038,1416.93364415568,1484.5040025404298,1579.77371266675,1666.5697514769201,1757.70596005842
1.5,499.252581083998,665.836866420477,790.0266802603554,933.6492552852895,1040.4863463564182,1149.145119369155,1218.5086594104714,1320.657785011835,1421.3808444734968,1495.101219950395,1600.275744643135,1681.24214489488,1779.60104243878
2,506.05949452583803,673.4415937929159,801.614175703388,940.882307449958,1046.617441345456,1151.53917366389,1234.069899866306,1332.416830380034,1424.4572639666599,1506.57521367762,1610.7271142263999,1692.20331707786,1790.68148108184
2.5,515.2873093376224,675.484833582975,811.3916246721625,946.694409482555,1051.412130732525,1157.4467530357574,1246.301466204525,1336.754858021325,1433.7486749906252,1518.3180121452751,1617.342904963225,1698.518061201495,1793.455690532375
5,539.426343792495,700.6869710989399,832.307388984235,965.69045312636,1075.79172776476,1179.79005084445,1282.4063799544501,1361.239377231415,1461.423568097725,1556.3244833877,1647.57978849495,1732.2372757713501,1811.33598460445
10,564.36475778055,725.68218746237,858.1771359826799,998.4135670489501,1107.2342604010998,1214.18455133673,1310.4447194127,1397.12268176683,1497.3135993194,1583.4741837833,1684.31631631803,1759.8645007291,1886.8453923286002
25,602.781376391575,769.3904000095499,908.3164919864,1039.3690036516,1159.4588953950001,1268.149004379075,1360.392986699925,1461.0254130278,1560.90930305015,1646.30443515315,1750.4571419779,1837.7616002239,1925.39993249065
75,685.39333074095,873.367964969625,1033.5791580341,1179.265577873925,1304.36281729215,1406.25997532765,1510.23008290055,1605.38563832735,1697.6431453408,1767.1132106444002,1842.0224725324001,1908.8472968699,1959.7647678789
90,732.5201085243501,940.32196655912,1104.46450338977,1243.52929574438,1356.88724287287,1456.85420305156,1561.5711110079499,1652.76091996787,1731.6643497398,1800.045618975,1865.1164830414,1923.3435544866,1967.107426803
97.5,788.40651815433,1007.6850687052626,1150.873011732975,1300.901542519505,1420.2243659243525,1517.75516081652,1608.07159643393,1688.66699987091,1769.5161785764826,1826.344538098975,1885.0949016606248,1938.7957861955,1972.07496939775
98,799.5706899466439,1015.788860083092,1160.63820217899,1305.935895165342,1425.589561328498,1522.787446570884,1612.1129045178682,1694.061176321978,1771.7306290449142,1833.61195491822,1888.034172000412,1940.017037544676,1972.5127175433402
98.5,808.805181791892,1027.2222988047336,1165.4328338208566,1312.6923226612214,1439.3165360439111,1532.0103861567984,1616.964446621061,1699.876082781048,1777.501836930948,1836.0060868736,1890.63683919168,1941.108061693795,1973.4501908575298
99,823.7468490443121,1043.861034158517,1177.752013654411,1322.941106035893,1443.435973292389,1549.358188288209,1624.685516510343,1707.638134924696,1779.10229972168,1840.398437915298,1893.410995830298,1942.2801025873698,1974.3446748231202
99.5,842.7023746073776,1049.763080828296,1201.451673937099,1347.107745237875,1456.6442569260334,1564.735524513285,1633.6942446425214,1718.9273884656052,1787.4829594473815,1845.923952326124,1895.9334856357268,1943.4496146414049,1975.015872551495
Median,641.4363742891001,817.17261975515,964.9509125267,1110.1578490139,1231.24843537965,1339.0783752258,1437.87249087615,1537.9618457429,1637.23375396855,1722.9723353028999,1802.0620891955,1880.7666580729,1947.7961008779
Mean,644.7888873338667,824.5483038518126,973.1648320163432,1112.8319652519199,1231.4080445755305,1337.4554371613183,1436.8289560326104,1531.466284707161,1625.3875950173308,1704.65232381446,1788.0699634642135,1862.4220134149864,1933.276039568922
