,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,33.2390475023213,28.79823398180024,28.24157727587075,28.946329236864155,28.378862014823287,27.02066918102636,27.081841766592586,26.313599231966577,24.90820866769299,25.233528179561567,23.879470265495833,23.894095388013866,23.772915653903755,24.391491580169422
1,36.92341180088994,31.58933603316391,31.98117503118599,29.508108467789008,28.904539361183176,27.431582314947928,28.218107576604908,26.87185620640827,26.080430019054358,26.405687536431277,25.290988746407642,24.492844126098937,24.520841333413152,24.87324152795801
1.5,38.66477313583001,33.75236043776362,33.40247806611063,31.01924843343988,29.54416099669164,28.211942760773216,28.900038752835293,27.28741199983906,26.915466162159785,26.93026722481615,25.99787044700114,24.746894438349415,24.778361877359075,24.991820214808868
2,40.12985976579542,34.85495992186945,33.78461785248224,32.07529691012769,29.725162840545828,28.731502991923108,29.231997640394123,27.73642916824364,27.440148328696573,27.15797031087002,26.273826782614695,25.284048895450017,25.249513074405716,25.12868777186275
2.5,41.403946239281346,36.52758394557092,34.07506759795991,32.55541232901951,30.21876078292849,29.441059526454094,29.62555396850534,28.12835220529268,27.8158957994822,27.241982158478997,26.358671856185442,25.810759505243603,25.49224073242563,25.255908478078
5,45.77288312216601,39.56265678498736,36.82914934136407,34.643696972475794,32.5991444919738,31.378949629718072,30.771835958291238,29.11485207193284,28.73907496855766,28.259179163713675,27.193304790786854,26.657729104585567,26.21876231363095,26.388754745748965
10,51.866421442370296,43.804689787620894,40.44097368897809,38.143707619589314,35.4113830389526,34.098078135189695,32.4931333543374,30.9747303413925,30.478345303990302,29.59113610713679,28.33883066599292,27.637298360729957,27.54329288959908,27.497684786733867
25,61.415016253929004,52.200736052840654,46.6501414863106,42.59143097847412,40.55980408096818,38.434597295366125,35.89376960442448,34.57320988334395,33.105164162761454,32.07290469405155,30.875097768380925,30.2254638581753,29.233177022139774,28.623482335036176
75,86.1111429044834,70.79463563528026,61.89687375143915,55.916415794688675,51.00025898720082,47.572627320961296,44.57526789960165,42.02569805698653,39.372465382982796,37.29857106551913,35.452903078588946,33.619529947112476,31.72695150450445,30.058012347243427
90,99.8843568725885,80.4073093100907,69.76420007950195,61.320766309102,56.11498124696903,51.86893012562845,48.246616541701435,44.957482038013644,41.70176442924246,39.36881098993654,37.364277416072476,35.02254830830122,32.718573820417156,30.672914898120933
97.5,116.40909033079454,90.44920247780675,76.91301817119806,67.47051089314797,60.357566335312924,55.72254336832863,51.124965534419836,48.10182325221247,43.89525625568346,41.332666397090364,38.891018393166696,36.23113876783928,33.745448303290374,31.27380836135266
98,118.374799284259,92.41475297191339,77.42732637602498,68.71008276217484,61.05502524502958,56.058160523888745,51.49945686952063,48.43329301275419,44.20132687210813,41.54557636431573,38.94241038013345,36.3415414630191,33.90675016200293,31.319679314257108
98.5,120.2860408336554,93.66413997030574,79.0032890640831,69.5271542357438,61.39136962001166,56.9682707954424,52.3487014420798,48.726240547553125,44.42021485661065,41.792845166776516,39.13571115250247,36.41089103578342,34.05671661349554,31.421360574005526
99,125.05887853414106,96.62605309293089,79.77817822721433,70.35479886885112,62.69870180882547,58.185654596527456,52.751857158364565,49.14990351444823,44.71095598528347,42.06814079472598,39.27543480343854,36.490697447452995,34.2582660003875,31.669581248630113
99.5,129.17575996464922,100.39769756589021,82.22171077003443,71.87560229721463,63.50310261018345,58.88342605503882,54.03198724190981,50.04219612104845,45.61915928339981,42.57072784162626,39.63563314167662,37.22890975091363,34.75046226799368,31.781198456418227
Median,74.0553978319047,61.167997814813845,53.899661070437,48.64856972022995,45.452694922306,42.828400120199106,40.472450154427506,38.539514379789395,36.499648956582305,34.82638274115645,33.4914873218282,32.182544639391,30.57984813634035,29.33600611129905
Mean,74.75621485044068,61.72738127002044,54.45314853752307,49.30854620911198,45.62742266524001,42.86991370783207,40.41933413159684,38.328033013499635,36.2583413006398,34.62561226922584,33.12091986722639,31.771240350127897,30.347479833964755,29.188308873112334
