,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
Low,139.573008125,269.30737817500005,379.8736128,482.365596825,570.241129025,658.6615183,722.435416275,805.034689225,874.70458365,930.1972931500001,1006.909978625,1058.162851825,1128.6446549250002,1177.5034850250001,1230.344168125,1275.450031075,1322.9692181,1365.618088025,1415.81499105,1465.6864291499999,1502.5214894,1557.879351125,1592.398030675,1628.24424495,1671.318879075,1709.91871415,1752.488763725,1779.524604875,1822.40472435,1860.74208235,1898.5511864999999,1929.3270322,1970.0383640999999,2005.040164475,2037.306750075,2070.7738633500003,2107.754462075,2143.4806097250002,2177.3539853750003,2209.4544201500003,2252.8257247,2289.86889605,2329.81772025
High,302.48242,484.98838557499994,610.3562319749999,719.710043375,820.785507175,900.8437056250001,971.0301336749999,1038.6122453750002,1112.6815683500001,1165.423807375,1231.38913125,1276.8746864,1327.6500818749998,1381.817475025,1417.4855748,1464.97779255,1502.5562438,1549.7135251500001,1592.605114575,1629.0295695,1668.4889458250002,1714.0454109250002,1749.433746475,1789.6121306,1817.844412125,1853.7895161749998,1889.5286192499998,1924.149102075,1959.7015872,1992.2378168,2020.03566145,2055.021875775,2087.213138225,2117.07002425,2146.902805825,2175.334684675,2206.50448235,2233.32808605,2265.012092075,2290.3614123,2316.102498025,2339.638162875,2360.664145
Mean,224.322646619,376.68350801599996,495.188111603,602.706250289,698.9630818009999,785.076485646,855.4095700910001,932.6763902040001,1000.4661440630001,1061.7571158330002,1122.432205098,1175.019941626,1231.1263138049999,1278.439622857,1330.164941906,1378.077107485,1420.2892799089998,1466.6390278869999,1512.959934132,1551.4807154339999,1596.3390149749998,1636.85479791,1672.999153666,1712.847134604,1747.263063066,1783.8384328160002,1823.786975886,1857.956400665,1894.3920086070002,1929.599575096,1962.314538389,1995.5282205459998,2030.936384032,2064.5576242770003,2096.7555060239997,2128.570125127,2161.638615943,2192.9394200330003,2225.952818827,2257.664283196,2287.928348583,2320.376136029,2351.2609127369997
