,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215
0.5,29.309489940000002,54.571910618777736,63.29257915828567,71.49066709723687,73.1551843607667,77.23553940032181,79.09629356887392,82.7095287093269,81.77122431756564,82.91579493029795,86.11552127326604,85.46860159439261,85.87097775357695,86.24375861157351,87.52261295602524,86.9319337149937,88.38901902992718,87.66577012468667,88.57750401005823,90.15176082939796,89.1313051703663,89.77236268626855,89.70276699852938,90.56547233113722,90.62804311965421,90.81728704704179,91.67966272198119,91.58357247895935,91.44402219169447,92.95502911042509,92.51414381709515,92.56692272985023,92.68205231498077,93.14614581746676,93.26377032228831,93.81516197945813,93.81125381548765,93.92579316959709,94.49205394419565,94.89122658045977,95.06800177810327,95.59822067387196,96.30335300739755
1,33.87118391600001,62.100874374222265,67.52665246647621,75.28440751605264,74.926048241,79.01157704071262,81.5932859040672,83.62762150583332,83.47571213414142,83.92700074482444,86.56527602615492,86.40818945320905,86.42931819740384,87.5494339327909,87.99457557470994,88.30848712906958,88.97026120622404,88.44936781604245,89.27297876802686,90.78441251566062,90.62714910379492,90.43512464356633,90.65175185793747,91.05825669152243,91.4312291783226,91.48140746803344,91.8814076808535,91.95385206841007,92.22936817533143,93.28388160377894,92.81840330364302,93.07798630043551,92.97931337235774,93.52036736484789,93.66905151943911,94.08985989286286,94.14933050067566,94.20696450898853,94.7929129562168,95.01996765000052,95.32682472848396,95.65401241301166,96.3092971069733
1.5,35.969662043,65.18651354455554,68.82211831819045,76.91252837694739,77.7138063339,80.36660287301147,82.94464198710924,84.08719105133977,85.03689071870711,85.43747617682043,86.94551396623565,86.86901698089265,87.2587112669615,88.22116443292549,88.53734120272792,88.93091778928326,89.27706717876194,89.21836664833336,89.9812063370123,91.00743832708183,91.1092535341996,90.84946119896416,91.2427346251121,91.32012555146426,91.76552391339739,91.73709460487541,92.47523158042563,92.6470157161531,93.02260450899617,93.33134730420987,92.9288373128881,93.18192255588365,93.41119221761863,94.0556652408475,93.90526191923675,94.2157786869581,94.410769439124,94.48207298872518,94.91775410661799,95.24603083372837,95.40468237763507,95.70296873071474,96.34339170725366
2,38.984753844000004,66.1956086497778,71.26120989561907,78.26136894084212,78.0061238402667,81.1697670435862,83.8596862709244,84.64743584943594,85.82918710989897,86.56543620943673,87.53739929195963,87.38908310645199,88.02268721300003,88.77120952392549,89.48167092861979,89.23316822718986,89.74926446097479,89.48671354662675,90.31143785892942,91.2513136075313,91.34331304221246,91.16167440308261,91.66622196552863,91.74957616731936,91.95537975080254,92.01150147646989,92.65100475441461,92.76652837308534,93.15140544972411,93.40690036219594,93.09590357785332,93.3947143459984,93.52651450851143,94.14353750952452,93.98984348472644,94.3692052413718,94.54939234642072,94.56315137034473,95.03455647312288,95.31545887904421,95.50277842296124,95.76302688696744,96.34881810471288
2.5,42.767386110000004,67.47331332666667,72.99929823333338,79.03102937250003,79.43355983516666,81.95480501649428,84.18696078058827,84.96267060323721,86.4466923537879,86.7590885298367,87.7952625038384,88.04413628553671,88.42075545019229,89.04062994348863,89.63721944466671,89.63840741603643,89.96665981565828,89.70879975169787,90.53931417506159,91.40272464976772,91.56014435181318,91.5166296766597,91.87750706707855,92.0728711109629,92.09577900967743,92.18269403051883,92.7241104160586,92.90802953780573,93.26171667488505,93.5841726196242,93.26792166463342,93.59570697215209,93.77127151476716,94.2672411682509,94.20310794478817,94.46202618380507,94.71649803628084,94.64362116598164,95.1415616277082,95.35642355151637,95.56762499370876,95.82988834898158,96.35237481541401
5,62.819410950000005,72.28020541999999,78.51686888285711,82.5134554202632,83.15705288300003,84.18613286735635,86.53815904621851,87.25982592134615,88.4915061164646,88.0233789083265,89.41370174875422,89.37080689861581,89.60435934774038,90.32595511445138,91.05956068263062,91.07112830327536,91.12215190683474,91.26582864023719,91.40450766877943,92.23085791410098,92.45859427822342,92.08805024567144,92.66186195873377,93.1957447811905,92.95964046465802,93.01616917084078,93.23625723931453,93.5360083189054,93.76747031007663,94.05006285254137,94.00692711902809,94.17691511500003,94.28096215968215,94.47453728940137,94.62297005504763,94.84252125493174,95.0403044049883,94.99835228459482,95.37690532514402,95.55393569657288,95.747112718374,95.99707533704036,96.39209763564874
10,69.2548702,79.38854454222222,83.0913507866667,86.04162205421053,87.0056795626667,87.682413271954,89.62870825445381,90.13643480474362,90.30226334787882,90.40661542065308,91.08708429077441,91.17584044836161,90.93149599586542,91.97560991888197,92.35290887012611,92.567032166519,92.45083566969187,92.64236018776528,92.87345721594629,93.27139924694951,93.50884404333328,92.96710945291076,93.6625680916247,93.87535629823529,93.92665876583223,94.05180425812765,94.1635539015368,94.34587173516958,94.40846109588122,94.67545756736465,94.60660617260154,94.87688284454403,94.84438509084997,95.05501334591021,95.13773736748766,95.27820458535068,95.40653675169214,95.37549472797552,95.65312447609833,95.83825051893467,96.00090132775702,96.19355786452496,96.4225538931276
25,89.2510217,88.96159666111114,91.09657696190477,91.61844763026318,92.2617532866667,92.36890180287358,93.41934500924367,93.76489952211537,93.48020084292928,93.84726982653065,93.89548568653197,94.22699355,94.4137307014423,94.47908932267077,94.57627798810813,94.7371781367089,94.64729607170868,94.73252410087393,94.89951588812993,95.08457399858585,95.19360306813188,94.77024496105085,95.10788669961863,95.31254679632352,95.35847561425805,95.22893262587952,95.38843323482585,95.53740399080165,95.60752504636017,95.70098189375835,95.67173137369085,95.86734955886399,95.72043732978563,95.93390758966237,95.874170808046,96.06706697630355,96.04163462311988,96.02346262997774,96.20408286341527,96.34957983866829,96.35584467797702,96.46137766105035,96.69283005253203
75,112.4271974,105.350984538889,103.43069065238075,102.916966839474,102.101854733333,101.20357974425275,101.01200613193275,100.621234345833,100.3421485156565,100.50152803632675,99.82456900303032,99.76031984929375,99.74831429615385,99.54344948592127,99.56782468504507,99.01108897167722,98.95557215854345,99.209140970412,98.93871809193728,98.74359430934345,98.73448275989013,98.46524446559633,98.48912136514107,98.4062288432423,98.19002461916133,98.32062981231365,98.13630261387505,98.21022772528262,98.19626912112074,98.00041998778522,97.94626210950983,97.88519018863997,97.74672281722098,97.77195612737557,97.64005219247947,97.61665903898202,97.47248193631025,97.44372308411302,97.3276736619085,97.32497000124373,97.18148412281208,97.10343455967187,96.9778917221908
90,116.70718658,110.3228542177782,107.7273999142856,106.2431598336844,105.5849458353336,104.6014461266663,103.9615793673947,103.7060559728205,103.257719592525,102.95670224848949,101.8302553690232,102.21847324734429,101.90398820644201,101.62135415093199,101.12562301160351,100.9185971859807,100.6593810926046,100.8731685988268,100.3588232597537,100.21213728440391,100.3298729933696,99.8333792746122,99.82253568646834,99.68276170084032,99.48944573579354,99.56626822599883,99.28335446438916,99.15274576316544,99.06935953471267,99.02915594629975,98.74736413412651,98.6977876984906,98.57874986724315,98.49684307751477,98.30332161715597,98.30359619207326,98.13020715680378,98.04370256761909,97.89261927126621,97.74041687618588,97.59172218527974,97.37840215764413,97.14986583710494
97.5,123.24805860999999,115.02013153388923,111.491057958095,109.61253986552663,108.35795640283332,108.28838530557452,106.6313274596643,106.0300421700003,105.00050132419238,105.34263837959182,104.64677189575794,104.66376381933634,103.89112618168299,103.5360301509935,102.81861501187376,103.39055277901062,102.3533376268623,102.35273959465027,102.21262797320267,101.48264176796441,102.14094442371787,101.39607018087978,101.31805382647644,100.89452346206959,100.95228044116172,100.63899240192887,100.37803582530158,100.42410019321451,100.23815187487592,100.23149174174067,99.88218458789699,99.62432918965017,99.47891075990019,99.37113890370172,99.21905207022,98.98579482500776,98.75395107538782,98.66540382346139,98.46136917461801,98.22311788651632,97.97898766978236,97.69622600355322,97.17880650128016
98,123.437553808,115.58180800711112,111.94249428304785,110.01450866410532,108.69556860213366,108.71698436560915,107.04795036154589,106.34527231400038,105.22082663947485,105.4891088823023,104.84838627550178,104.79962373333342,104.14573591230732,103.63772458353594,103.09014086343797,103.66161461898135,102.5407656848632,102.64866997495173,102.4348795768782,101.67636387850926,102.32364722936978,101.53587639949292,101.72723537164265,101.0032814997505,101.0877692395048,100.84808560301501,100.56600009396153,100.6348401468303,100.30736612096939,100.314233786253,99.96249823945038,99.77038630656759,99.57162902097853,99.50597187600003,99.2930850964808,99.03720364784358,98.82033302655697,98.7552483276458,98.51626760450861,98.2689866134553,98.01773517012526,97.7214691839626,97.18104835205908
98.5,123.548021006,116.09206090777799,112.51490523085714,110.2176186350791,109.0287294259,109.06633345164376,107.83758633515971,106.62448396428194,105.7157522345554,105.76852999181624,105.02987120445145,105.17327662519497,104.41233663540422,103.97425330453008,103.66268055640687,103.78312295576383,102.79636313710357,102.91387421907862,102.693599816862,101.87699208576811,102.58662709235301,101.74855257927354,102.05009363596194,101.33228141365066,101.42232328332295,101.05286733181202,100.70739838314965,100.7948015651699,100.60043715165271,100.47964071461357,100.18685413657406,99.91564441819456,99.65253905439768,99.68499261053597,99.34082883097408,99.0968164949739,98.98068354318386,98.88392239039653,98.67868476041654,98.35591259100701,98.0576552752114,97.74530826984736,97.18189057599396
99,123.55720579999999,116.50176429977799,112.81496987257137,110.82770634815795,110.3114055924,109.89608668921882,108.13607420090723,107.38401884779476,107.13715405068734,105.85135202426103,105.53804955372415,105.40877692795449,104.85463357128846,104.18142728780118,104.25507728450442,103.9407230074902,103.41793079914278,103.25148470079135,102.96126307113961,101.9957751324345,102.82397314197065,102.08857669754916,102.39572679912156,101.59737972865,101.57085582015984,101.34819887836723,100.98805968654466,101.19523489697083,100.81839843470283,100.53399403866177,100.31472708650736,100.20283768690862,100.09880288233579,99.82304737174312,99.51290721573335,99.17004772891617,99.17917670112925,99.06195741604844,98.74781816481632,98.40213212818689,98.1170641119445,97.81186644745408,97.18291203840732
99.5,124.577462938,117.49153563755523,113.74572485476158,111.53476284018457,110.936349723867,110.52115170631023,109.02461394690721,108.32896392158347,108.14317927692939,106.2113975741922,106.66619816385884,106.23232396393827,105.45280466736996,104.73828041744137,104.68140919307059,104.39874492739447,103.7382462861061,103.46244848230506,103.68189662799372,102.82953095104243,103.08814359301698,102.31362888565779,102.89620376832679,102.29819744515943,102.0182880544827,101.65628527236957,101.52702822820571,101.78268773051136,101.20087640072052,101.31160517740463,100.70325869483035,100.36857674239596,100.39640074316739,99.96134158381446,99.75498221971824,99.26246211917473,99.28137270186541,99.21458716585877,98.99806006316939,98.50859448050782,98.30829957557346,97.977733531656,97.18409689389354
Median,100.3609372,98.48300154444445,97.6390364095238,97.66323301578944,98.16746994333334,97.20224437816094,97.40122200336135,97.53513613653845,97.12524734747475,97.1959761346939,96.93243580740739,97.1644164779661,97.31339491490385,97.1444511596273,97.03142014342345,96.9449099397152,97.00011794733895,97.12350020699125,97.1946376924972,96.88389753373735,96.8899305285714,96.78447505988325,96.93852182334095,96.79554933431375,96.71045136090325,96.77701607310675,96.7505709925926,96.9421000187564,96.78248029846745,96.8227374046085,96.8307746411395,96.80465584508644,96.7626450488544,96.8578027275322,96.79544525517241,96.86094509574795,96.75462249700355,96.71690357457535,96.77712512767644,96.8295830223869,96.7748320372549,96.76187410150375,96.7917520312975
Mean,96.8399035546,96.31708861373333,96.41853433230476,96.81235564672633,96.81030807355333,96.61163124102988,96.94458036425209,97.11794658359359,96.82170300248485,96.88679069839428,96.76811782624915,96.8810629970983,96.88623995962308,96.91827573818095,96.87841932774342,96.8186144780826,96.73769048200337,96.86737911321872,96.87410419783785,96.83687743565999,96.90287976109009,96.59949184115328,96.78786089208727,96.78542819123165,96.7323735450898,96.73504112635898,96.6998883459947,96.8352357485441,96.81115868845536,96.86011372914764,96.74653326016237,96.81039811446958,96.72949386612152,96.82829473884343,96.75488460458797,96.81589458738343,96.74711798025464,96.72278856065124,96.77089921254243,96.81195896223427,96.77172059145423,96.7818935945403,96.79279263235175
