"","names"
"1","Anser_caerulescens"
"2","Artemisiospiza_belli"
"3","Artemisiospiza_nevadensis"
"4","Leiothlypis_celata"
"5","Leiothlypis_luciae"
"6","Leiothlypis_ruficapilla"
"7","Leiothlypis_virginiae"
"8","Mareca_americana"
"9","Corthylio_calendula"
"10","Spatula_cyanoptera"
"11","Spatula_discors"
"12","Troglodytes_pacificus"
"13","Spatula_clypeata"
"14","Charadrius_nivosus"
"15","Circus_hudsonius"
"16","Dendragapus_fuliginosus"
"17","Dryobates_nuttallii"
"18","Dryobates_pubescens"
"19","Haemorhous_cassinii"
"20","Haemorhous_purpureus"
"21","Mareca_strepera"
"22","Nannopterum_auritum"
"23","Psiloscops_flammeolus"
"24","Dryobates_scalaris"
"25","Lanius_borealis"
"26","Haemorhous_mexicanus"
