,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220
Low,68.06351970166664,73.56572107571431,78.95992240868419,80.18984708033334,82.06210114603452,85.13741979596635,85.13171854519226,87.07901022590912,87.44004596744897,87.76746811397304,87.80682756661017,89.13838967997597,89.03055294143897,89.77212712234237,90.53117270723105,90.51767860198879,91.2129547277591,91.74738771819705,92.13961035301014,91.98475418119043,92.60280626668053,91.80261635430968,92.28619708435576,92.84246913447747,93.03849567973765,93.2494196778165,93.24555204811925,93.66148754922894,93.52335802145862,93.94858068286975,94.17278149275553,94.45022006140798,94.55873450494603,94.75107720788178,94.9376253207371,95.08028183868689,95.29536910726125,95.39039399594505,95.66139915189696,95.85170662517214,96.20111667747555,96.48627841006952,97.2567974610627
High,115.4398100777782,112.09783536904737,110.383032440395,109.09413331016668,107.81657475103452,107.40525330100846,106.30150686455097,106.21309196944452,105.58513948512274,105.12212474976435,104.08456801692063,103.88853151031294,104.02405071828123,103.74341926457625,103.42503442150326,103.3669466174092,102.49755577863334,102.6574297791491,102.32167279348502,101.92935185467995,101.64066391263562,101.5541698681845,101.810474202507,101.35067854313539,101.05311025121962,101.2319097329191,100.68305642593533,100.93588461645585,100.45765776961714,100.31575379488505,100.25428325827995,100.04146722693248,99.8282969850748,99.74435047583907,99.54365959206085,99.3075476932932,99.13114400424537,99.04056344865184,98.79661997953767,98.55825194284074,98.36341964291861,98.00626010705282,97.2567974610627
Mean,97.33504354113333,96.95126932241905,97.41427577523157,97.37472872174,97.4116217768046,97.08701905621847,97.18984069912179,97.3240394640707,97.4633399231853,97.44560162525926,97.17956435283332,97.54306697910096,97.36566662287991,97.0740718160562,97.21968069212564,97.29106997132659,97.2574395429568,97.2625599886719,97.30827249296868,97.34860465888313,97.2795353752562,97.15037540736597,97.28856916086946,97.31219513006013,97.22839912858652,97.33566677950404,97.22507394966968,97.26254226661916,97.22223935356983,97.2656839079953,97.29221697002635,97.31406326103901,97.21514871148375,97.29708834180755,97.30005187798764,97.24583804417509,97.281397846557,97.25976300173652,97.27432145379281,97.23513062057255,97.26546587839289,97.24679477321827,97.25679746106269
