,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220
0.5,226.07167336999998,343.459320595,437.596751765,532.5241081400001,611.11394081,688.1505076750001,783.536188125,843.3853545400001,920.4517419749999,966.4686679199999,1015.05818388,1079.1930378499999,1142.1157234650002,1185.95608154,1238.92098209,1296.3901275,1327.04523313,1398.3195014350001,1435.930398625,1483.88985019,1514.8126500600001,1559.8491869499999,1600.0146167300002,1641.4378861550001,1677.72373699,1719.6379834749998,1761.612306015,1799.205540795,1831.184705235,1866.75500476,1899.09766554,1947.68860123,1979.433636015,2007.774096865,2047.74426124,2089.4803574499997,2121.784539145,2164.636076745,2199.60091121,2235.63868176,2268.562928095,2307.57345217,2381.310886
1,243.66483651000001,363.2202525,466.82911784000004,546.7053619899999,637.98550053,708.11336501,793.0318369099999,864.16844083,934.2007049700001,971.83816369,1029.59745159,1090.2977608,1146.10749609,1211.80786309,1255.91307308,1308.19776632,1338.9233802,1404.50822761,1447.82239207,1490.93828153,1534.17665937,1574.30399264,1615.25077171,1646.15977366,1691.14955261,1725.57729508,1767.7076747199999,1807.87096043,1843.97136287,1880.39306323,1912.14107236,1953.79826707,1988.06319956,2016.23628729,2063.15458915,2095.6795967499997,2128.45141909,2169.08124158,2203.65031848,2242.2217491700003,2271.5311137099998,2317.95101102,2381.310886
1.5,248.95612372000002,369.04049673000003,472.78547899499995,551.0009620349999,648.9494309950001,718.148410345,798.4507758450001,872.350862185,940.31310122,983.70645848,1040.64647167,1100.36546529,1154.401587025,1216.7596826,1263.01408382,1318.02962789,1351.18710705,1412.5935112099999,1459.1675759549998,1498.7687164099998,1539.006126265,1580.1740088949998,1624.7448257899998,1658.795288465,1695.107163015,1732.2136334,1772.2210425600001,1817.223653405,1850.9737366099998,1886.1916662899998,1925.68039764,1962.0136956600002,1993.29999975,2018.849156705,2070.24099164,2098.12509235,2132.33652507,2172.69439985,2206.703485985,2248.869204665,2274.652936815,2319.668863085,2381.310886
2,259.13654238,371.673021,478.60684901999997,554.4525560999999,658.3001885599999,728.86515846,807.76815256,879.6135565,943.39779818,992.83633556,1043.34362938,1106.51545002,1166.06444494,1223.52959574,1272.9734189,1320.84612354,1354.87541102,1416.1876353,1465.9385363,1499.66298718,1550.2039898,1583.89991802,1630.35717834,1662.8054251199999,1698.10799282,1738.03426192,1777.26748092,1821.1664662,1854.70773032,1889.89881442,1931.1679495399999,1964.90888916,1996.4665825,2026.39117696,2072.81407816,2100.9477628,2135.58462576,2174.84307448,2209.1418688,2250.73185618,2278.46276322,2320.51814922,2381.310886
2.5,268.519962475,380.57839835000004,481.25716059999996,559.118304725,663.1662399,731.56568005,812.06041125,886.970411625,947.118121125,996.40539615,1056.8992467750002,1114.82599785,1172.011280625,1232.1697324,1280.4257192250002,1326.7397251000002,1364.7868184000001,1424.638454275,1469.6649661000001,1505.4487861,1551.0897766,1587.8867659250002,1633.6744298,1667.20709705,1703.0875528,1740.862112475,1783.3714183,1825.9765517,1857.915696025,1891.712280875,1933.87591245,1966.8163022249998,1997.8095121000001,2031.65149825,2075.283243075,2107.044201925,2138.467839,2178.845417925,2212.42870365,2251.78924515,2280.3594318749997,2321.76072525,2381.310886
5,280.68325115000005,397.3510977,504.5394552,585.5508619,679.9511957,754.6145911,832.78421335,903.4947274,967.47419555,1016.61503115,1078.0138926500001,1133.86585115,1189.1690965,1242.54325055,1294.4312232500001,1340.0189675000001,1388.1625629,1439.8190197000001,1480.9099105999999,1520.72467985,1563.63573815,1606.0881946,1644.86807575,1680.1238207000001,1714.9929286,1753.55565965,1795.50471605,1835.7899938,1868.0462811,1906.01002915,1944.68036045,1982.45197605,2008.1229595,2045.6878709,2085.20439785,2116.2061116,2146.21693635,2186.8186358499997,2219.51165365,2258.19000005,2289.4578162,2330.3130669,2381.310886
10,302.80702049999996,418.9780749,525.7122746,610.5049492999999,703.7967016,775.912143,852.0847861,923.1339646,990.1451692,1046.3822965000002,1105.2542173,1160.3130469,1211.9287283,1263.8771798999999,1317.9581285,1361.4048274,1410.0586051999999,1456.1465242,1497.1775883,1540.793103,1581.6531513,1623.6891851,1661.1258474,1697.5104614,1733.8807772,1774.9207628000001,1809.8525806999999,1848.6067592,1883.5596287,1921.2001486000001,1958.1342092999998,1990.9392524,2019.4546845,2057.77876,2093.2667901,2127.1413995000003,2158.8359305999998,2194.9267316,2229.0641265,2265.7407265,2297.2861787,2337.2786484000003,2381.310886
25,335.43390325,456.5786395,562.3699690000001,661.80288825,744.5120465,821.6748,889.9361389999999,959.5918582500001,1025.488773,1086.328665,1138.2409545,1194.5630230000002,1246.337924,1299.87291775,1349.1800695,1392.491834,1439.5333475,1483.541718,1525.15586175,1565.08377825,1606.3010224999998,1648.660057,1687.75102775,1721.73651075,1761.09747825,1798.4309215,1834.631472,1870.138877,1904.6998644999999,1940.93598475,1976.43206075,2010.961503,2040.62956475,2076.8308305,2110.66632475,2143.78098375,2176.804782,2210.4435095,2242.80584575,2278.2267375,2309.8333252499997,2345.56195425,2381.310886
75,412.6905895,539.7917142499999,650.2621655,744.667914,824.578897,905.75119475,975.01252575,1037.627191,1102.94057225,1162.937739,1211.45951825,1270.3211565000001,1318.34970175,1365.4431075,1411.98521175,1455.10174375,1497.78441925,1541.803466,1582.2127567500002,1621.997573,1664.59032975,1700.70968225,1738.262693,1777.277935,1814.28464025,1847.46053075,1883.78980325,1919.1555935,1953.9337540000001,1986.525626,2019.83231075,2051.6453565,2083.37013925,2117.0033894999997,2148.378955,2178.114259,2210.888323,2242.687023,2271.55437875,2301.91404075,2330.030439,2358.1144135,2381.310886
90,442.9272024,577.4545007,684.3830971,780.8551142,863.3736935999999,940.9363281000001,1010.4402033,1063.8905382,1133.0941901,1193.3656133999998,1238.6203713999998,1294.8070949,1347.6720489,1392.2254523,1436.2043754,1478.6783769,1526.5901837,1568.5619113,1607.2131214,1646.0742259,1689.0816857000002,1722.0758685,1761.2171573,1800.0982666,1836.5134724,1868.1268767000001,1902.9962191,1939.6451074,1972.9331588,2002.6556675,2036.9055425,2068.426195,2100.4446852,2133.4186891,2164.5525052,2191.9401908,2225.4069474000003,2254.2295885999997,2281.1246787,2309.1486408,2336.3803184,2362.5878267999997,2381.310886
