,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50
0.5,124.16602605133366,141.17212877107113,145.92994130311132,150.16023766212146,156.2115792932971,156.65283306600034,159.39979804437894,160.83145945984188,160.5720053488742,160.85316090076077,164.05899278236924,164.21456091095243,164.70575818137942,165.423511778085,165.8800398778791,167.4900915324757,167.3863119186914,168.67434981205085,169.01255583288042,169.4270734548199,170.25573589161343,170.308750257092,172.680229647347
1,135.344031265333,143.02467281214243,150.0675852160003,153.23637382696992,157.61020455560467,158.03018232666633,160.84126074705895,161.58897378578985,162.32629660995715,162.50624631282642,164.65125479735414,165.3206886549738,166.00555875425283,166.26135002935465,166.70194879960735,167.57960528714273,167.96782946213395,169.16511385820482,169.48332577231116,169.72977727384801,170.41720320602928,171.1271202315251,172.680229647347
1.5,138.21293570199998,145.62467548142845,152.59786490555598,154.9720743774241,158.68180084912055,159.91716265675,161.61378480895385,162.79870090152616,163.15795500086563,163.5788983833697,164.9592973118464,165.94796815105772,166.5151564303214,166.80190665391078,167.20844540306592,167.84637920728537,168.5214733469698,169.3094820444104,169.70091375124318,169.87430404592004,170.62376144214468,171.18610791594898,172.680229647347
2,140.414818202667,146.68983623000042,153.8985238551113,157.02870641393972,159.330763114286,161.111822644667,162.60810251267938,163.11190686315774,163.73638050718642,164.50642950695666,165.69812990695408,166.37471536465645,166.85232334436773,167.11691778274215,167.51353667871612,168.15880005803206,168.85260164102397,169.5196400802051,169.8853249767249,170.06112466778046,170.70588032131437,171.20728950290797,172.680229647347
2.5,142.70154823000033,149.0380447732144,155.73119538444456,158.1732266810602,160.01959921758214,161.53111496291635,163.36047958758152,163.70539035078906,164.4201362662339,164.90499794130412,165.88842008030755,166.72185172089922,167.44283485172406,167.42347579475785,167.69458618297728,168.49264372261928,168.97861167553364,169.624850607051,170.03211924988352,170.16113052415423,170.7515238588409,171.21273491626803,172.680229647347
5,150.10942229333364,155.93591376785716,158.97247492666625,161.52322977575784,162.748616152747,163.578572125,165.0260183758171,165.45051984578936,166.12934629134165,166.41911176811576,166.8298761061535,167.81048043015872,168.2323226317242,168.27455096612888,168.70412520641665,169.16854004396822,169.6406775058326,170.1785440119232,170.52219423089426,170.54921179154334,171.06951817864746,171.465177680851,172.680229647347
10,157.0914652133336,160.0976886714284,163.45896182222242,165.04653670302991,165.3110953736266,165.95516188166673,167.2387467437909,167.2571966473686,168.0004144017318,167.8604225862321,168.4521054966152,169.1629733497352,169.3304532087355,169.4339720258063,169.8805988534761,170.26128769999968,170.3319828216216,170.7976497648721,171.02745231544708,171.0721255845667,171.4245536649272,171.901196487589,172.680229647347
25,166.20187620000024,167.43378089285676,168.435872477778,169.502669598485,169.47338520329674,169.622341583333,170.24063530392175,170.2505136263155,170.21189367532475,170.46042034601425,170.875410143077,171.01015219444474,170.933090443678,171.092816283266,171.23197981105176,171.35604235634952,171.59400453698424,171.79653335641024,171.872641380952,171.96247850634276,172.1318710086955,172.2502448541665,172.680229647347
75,181.00500390000025,178.94176619642874,177.99857377777775,177.114706537879,176.52848714285724,176.38574584166676,176.0925053006535,175.719758955263,175.45162262987,174.86795280615976,175.07600142769274,174.74207469973575,174.52346484827623,174.2638939485885,174.29049349465225,174.13277508015875,173.84281148506375,173.73521064871824,173.67917322067325,173.419426044397,173.40032406763277,173.105781005319,172.680229647347
90,186.1174251466667,183.8172149428574,181.6028629777774,180.30308135454518,179.0956593296701,178.5882579900003,178.0412234836605,177.5048270063161,177.2890019696969,176.5512976760873,176.626080327385,176.14769599999968,175.88054639908032,175.3483067915323,175.3386476795005,175.1228728387306,174.7440646688475,174.4804292733329,174.3165709265968,173.9699978105709,173.8385673955559,173.443430530142,172.680229647347
