,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
Low,244.38282565,350.3175027,451.280619125,543.467459225,646.21770195,724.403069375,813.92274785,893.8070078000001,981.745547525,1068.921571675,1153.2772278749999,1240.775777125,1332.650136
High,396.274399,547.43013,678.2548421,788.5114478749999,884.112630425,977.385889575,1054.243878625,1121.454112325,1204.4729832,1263.708891,1328.120148775,1378.454227,1410.2075
Mean,334.33907925100004,458.055205842,568.5961421149999,675.132530075,772.947478868,857.208056308,941.8625948010001,1020.008089818,1101.7697057899998,1173.6211150820002,1243.8816604570002,1314.358651475,1380.0313108300002
