,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28
Low,115.468635333333,137.589141466667,146.8473898285714,149.6540705111107,155.68334228484872,158.41901788956034,159.26888497374998,161.52165196666704,163.9147062228951,164.49348400324686,166.88172136884074,168.23834001630726,169.853401957672
High,196.991089,191.666977466667,186.86810961428614,184.51028474555514,183.33154966742458,181.2485395582416,180.360099533333,179.44389045424802,178.2428966400003,177.3089496701303,176.37968952952912,175.10199560307723,173.531258222222
Mean,170.84676782500003,171.82241265800002,171.4536498162857,171.7489913485333,172.1622744713939,171.98580655109885,171.94540235553333,172.05839943937252,171.95464613430528,171.93800838648488,171.93744098908692,171.81702270016004,171.9475622955713
