,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28
0.5,68.38856147166668,116.346121809333,137.10808799000014,140.4835442119999,145.72225540757594,153.94790244417544,155.97959649433298,158.62407614196104,161.56337995910565,162.65299828571395,165.55174681833378,167.09661668599978,169.853401957672
1,105.16361462000033,125.155188266667,139.81617164571458,144.6415394599999,149.13439468060574,155.52625675802156,157.27776032750032,159.8961847915031,162.7746851006319,163.43751967056272,165.82141127695687,167.205674516923,169.853401957672
1.5,111.046702226667,130.998941780667,143.823061857143,146.69318978311134,153.53196649969698,156.69843548659387,157.850470767083,160.44014196385666,163.20908416800015,163.83737035428538,166.09032109384086,167.9851662088,169.853401957672
2,114.322375666667,134.5904748,145.53321333571387,148.06673971999976,155.0168170090905,157.87258838417623,158.35678570666664,161.1565194405232,163.57482220757888,164.12082812571404,166.47138733420303,168.113536123077,169.853401957672
2.5,115.468635333333,137.589141466667,146.8473898285714,149.6540705111107,155.68334228484872,158.41901788956034,159.26888497374998,161.52165196666704,163.9147062228951,164.49348400324686,166.88172136884074,168.23834001630726,169.853401957672
5,127.7927442,145.1493965199997,152.4738832214283,156.1547438399997,158.3690845681818,160.77541606043985,161.8815842825003,163.0066533163397,165.53580140210494,166.1407012207789,167.5052640764497,168.55727744,170.92677805291
10,140.345283,154.5946596,158.0353275642857,160.17356528444472,162.2957934181822,163.755968028571,165.1183237999997,165.60863516862779,166.8330952126313,167.7926231212119,168.514364833333,169.420549083077,170.983361312169
25,162.466646,164.95502426666675,165.93448814285725,167.76754245555549,168.153344401515,168.118146263736,168.78761165416674,169.3334191928105,169.522172239474,170.075716363636,170.17351603079726,170.50539208,171.355232058201
75,184.558953333333,181.152721333333,178.49415235714275,177.61755303333325,177.14658062878775,176.5857205054945,175.70245249583348,175.220252898693,174.792030707895,174.1259874718615,173.84361361413,173.17188466615426,172.991339275132
90,191.665829,187.3025306266667,183.3810443357139,181.23509031999978,180.2875977333338,179.11512231208758,178.0913030050003,177.3694427176471,176.659336205263,175.883801503896,175.1754598652174,174.3370710972306,173.457825656085
97.5,196.991089,191.666977466667,186.86810961428614,184.51028474555514,183.33154966742458,181.2485395582416,180.360099533333,179.44389045424802,178.2428966400003,177.3089496701303,176.37968952952912,175.10199560307723,173.531258222222
98,198.789045,191.666977466667,187.25771134142857,185.01983737955536,183.6222253533332,181.3906647890114,180.54599639299968,179.61966223790853,178.41642376126273,177.46933392311658,176.50468926202942,175.2007056,173.531258222222
98.5,198.789045,191.9160396,187.52132692857157,185.4495257991113,184.22600630878836,181.6946506502198,180.84999690108302,179.75875161143813,178.5924289817373,177.68001589004345,176.69665169768152,175.55266843741532,173.531258222222
99,198.789045,191.92030626666667,189.090294,186.0154271186668,184.53466903636365,181.8785031507689,180.94092488950034,180.312666273072,178.81699487273667,177.86287049619077,177.051915200797,175.72424896627655,173.531258222222
99.5,198.789045,192.4959856,190.23591856250013,186.49951897555533,185.12244747257617,182.49708188362627,182.06623131058333,180.80909178294124,179.29401614489439,178.08471795502143,177.4190195934416,175.87456088,173.531258222222
Median,175.298891,174.18701333333348,172.992493392857,173.163393466667,173.58383365151548,172.73090078021949,172.625543991667,172.7488817973855,172.31966661052599,172.291938904762,171.98235689855102,172.01350799076948,171.708587148148
Mean,170.84676782500003,171.82241265800002,171.4536498162857,171.7489913485333,172.1622744713939,171.98580655109885,171.94540235553333,172.05839943937252,171.95464613430528,171.93800838648488,171.93744098908692,171.81702270016004,171.9475622955713
