,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
0.5,208.835121,321.222820925,401.513730125,514.6808098050001,590.25378427,677.990683595,782.746737795,867.3690653150001,953.614527295,1044.630952585,1122.5214564149999,1218.424772455,1332.650136
1,224.85410462000002,326.46246804000003,424.34918229,525.4398065400001,618.65101241,709.0464198200001,788.9636390300001,876.4371273600001,967.22254721,1054.5182115100001,1132.0099219600002,1228.05461205,1332.650136
1.5,232.039037735,337.17023196499997,434.817813145,531.63679063,626.307689375,713.5025885700001,797.1399690650001,886.3679490000001,971.3425174849999,1059.45038731,1139.54638466,1230.631637375,1332.650136
2,236.85294134,346.63984354,440.21674326,535.3632032600001,633.4963818399999,718.41390482,803.23401914,891.04913116,978.0841528999999,1066.40135448,1147.82751664,1235.9877102799999,1332.650136
2.5,244.38282565,350.3175027,451.280619125,543.467459225,646.21770195,724.403069375,813.92274785,893.8070078000001,981.745547525,1068.921571675,1153.2772278749999,1240.775777125,1332.650136
5,263.761277,370.5919587,473.18394495,568.9147123,667.7645283,746.41003315,839.1455885,921.6425513,1005.454216,1085.7729081999998,1164.3583070500001,1250.2848414500002,1333.799731
10,281.68636219999996,391.4819795,491.4689872,593.3300967,693.1119348000001,771.9464226,856.5725601,942.4983796,1025.3883411,1106.457934,1185.3921909,1264.1115299,1347.354267
25,311.51855,423.091011,527.3151865,633.8376337499999,729.816718,818.412599,899.361549,981.3249395,1063.2521755,1140.82099475,1213.72820425,1288.283901,1367.284614
75,363.975226,496.9656855,613.6651430000001,716.39920325,819.6583985,903.14252175,987.7576417500001,1063.811291,1144.4774415000002,1211.23173475,1276.263833,1342.565226,1399.020896
90,384.25158,522.517199,644.0917168999999,751.1832577,848.3817877,936.3144460999999,1017.5828301,1092.4597446,1174.278974,1240.1882581,1300.848118,1359.9901323,1408.667149
97.5,396.274399,547.43013,678.2548421,788.5114478749999,884.112630425,977.385889575,1054.243878625,1121.454112325,1204.4729832,1263.708891,1328.120148775,1378.454227,1410.2075
98,396.274399,549.623998,682.356894,793.70396892,885.21714476,983.10978008,1055.8230736399998,1127.3760264999999,1206.0349081600002,1266.5432055,1330.55852274,1378.91826002,1410.2075
98.5,396.274399,560.156889,686.206488,798.136019715,888.2608971149999,988.0742057900001,1057.99549809,1132.638660355,1209.22385473,1268.68013154,1333.76572619,1385.27432,1410.2075
99,396.274399,563.356889,688.09745506,804.73964573,897.8300771999999,994.14021883,1068.60210705,1144.68134786,1220.22480438,1275.4147510199998,1338.00722856,1386.53842536,1410.2075
99.5,396.274399,564.506484,698.438508,813.2416481299999,908.88878979,1003.27261019,1080.39506941,1161.26328356,1226.0798231899998,1280.7905002999998,1346.22929148,1394.896079,1410.2075
Median,334.069095,459.71972949999997,569.3783825,680.215058,776.7896545000001,859.025783,946.3749325,1023.799336,1102.8105905,1174.7567165,1244.4937755,1315.8995965,1375.883344
Mean,334.33907925100004,458.055205842,568.5961421149999,675.132530075,772.947478868,857.208056308,941.8625948010001,1020.008089818,1101.7697057899998,1173.6211150820002,1243.8816604570002,1314.358651475,1380.0313108300002
