,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50
Low,142.70154823000033,149.0380447732144,155.73119538444456,158.1732266810602,160.01959921758214,161.53111496291635,163.36047958758152,163.70539035078906,164.4201362662339,164.90499794130412,165.88842008030755,166.72185172089922,167.44283485172406,167.42347579475785,167.69458618297728,168.49264372261928,168.97861167553364,169.624850607051,170.03211924988352,170.16113052415423,170.7515238588409,171.21273491626803,172.680229647347
High,191.666977466667,186.719728925,184.47889867222244,182.36734628863667,181.44501215384577,181.1181322162503,179.7305962712419,179.54167576657883,178.94914142380964,177.99518885126858,177.98253096507685,177.37241081388927,177.16840004551696,176.70429852590757,176.18848524893082,175.96971940142876,175.56954529658591,175.10929020346143,174.93909349970957,174.58442586855145,174.25880989970986,173.614343943262,172.680229647347
Mean,172.68286774893332,172.51664570442856,172.73993144697778,172.80672347884845,172.67730252189008,172.59242790368333,172.86199837303266,172.78632219965263,172.693033336632,172.4597842801739,172.7711734690954,172.73188983056613,172.68530152068962,172.5434305759113,172.62310447105165,172.6461667125492,172.65702306025034,172.71519368977175,172.73462876465038,172.64268678279913,172.71925912334876,172.6600172015975,172.680229647347
