,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85
Low,506.12203273456,669.8208344576201,798.5186757150276,920.4209707832225,1020.294694991075,1115.6488030220623,1207.1169403980675,1298.80083598285,1378.4482913566999,1464.7398352925325,1538.7975678914502,1627.3098840188675,1708.215806517375,1786.799836096825,1863.5137169072,2025.8030691668998
High,786.7136460639974,977.8518448916125,1148.956189165735,1270.46711126476,1388.1511140321074,1491.2978246747475,1577.8132740365274,1661.804985790345,1747.4752791413,1813.6475548826875,1871.98948963007,1930.7327174822574,1982.286528901245,2026.3021655541752,2063.6977022289498,2090.0255744672
Mean,634.9964467494729,810.4997553147585,955.1552855143118,1080.3760270071618,1191.6138793617365,1294.6114829849987,1392.1568484149798,1486.931611377477,1576.3927405921495,1650.6907483507464,1726.7279199547525,1809.6598948954297,1883.9700181642993,1947.9910138005348,2012.2621821531784,2077.2199415754803
