,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85
0.5,32.90641574370739,32.68644636824915,31.65603115320928,27.83029856821926,26.355896679444893,24.953998119365682,23.985057688798236,22.57759095992935,22.55377012066219,21.782544282013824,21.37684396327938,21.451613889986092,21.058442515206888,20.727555275052424,20.828864859356482,21.6133979189128
1,36.06169699525523,34.4949684025813,32.845799610085436,28.606385650205738,28.30935841385266,26.03697027826163,25.808604409442484,23.18495165685146,23.676671045421287,22.855603076668984,22.686360730176133,21.806867658134973,21.814185593493548,21.260779278578436,21.17630601113295,21.6133979189128
1.5,40.357399066095596,35.98146500919289,34.12581685929642,29.343541428067617,29.039680218568375,26.633590370708195,26.055341276399908,23.70233459225173,24.194047525043267,22.952786348555666,22.94872031603136,22.78277228158416,22.07253391056578,21.687491029247003,21.671199131011235,23.691603827335875
2,41.57508350846646,38.08175410219166,34.585126062451394,31.12280815136655,29.672284579362803,27.630754272963845,26.662480790902308,24.302571006520335,24.685312897219617,23.081720257808705,23.32963158123383,23.077577612156855,22.276510891266078,22.11458359674396,22.0130925538699,23.7232516330479
2.5,43.184924027528275,38.60166751810225,34.946434874627634,31.927753164745262,30.1856411897038,28.0386858772973,27.198638317911886,24.70771577348926,24.752335359632024,23.3833171616826,23.572183665909773,23.350328294218375,22.349725728602714,22.34047539108319,22.177669909397675,23.901259168343103
5,47.98972384583265,41.481582218091,37.38677285109487,34.440991736297676,31.904647987822166,29.519962573801102,28.437419408158277,26.772264011930755,26.08074320133739,24.58944488822188,24.72243355715974,24.15042112592009,23.103495404973835,23.0833492372455,22.991506641978145,24.546839126057
10,54.4386913127657,46.3991380493229,40.829703386828406,37.27191439843948,34.0291475312479,31.53709093052054,30.29775161330963,28.323651699204202,27.536171980298498,26.15341074852754,26.15353704918363,25.33288991837109,24.29010589042385,24.15987048312907,24.45348438837608,25.0180727385081
25,65.29842448019849,53.61174147768513,47.648401808294125,41.7746891487581,38.36636876336915,35.32659635441857,33.551097222379674,31.85987026875825,30.61722358829395,28.82942543629745,28.539815793478326,27.47700777179615,26.459570860385526,26.23829629848825,25.6537683009288,25.1942217294187
75,90.3888776243275,71.20986439118741,63.27199951184663,54.2198682976127,50.03104799589093,45.904250740630104,42.318335816927075,39.04023020466883,36.9555127350241,34.7027314350459,33.3863322918524,31.624011082445648,30.092325872070923,28.56916466170085,27.266581108921624,25.5201347410708
90,102.5247430893025,79.64832961895237,70.7983142269562,60.520633494412195,55.22457486183734,50.127193460860795,45.84633879051232,42.055457887035985,39.73455031177822,37.21729317054997,35.045275082535,33.04137118794575,31.31458169373172,29.4244887648772,28.02990768035447,25.8392052042173
97.5,117.81851942267495,91.12261066683331,79.8034342670597,67.15550826005932,60.32125880126447,54.26869267040096,49.026280607387655,45.9962118942571,42.16111877711413,39.346539488061104,36.93669132947399,34.329035801518486,32.79259264988555,30.55624167123802,28.742245570514484,26.7970476801893
98,120.30201506851387,92.37854958810753,80.19148577170989,68.1054462047292,60.85462318888657,55.45935105720481,49.515799548691184,46.28377469973724,42.30388697363475,39.855625204143195,37.07652169046712,34.52931247342741,32.892910618528546,30.671455631526268,28.805282992615197,26.7970476801893
98.5,122.18728807564572,93.47715488403284,80.8036142653375,69.2081012942838,62.154335006255174,56.25160816398404,50.20109122897219,46.82590688169251,42.67601086285864,40.17183513741643,37.38368722045673,34.61965326763784,33.081483220504495,30.81324420367356,28.941425582342735,26.7970476801893
99,127.52074802587028,96.4069111784186,82.0510558109255,70.30967567055582,63.80003548955156,56.844421909514516,51.069670807942664,47.5934037491017,43.435202288140005,40.59366377871999,37.59371400322314,35.01666885523001,33.28036396245134,31.07810459082296,29.15986486188602,26.7970476801893
99.5,132.718928995375,101.20782200894807,85.97300696477458,73.30006676230943,64.983159565488,58.46948683715352,52.68979094720201,47.89508701121601,44.11058949992397,40.83476909617171,37.92319379627439,35.658878917696285,33.59237336885076,31.546750353453596,29.274731952863174,26.7970476801893
Median,76.9847967605438,62.37242673543766,54.9260854798835,47.99435388398835,43.6405186401958,40.3845748253217,37.77464683001775,35.548813616284505,33.8648494962153,32.15908794532575,31.32287872638115,29.69239608757115,28.48734626354195,27.553299223809198,26.5357147231137,25.3344244222763
Mean,77.82375003581436,62.73066341197959,55.49940552691068,48.367177691958524,44.208539917403485,40.6915873237831,37.93327235292643,35.47636083831704,33.757268738950096,31.81215459826905,30.873782582099512,29.44019546124342,28.14389512687202,27.18195640621015,26.30231831845196,25.319626852296903
