,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205
Low,259.4927526,374.51611075,473.428803975,583.64359375,670.23214725,746.5674147,816.2693800750001,883.924126825,948.3853576500001,1008.955694825,1066.56838,1124.7728694749999,1177.417180825,1224.277246525,1275.064341825,1335.831431825,1381.553322875,1426.187767575,1469.670546025,1513.6202991,1549.5905249250002,1593.8052937250002,1636.8038105750002,1671.52318465,1725.155291,1757.479826875,1794.3009497750002,1835.0783575750002,1868.262948075,1906.391714825,1945.407466875,1978.4270037000001,2018.044160925,2053.99180625,2086.650580575,2119.961648125,2161.389258525,2197.0317522500004,2235.41806055,2278.1546396
High,475.965779475,608.3160437749999,730.1466856249999,815.897150925,902.00215695,978.009690925,1041.398680075,1112.1711173,1175.7465286249999,1221.832749575,1276.812753225,1328.674313475,1375.235532775,1425.789326275,1471.29947815,1516.4697408499999,1551.695095675,1594.51158705,1639.505500475,1678.0602710249998,1713.1897473,1757.077932,1793.251391275,1824.8662802000001,1860.0769465249998,1895.445380825,1930.9594342999999,1962.98143835,1997.1169175,2030.272516225,2064.2498037749997,2089.444585325,2120.7699863,2155.515044325,2181.68732835,2212.7203496250004,2239.688879,2265.2162404,2290.655439825,2313.4021795000003
Mean,373.5389227840001,495.852287862,604.890031398,703.338576054,786.2548991749999,867.4349763939999,937.8580812209999,1006.9544158419999,1065.701153353,1126.426958605,1180.4662046849999,1234.1561512869998,1282.852486899,1334.6385184209998,1382.9463143159999,1431.488260697,1474.769998618,1517.442277098,1556.069462026,1599.206788533,1639.227605759,1681.218342615,1716.7447065009999,1754.5888771890002,1794.8614191630002,1829.83241581,1866.773732301,1901.747467396,1936.638057364,1971.802503943,2007.407417753,2040.1060410310001,2073.377208428,2107.8817410589995,2139.616835137,2173.095992436,2205.262617485,2236.7035975869994,2268.771017484,2301.208781
