,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205
Low,30.498517262500002,28.69501211999997,27.144623605,24.670718375,23.573671889166636,22.03332522285713,20.950046918125,19.8662156572222,18.941618184,18.36506590909092,17.430558862916637,17.052436963461552,16.597826613214256,16.30677191600003,15.901811133125,15.408214535588217,14.972474393333378,14.740951205789491,14.44747333325,14.422864772380919,14.05773986704542,13.912632384782622,13.748811740000033,13.442121144,13.533416657884631,13.342677430185176,13.0544391226786,13.098216125862056,12.910813157333365,12.792895066451578,12.7460037625,12.586371335909076,12.604399878970627,12.505255451571415,12.478914974861143,12.470389774459491,12.400137833684221,12.350964723205127,12.361938804374999,12.36908858939022
High,78.99483051249999,64.50725719166667,55.83895261249999,49.140114376999996,42.643380615000034,38.244238749285756,34.825093726875,32.100450999444455,30.2629391455,27.66557187863637,26.328373512916635,24.96525232769227,23.63056603214286,22.526419357666633,21.659928497499997,20.722896309117683,20.214999144999968,19.509542593947323,18.681281431,18.268477692857115,17.836175104090927,17.35406463586959,16.912092239791697,16.559650268400002,16.285035119615408,15.982716525555547,15.653457107142884,15.405024771896557,15.077655706499968,14.97836035790327,14.633168355312499,14.443781273787897,14.169432619999956,14.006534342142869,13.805054095555533,13.620972521216244,13.464659399078968,13.268347042564121,13.059226575124999,12.84705458304882
Mean,54.3740410674,46.89596385099999,41.3727963859,36.565466189,32.93993076976667,30.204134854971432,27.803939588375002,26.03310617968889,24.408241081899998,23.032120921927273,21.952575119116666,20.989612707923076,20.111864231942857,19.403091353546664,18.691939059475,18.02698953905882,17.535957025355554,17.142966489726312,16.606987581189998,16.2982450331619,15.954258837899998,15.583858136565215,15.355326480608335,15.044578011032,14.871291970984613,14.608040871488887,14.372824884828573,14.219055606510345,14.022658457313334,13.866503774258064,13.709174280837498,13.538031506787878,13.406055449470587,13.273775266931429,13.168150175283332,13.061381324756754,12.94240052161579,12.831981128466666,12.744912497059998,12.655765810560974
