,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34
0.5,205.35491129,317.31984592,416.12997915,500.557770135,605.6458092949999,669.661361135,756.91183814,850.07056977,936.628351115,1001.4105130949999,1075.15424872,1165.46199355,1232.7299148450002,1299.095961905,1375.778078,1493.902955
1,226.28831563999998,335.23298208,421.80295754,522.7215046499999,615.46636056,702.35860508,786.52402183,863.92241877,946.5043862599999,1009.1561685800001,1089.67086526,1171.03903671,1238.4952478599998,1309.0541407100002,1376.076998,1493.902955
1.5,234.236725225,346.20924515,438.497680405,529.897275565,621.666996225,715.7049539850001,794.02927826,871.098678305,950.64812459,1021.27770735,1100.971279005,1177.5817777450002,1247.126453035,1312.966423265,1379.697187,1493.902955
2,238.11152602,350.50819418,446.1265734,541.8673547599999,631.1704697,721.7802130800001,799.22089994,880.24046188,959.14304362,1030.66225528,1110.1987467400002,1180.65767104,1248.55656998,1317.1196935799999,1380.586564,1493.902955
2.5,243.499864225,354.713605175,449.881307175,548.019939475,636.721158875,726.2332755250001,807.705032625,886.4206036500001,964.3413035,1036.200011125,1115.105379525,1183.14702005,1253.85557995,1321.545252875,1388.511409,1493.902955
5,259.593692,373.9935862,470.8348537,570.60760965,663.99119035,751.11593365,832.11883355,915.03216635,982.1662133,1060.5344103,1131.2545938,1200.22538625,1268.0717343000001,1335.7058955999998,1396.409298,1493.902955
10,280.807621,394.21951190000004,494.984875,590.5288251000001,687.4645542,769.9796894000001,851.7896072,934.0860965,1001.9674415000001,1075.7611986000002,1150.1138202999998,1217.5639752999998,1282.5613384,1345.6084713,1411.086564,1493.902955
25,309.870045,427.643767,534.799679,629.363542,727.9103102500001,806.96235275,892.7782052499999,972.7490137499999,1043.266537,1110.81519175,1184.35100875,1245.8401755,1307.335108,1365.1451345,1426.127802,1493.902955
75,364.413748,495.351584,614.56249225,711.5666100000001,811.38612125,891.57735325,974.499408,1047.0422469999999,1115.0815029999999,1178.537654,1246.534118,1306.58363125,1363.72742225,1410.30491925,1460.584837,1493.902955
90,384.25158,521.4471089,646.595266,745.553794,843.9562568,928.4044156,1001.6366558999999,1081.2726635,1146.4633910999999,1208.5108378,1272.5329026000002,1331.7634716,1385.0699734,1429.571914,1474.398708,1493.902955
97.5,390.880531,549.556889,674.5506329,780.096104,882.1523398,956.966813675,1035.962896575,1115.60290095,1179.5796470750001,1239.398975175,1295.83304785,1353.7442212249998,1407.192531,1447.45147,1486.5035109,1493.902955
98,396.274399,549.556889,679.20578656,784.32803698,884.95217114,958.90448252,1040.81874528,1119.5198514600002,1183.44225324,1246.36252028,1299.60516794,1358.62625742,1410.01908486,1448.68768944,1486.532601,1493.902955
98.5,396.274399,560.156889,681.3613151,790.03936204,887.4482716599999,963.053553605,1047.903395805,1119.8874641,1186.7002811549999,1253.7089521550001,1304.496999895,1364.0377603,1412.013004,1452.414367,1489.778138,1493.902955
99,396.274399,560.156889,683.4732487599999,799.15327676,892.6405013799999,972.0360811400001,1057.7703441800002,1124.93778931,1193.27286778,1259.74139054,1311.8253545999999,1371.6070382,1413.9890859900001,1456.0436448799999,1491.288653,1493.902955
99.5,396.274399,564.506484,697.2953329,803.7442830599999,904.16322656,974.474156345,1068.3178931099999,1139.8714225600002,1199.682860905,1273.2968436899998,1319.4287211699998,1376.64054111,1424.268930255,1460.775460135,1491.288653,1493.902955
Median,334.995047,462.581434,576.418045,672.6732865,771.323577,850.6228015,934.6502785,1011.4692965,1078.747635,1145.0305575,1216.0493045,1275.2866235000001,1337.41167,1390.326623,1445.807729,1493.902955
Mean,334.023771876,459.951430276,572.9913994990001,670.105467496,767.8352689369999,849.3943904209999,930.534263282,1008.604462516,1077.123710955,1143.7325746840002,1213.3429919139999,1274.994074217,1334.904844362,1388.4129682569999,1442.934155128,1493.902955
