,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52
Low,351.1917442,455.681814875,549.462968075,631.5154576,733.613876625,799.75760825,862.3690915,945.005398375,1014.109936575,1076.966417975,1148.514674975,1210.052047875,1286.3678386249999,1356.507024,1414.9783533749999,1483.6782842750001,1550.8233278999999,1604.9447992999999,1671.9095732750002,1733.4123819,1800.808546175,1873.274995375,1944.281607375,2013.48332
High,544.7679241249999,666.1955420749999,772.9576019,875.8775798999999,968.33379775,1051.271058525,1128.006668775,1216.20628175,1286.72102535,1362.2620527499998,1428.6998466,1488.53200205,1549.470298575,1614.707743225,1668.560158625,1731.3995651,1782.951621,1838.1751265999999,1879.05502095,1930.3727979999999,1981.9677284,2019.960144125,2056.375618225,2086.94616
Mean,454.580734733,568.6374961009999,669.408375536,760.236016393,849.4495190099999,929.6640836159999,1004.280038474,1086.576933002,1159.342725813,1226.4327731960002,1292.57339154,1359.356855554,1423.7040192260001,1490.611655583,1554.906510999,1613.2080711419999,1673.423969602,1735.548249941,1789.468641701,1843.053628573,1903.7920803129998,1957.831052478,2012.553769216,2066.637807795
