,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34
Low,243.499864225,354.713605175,449.881307175,548.019939475,636.721158875,726.2332755250001,807.705032625,886.4206036500001,964.3413035,1036.200011125,1115.105379525,1183.14702005,1253.85557995,1321.545252875,1388.511409,1493.902955
High,390.880531,549.556889,674.5506329,780.096104,882.1523398,956.966813675,1035.962896575,1115.60290095,1179.5796470750001,1239.398975175,1295.83304785,1353.7442212249998,1407.192531,1447.45147,1486.5035109,1493.902955
Mean,334.023771876,459.951430276,572.9913994990001,670.105467496,767.8352689369999,849.3943904209999,930.534263282,1008.604462516,1077.123710955,1143.7325746840002,1213.3429919139999,1274.994074217,1334.904844362,1388.4129682569999,1442.934155128,1493.902955
