,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52
0.5,130.63555231066698,131.16614200642815,142.52734921111147,143.89234649333326,151.7604691073626,152.9289267226667,153.0704283426139,155.3434843583687,158.0709557928566,158.94817512641305,160.73717963719994,161.2193462408727,163.05324778250562,163.68319767887098,163.8400443787343,164.58503468115876,165.21446058835008,165.41977800279454,166.18588443204456,166.95658839038015,167.655473439324,168.2811637405937,168.79621369991037,169.610306076923
1,134.012838293333,137.04193774071385,147.70553728755525,148.14765481515164,153.80554851890093,154.94046496549998,155.62807660052314,158.8669363434732,160.12595218796577,161.00453873528969,161.74451427341575,163.19781903936519,163.87213860983914,164.18160131838715,164.59782187001747,165.28298073492041,165.49711329217595,166.26583317617977,166.93400122011596,167.2496962398308,168.02983901028014,168.45032825143628,168.91824822267768,169.610306076923
1.5,135.92055009799998,139.51362973357155,149.588283340444,150.67900021787844,155.4323676324175,155.941592032583,157.39663931418312,159.74649951415753,161.0158148629439,161.55717503242707,162.59598721190767,163.82358347097872,164.47539946834482,164.51198217901214,164.91162602365378,165.573968031825,165.83725921718377,166.4383887388717,167.10350936319392,167.45301460086637,168.15002937625133,168.55992069841272,169.0296447141636,169.610306076923
2,138.73290584533365,142.01807368571414,151.34922170755578,152.36663529333293,155.8839187476923,156.81901302566666,158.11061016810456,160.74608839284247,161.29579564190496,163.1797581250726,163.34668219741536,164.307498949947,164.9682296541609,165.01115046120933,165.07104626666697,165.87963502247624,166.32284524938856,166.6773581911793,167.25420130810696,167.59290779809695,168.2501837932363,168.65705348383025,169.042093529796,169.610306076923
2.5,140.05755383666698,143.04547154285743,153.43399773333323,153.08703043181848,156.91696600439516,157.42665873541668,159.9531480140527,160.86104700263178,161.60607664264091,163.41700932210105,163.56440755199992,164.77700315515838,165.30571420505774,165.4985218082659,165.26586708582883,166.184925130794,166.69324740298768,166.91506971756385,167.33429939692175,167.77334867674438,168.34904412396116,168.79333968023008,169.17481218681615,169.610306076923
5,144.94936573333334,151.8372917357144,156.75695951111092,157.96538015909124,160.5656428802197,159.91244708583363,162.22861794444455,163.56768127421077,163.73572522164525,164.65471632717436,164.89030278369214,165.92654562619046,166.1502447526439,166.55288107983887,166.3134648577539,166.99773417142885,167.55942519174954,167.79632198615397,167.82525467142816,168.3637374693447,168.7915975752655,169.11106424787255,169.48700035779598,170.363762199095
10,154.08738583999968,157.4489276499997,161.1847066755559,161.7714668606063,163.4980907186813,163.8191157283336,164.6606835385619,165.33199770526312,165.4662735316015,165.91000022463732,166.2055494603081,167.0981752952385,167.3882283209192,167.6397613270159,167.4862366748664,167.7351229965076,168.3245076876247,168.3854017594872,168.53203181393692,168.9736496860466,169.1283796738167,169.4755842757091,169.7623576581227,170.404119704374
25,164.4924962,166.382455285714,166.96064855555574,166.33860047727302,167.4337937857145,167.756069383333,167.86216526143826,168.193424092105,168.42209775108228,168.70310366666675,168.69278254307702,168.973761977513,169.172790354023,169.36766478931426,169.19994075846725,169.44163336507927,169.51204406756776,169.58681713653849,169.80005589895475,169.8709909312895,170.02705235217425,170.174280906915,170.33727193224502,170.468727165158
75,179.62347406666674,177.0903624107145,176.36963544444475,175.4205576818185,174.84337152747275,174.349577533333,174.25097150326775,173.56474751842075,173.77186383549824,173.51318166666675,173.06306602615376,173.08161946031726,173.11771473678127,172.73801927620926,172.42114929322625,172.45330160158727,172.14012343101,172.09493077756377,171.955260130662,171.7719529487315,171.67490951256,171.545574911791,171.3481309342855,171.14971245098
90,183.774161066667,181.5943491928575,179.7212006488893,178.34853248787908,177.71980156263731,176.82073112500032,176.11460930326783,175.7043543642107,175.4388226380953,175.1451014275366,174.7361638319997,174.6658584809528,174.24930425241362,173.9962848697577,173.65280042459858,173.4442852209528,173.2375813968703,173.0442956828203,172.7034344843206,172.4755862830869,172.2847731066665,172.06496211418482,171.72303588179608,171.367991343891
97.5,188.78085486000035,186.06567800357112,182.48049736777767,181.01717589545478,180.59067866923078,179.5260125925,178.40812825392123,177.86053198526358,177.0422160240264,176.6967021240937,176.20734503261536,176.15662438280415,175.43186384586235,175.12519327973786,174.64723067976865,174.39592706476233,174.06080958790892,173.95282288891042,173.29366840087116,173.17966383837248,172.91778109057967,172.48881818776567,172.1657492797139,171.39689347813
98,189.69117933333334,186.201431642857,183.0505224533329,181.56777664666672,180.91857779032992,179.70532463766702,178.64914371555543,178.10301289705248,177.2782067002596,176.86997383333318,176.3575866539079,176.28766204984137,175.52924982326405,175.20268486524176,174.8724019439575,174.59104760323808,174.1348486556474,174.00447963179496,173.378227626202,173.25695636613088,172.98470152448277,172.58891960851108,172.205370623673,171.39689347813
