,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd26,pd32,pd36,pd38,pd40,pd42
Low,226.2079165111,252.317916315,294.82095761299996,593.69087494523,529.75523037882,800.6881964771601,873.1809081505425,1015.141413918175,1081.8335151684025,1168.7947084277273,1443.20031572578,1651.4086459066075,1836.720653659495,1861.97710409435,1970.4593735419749,2016.189105604325
High,426.3841997992,752.3265996522,848.9297994992,1222.4257142483975,1096.1160041898002,1522.6241450577274,1639.7222661634676,1727.9028177077673,1827.2347794674874,1926.0775487896176,2141.325877241155,2323.413769456445,2423.165693723795,2471.1631026672003,2509.17543809475,2544.6458014409727
Mean,360.9744317751832,461.54066165762106,585.1376751311532,901.1934195394143,809.8816039465963,1157.5835789374025,1263.391310224864,1375.4119328943743,1474.5446828408249,1555.8119966927302,1809.2407953801765,2028.9390087333793,2166.6806399428033,2223.3425093875194,2283.2387733525466,2340.869429394576
