,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd26,mntd32,mntd36,mntd38,mntd40,mntd42
0.5,9.15663805839995,17.087653521227253,17.738723664404667,41.16811238844388,17.51522543739815,39.877109060403754,40.969105800554686,40.33635125937929,37.48490582109203,35.084666848494855,36.59108503966936,34.76312686986535,34.19652669136024,34.37780221840929,34.41675074953574,35.67035079608217
1,15.0915477852,17.686217986349252,21.326637593716367,44.86327853720362,23.2727533609606,44.50176469295313,45.342364688589484,43.007502092473324,42.74870641659036,39.677391209248704,41.14845672727752,38.40112776478774,37.68525955777682,37.149160156453874,35.98213169143275,36.943582764816014
1.5,15.3995010234,18.44420884396175,22.022110614812,46.597336804171185,26.6061624094985,49.66220468138382,50.52772754981192,44.471870131022904,47.625565894156985,44.59382788908345,43.26098654666789,39.36476532865204,38.9753158313687,39.54272999129602,37.54446600301205,38.45387872432276
2,16.685666883255998,20.961044020359,23.696100543286033,49.34996898137749,27.5422621241288,52.5282023782777,52.15549948221234,46.81620011182832,50.02311772001095,46.2264232977418,44.758421158092716,40.29086120303787,41.48141469653269,40.18314538911387,38.95435213093475,38.9514298685365
2.5,24.236367338400008,22.788680190290002,24.887120462765033,53.70604230689219,31.097330784268753,53.58123345650733,55.15007184909997,48.28185410261547,51.195038209077374,50.128342693602875,45.65597101007892,41.425187604425204,41.8613072745203,40.49576343169744,39.91969645373787,39.561341838936926
5,32.76599532609,29.9584903933825,30.857125974884973,67.39258161328438,45.04384078475201,63.97915091007004,62.714931788996374,56.321945621183126,58.47476500702723,55.709143347549,50.34352363479596,46.68206942518995,45.24706073920055,43.203349820042256,42.437073215157625,41.740361970757846
10,55.2737994871999,36.74746817895,43.39363207640003,81.719169196935,59.375325618942,76.04576840776751,73.00308784604718,67.60127268241433,68.41843918658053,63.8209605136335,56.23888179907884,51.717657624351546,48.70069664265668,46.940635102829724,45.56354302800325,45.14150192377569
25,237.7907998077,79.45885017566874,87.7813780987833,105.95437513279376,75.87475972385249,96.03232162999377,90.67796856395535,84.29619742588437,81.86919448801528,78.739577618995,66.79370076314041,59.011839647737474,54.97224931638125,52.904899446324976,51.8177151208225,49.465471784442876
75,376.673799811325,192.92985335334998,157.879431611517,178.9145124680285,128.02860541938747,145.8929459692625,132.87102935790725,121.41625151617976,112.54872271253625,107.0471746472125,89.90160495219908,76.7926437405734,69.86419576917704,66.62301976178287,63.860928965814374,61.11831452164345
90,407.43939981228,221.19524984045,196.87584991941972,213.0887307371775,150.21619585004103,167.5177869941125,153.00740838833102,141.2089583263356,129.8035378791266,120.642675657054,99.4164860724473,84.15964318222939,76.41610624182253,73.7246951538558,69.427561856201,65.8517652198452
97.5,426.384199816205,364.2581498686188,228.883899749267,247.38274619011938,175.77533622648576,189.49406405080978,173.91861843289936,160.05057802410764,146.0906588466024,136.15030529369713,110.38586817905536,91.25770227815772,82.49037125672388,78.85285876528116,74.983406986531,72.01221871385738
98,426.38419981821,371.94954984340353,229.99858519850892,255.3331195300275,177.3625371449852,192.17617307421816,175.410948415913,163.823615731087,147.8487353410901,136.86434696129302,111.80242377208862,92.81472092969288,83.11585220601454,79.44275222730329,75.53910886867625,72.50704111743462
98.5,426.3841998192,375.944467797633,236.97106641673602,259.8354010047097,181.36401439356115,196.0555185342655,177.583447469174,165.28346309715832,148.68070361622642,140.01962735300077,111.96391488753895,94.07375425139617,83.73192740733263,80.4591154883717,76.1946716129566,73.03940826890448
99,426.384199822002,376.38889986875,261.55715731321004,272.5506822063104,183.69655887986258,206.1133066812038,182.35925981553513,166.93617490689564,151.0470807356686,142.99576222455946,112.92924647148588,95.29228241803105,85.38002406921599,82.53090769579045,76.8413776202073,73.49810918498731
99.5,426.384199823414,376.38889987015,270.0618664760005,278.0294312559015,187.91303738345854,213.8084949787449,192.28894398848408,172.01558812138805,159.01302870349642,146.62451905258249,116.52841784465066,98.90186538536027,88.6007512981973,85.06749681046963,79.2598051659582,75.92069120301207
Median,360.7211999926,132.016200119475,118.921432256717,140.5899531623875,102.9590582737,120.5571592923875,112.51269875090699,102.976870276503,97.32293157994725,92.33674984556251,78.93183826559036,68.63705824389065,62.6546076947611,59.491490344078954,58.400661831122505,55.3855573693774
Mean,297.0178868982375,135.44439374743536,122.08294571675225,144.33216925254558,103.29453885716956,121.35967404756227,112.59106539031974,103.55614101140853,97.63348829790108,92.54300381288115,78.42578962408155,68.10758243083605,62.44817812825997,59.87828774371899,57.82529905695403,55.387297149095104
