,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24
0.5,3.15721719999999,15.996678925859,18.4730666872667,17.686342884859,27.0595395309807,25.60295830909421,26.07725993081092,27.10032254673427,29.587446770792532,35.87689525177,42.82034930661254,62.1133488906667
1,8.700005973610022,17.57683047255,22.6899504869278,28.68360527247975,30.9037426064768,30.551638035889365,30.411674643296198,33.80048732970224,31.974337907682344,41.58221192694135,43.0728260700455,62.1133488906667
1.5,8.75599373900002,17.96140175997575,24.95567963635395,35.67057997027938,34.809837729875255,34.197193156732126,33.55640120760858,36.54361116725588,34.738466904382435,43.143961344768954,44.20726848383754,62.1133488906667
2,8.95881600000001,22.835535665048,30.059228352535666,39.478003625167496,37.6086142352466,38.43065261944263,35.85596117495682,38.10587531826888,36.869060500120625,44.590480784065804,47.11550823932602,62.1133488906667
2.5,9.15663805820003,29.106120829825,34.40415232513711,42.678922981093436,39.39738168242725,41.08284926875935,36.606452056098064,39.97333442434739,38.61807213272221,45.96487134475762,47.1245715118182,62.1133488906667
5,16.702936698149998,35.955803674072506,44.0257788055267,52.965413137405,49.133603079078,49.431556166485,43.8998426003675,46.00981036461621,46.17204093220639,48.769860848803,49.2544412216364,62.1133488906667
10,46.540400416,59.66665018044,74.3103356922983,65.63013688155876,59.657248300998,58.27710627158917,54.02706739929784,54.82406161622313,52.2025076920017,53.280211579814,50.73833513205,62.1133488906667
25,58.3101998352,113.51443619308749,93.79081551237915,86.62563716540313,80.0685570824275,75.99905145559165,68.786564361225,67.18263562861408,62.9031866402014,61.621621277111245,61.4459351261409,62.1133488906667
75,360.7212000054,209.22372449517502,167.80453340354177,144.62751610486873,129.819627420265,115.192103658075,103.16133331792176,95.5906628345359,87.94053418766802,79.734237897745,72.3237956330046,62.1133488906667
90,376.6737998164,264.56066256792,208.4783514478353,170.1885024805625,153.450457058555,134.8810662393683,120.35733847002831,106.429696231837,95.30844688159388,84.62554733106,74.5838643552818,62.1133488906667
97.5,407.4393997119,371.9495498491125,235.0236331844028,202.97047797670018,177.73453993695122,150.85467976697166,131.8087687722198,116.53038565762924,101.17304332209994,88.4319822863625,79.0845635371818,62.1133488906667
98,407.4393997122,371.949549852409,236.99130908957764,204.48664912752923,181.695700065767,152.34657283021068,133.66483734249832,117.10834260552211,101.90933193523155,90.650971022521,79.0845635371818,62.1133488906667
98.5,407.439399714,371.94954985360897,239.68374584383147,209.93282736238487,183.42624993219485,153.6464375423964,135.53324143698535,118.49591431250562,102.47422446198017,91.12604963499683,79.2986572057727,62.1133488906667
99,407.4393997142,375.94221179728703,253.697772423176,214.19463139635138,185.1755159586829,155.24019926918416,136.66661888441914,119.35325441309675,103.68324442223194,91.6840072949389,79.2986572057727,62.1133488906667
99.5,407.43939971504597,376.38889987115624,269.0497330265313,219.9855247612636,188.93680747349865,158.73036296612509,137.76598409002156,120.34703782528003,105.33324049719972,92.1563291081,79.2986572057727,62.1133488906667
Median,360.7211999862,142.3892748234,140.8373056443,116.179519602619,105.06692516724,95.73001420099581,85.83660749111075,81.69764257030624,74.62208342035835,72.28865271687,67.5797320634182,62.1133488906667
Mean,244.88397122956957,163.23739031636535,134.90894836445435,117.34660923963534,105.74290607756846,95.69034056906763,85.80607683497473,80.85024348639115,74.37228143279931,70.36585097961417,65.7065758188403,62.11334889066669
