,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24
Low,208.298018905,260.453012171125,349.730987028375,485.798171853075,572.4391008676749,706.303790452075,802.6016992432,880.5682417081749,953.799290275725,1084.4283332809748,1184.1046831202,1416.0793830502
High,407.439399682,767.7093996362,882.0579737033249,1056.7925397788247,1154.683752767825,1230.303920968525,1281.754230034175,1341.8148965849748,1376.7496326597,1397.805756475175,1410.9912651812,1416.0793830502
Mean,325.76978639417314,502.3517110767736,637.389176612326,762.3618762047279,875.1495478466919,969.4930479130626,1059.118074615119,1137.876203528246,1214.4589784838538,1286.237206000702,1353.787083973859,1416.0793830502005
