,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46
0.5,217.769924379931,253.7420272447665,288.66395975851054,428.452113285066,521.3242233246871,639.548065394446,717.936357198771,792.690924837398,939.037176941705,987.2551978891,1058.747021439461,1137.766191550075,1216.2428922143,1291.8441310291,1372.5672338151248,1475.0730422591598,1512.212292436805,1631.72424562314,1633.328535428225,1768.6470581682652,1863.28366983744,1980.6256478968999,2084.2533039730997
1,219.427379967801,261.564931805922,307.00378266510796,483.906029436182,545.17236828991,659.1037271624,760.8226154089521,845.713005382842,972.34424874171,1031.9737165043,1096.223216373542,1174.34894374454,1248.57961378206,1316.89905789889,1441.8855192507601,1509.5922607986,1546.80253383685,1661.23398314172,1699.91133982757,1809.90258541579,1915.8814680884,2004.09115535805,2133.21062352039
1.5,220.7378738022,263.450864316097,319.275074204822,496.631992499497,582.347088633982,680.481083454255,773.539028261138,869.913081932847,988.79106744199,1065.729438381653,1117.3798879830902,1220.939427361805,1282.8263825995,1378.8093873896798,1475.03661484769,1536.48374021742,1594.6921189733848,1671.195571386545,1763.31611431795,1847.39784695928,1928.0987374757,2016.117340490395,2140.7292388647497
2,221.005692599026,267.929121019588,336.23659038304004,505.24241738796,603.7288999342679,701.133709908624,782.4288051276401,890.6337734017441,995.848677741036,1071.1571039808,1140.454354305104,1234.52810374892,1309.01055691654,1406.663687793864,1487.83266470934,1554.47891711782,1633.42397614136,1688.0740332147202,1784.26979491656,1864.88777087714,1948.7124339434401,2030.17008145508,2156.7265574035
2.5,221.54356825797998,269.55352805943,374.66357911469504,510.065005447525,610.4759589137675,713.766350338835,798.4303374052149,903.1754517242,1002.39909455347,1077.837538957625,1156.222132372875,1240.988468137225,1321.3541258768298,1419.59118226597,1494.17092021965,1569.38117468355,1650.8713124869798,1729.370347053675,1794.6991002064249,1885.11226429125,1964.0181511465,2066.206538426775,2162.0810488841753
5,226.2079165171,286.45104491715,458.3639992731,550.36147664475,654.42282162785,758.53930513406,865.44838108831,968.53473596652,1065.7249551449,1117.83850480354,1225.67375252858,1293.84593389999,1381.25340883165,1470.5978668504,1553.81316941825,1619.97081028075,1687.7255545778,1780.9651710524502,1851.79620788685,1940.03397804665,2000.2511138267,2110.4513241035,2205.25799568875
10,229.57509757283,389.364881246,484.60391208208,611.93844445112,712.20015017592,823.611157702,930.23686483532,1030.75533808232,1124.8455628065801,1200.50255565802,1291.9596023418,1353.9886551301001,1439.6513891211,1545.4331502169,1611.5469339197,1674.0213715118,1763.5606297029,1853.12351469688,1899.0433057861999,1988.6043121368,2059.4614944325003,2144.6312836805,2223.7411344866
25,242.3471998297,448.479604632225,577.1597246361,711.89231679615,805.64258354835,924.0914457571,1032.13351560905,1137.9240952345,1233.6272758559999,1316.2333527273001,1393.92443350995,1483.21258583125,1577.5302638885,1658.9449086177,1729.27531812825,1803.4900482809999,1876.9896363130001,1958.4040830537501,2009.70655235075,2091.9628562622497,2157.5063315065,2218.49714796675,2326.4716389765
75,393.5526999391,620.7027891267,794.121766619975,942.765836018775,1059.51399983385,1169.19841155005,1292.6614901191,1393.2376731915501,1486.5733716867,1587.01411219095,1643.2608560321,1745.02942393275,1838.45855025725,1915.27328710535,1970.6502701895,2030.94368391625,2095.99689771125,2164.7746577915,2235.53755407925,2288.5308879692498,2324.91746858,2391.68196860425,2415.6235850274998
90,416.9117997389,692.3574997742,886.5124396663001,1036.03249344796,1165.94542879252,1273.02663093466,1404.65575572098,1520.0145946456,1597.62649555692,1701.4182808438,1773.4729537973,1850.9764266193,1955.09439565042,2013.5080021997,2074.78796159372,2121.3176737387,2193.260713154,2259.5202035802,2310.9417565869,2349.4716535165,2379.6724649417,2402.7324781103002,2421.5536232615
