,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46
0.5,11.747327246366,19.659600640709126,25.7824853314302,23.35983818116775,34.60753627439275,31.40028538050224,40.32596476925947,33.49034608336853,35.547448260269306,31.809197950495076,36.84515766585372,31.80599188397946,41.230920592875194,34.92032065962338,37.733600872003485,35.57478146034843,38.42983039226964,37.0616499812816,39.00480311829269,37.93381039923594,37.802211033177244,39.969032006952375,40.95325569446965
1,14.5816936523,21.7276757118195,30.512763449841135,29.844489754801874,42.7447034070247,38.80500798220875,43.8421508352319,40.06562062774374,39.56294479323768,38.91097456911135,41.82597606597196,39.1928955705065,44.28358626303732,39.106915113072084,39.51324622243364,40.60950685867463,40.57094928362426,39.297584173394334,41.63309951179127,39.82564464525413,40.87135917165978,41.9069877415551,41.5909826998065
1.5,15.091547786185,25.53995793938575,33.16569585186155,38.37131582749525,46.35962969020795,43.690241135913446,45.444004818160224,41.32120021058653,43.661926696857535,42.973640353914654,44.07688152923302,41.20123308381836,46.0723900272315,41.46148762709119,40.41526083529495,42.65779961125521,42.16346012645946,41.07317103437478,43.264970906613826,40.16462909882033,41.57296712770681,42.280506227469694,44.01408139253971
2,15.397202963912,28.860031743698,35.9223522426493,44.3678734893575,49.435507643006595,45.11008169467087,46.843931659937894,42.584642803834626,45.35959891400807,45.3513789100434,46.60708873904864,47.13630540800309,48.087948666901745,42.50825123143418,42.23825846020027,43.32312189843069,44.118215227503455,42.58782746059973,44.04147411574971,43.0963814438923,42.53581550215848,42.88857113313404,45.18150451532286
2.5,16.70293669798,30.057651698325625,42.713834376248336,46.58231910469219,50.996978897592,48.34605288436309,50.26840685146267,44.02383135373739,47.35020197529871,47.33805186584725,47.16422006079417,47.4672934689677,48.564217011675396,42.777494878057816,44.032036713278636,44.779111372284845,45.00814856705815,43.999454918067066,44.650150951520374,44.06906417890125,43.13061036938517,43.795755952066386,45.62783714348562
5,31.356097128495016,41.32388551114875,61.688887628769166,61.29384428726375,61.222318600620504,56.98690107047625,59.54604754582927,52.93287540595938,53.87007558642861,53.862227109935496,53.679956876945916,52.806204369168725,52.62848738108154,47.69721434027308,48.67762357129164,48.14732724454782,48.85495386552444,47.345534880392194,46.83271538233106,46.626327586325,45.77513025644111,46.53855060499657,48.11661433612997
10,46.540400416,64.001545148065,79.0664417571,74.158099393295,72.189408047049,68.97902879166834,69.23412915272283,63.000617702575,62.5668279439761,61.182397823479,59.69967322389457,58.79713180923872,59.17898568953958,53.17550232512533,54.319222031391305,52.51544899742005,52.53526319002266,51.56296783226365,50.66944465363791,50.9453889482385,49.4935529118983,49.54092439808935,49.08890581602477
25,87.2756000584,119.25943470641249,102.946083358496,100.24744514651874,91.5102735871525,86.63857299565205,85.8103102943,81.40387036257185,77.44658287201527,74.73626054437125,72.4348484417477,71.28695402765418,69.11780049428947,63.8722220710384,63.31873368138498,60.67108707200937,59.348521737508825,58.54803459356525,56.81407403859602,56.18853641027313,54.660186381863724,53.53033251745288,53.642850008545125
75,360.7212000041,221.19524986586876,181.15283318787473,163.66288804512226,144.77977258456502,131.57800728620177,124.9490773624305,118.2376666679955,109.79295495196925,105.5450468953575,99.07212267175565,93.70240158722605,91.2229314645635,85.53717692738753,83.30695191293,78.89661049893908,75.44226155930295,73.54288255799031,70.35459717055654,67.7984002005975,64.99627793997855,61.5283654021125,59.15454341132285
90,407.4393997119,299.14933989313255,214.28666176639643,185.9876820172417,169.299496342813,154.2323498969064,141.83569108077748,135.2350035457989,123.6514552847604,120.22357521728401,110.89630399994692,105.4966168966708,100.8504755342385,95.04292146396428,91.48090876837006,85.95248300196938,83.2357167429812,79.69597247575476,75.45296755873234,73.13197900035051,69.42400235379094,65.45552899441161,61.80882070034981
97.5,426.38419981702503,371.9495498783106,277.42468045631495,219.9907072381056,191.71601336575847,176.62322640553737,162.96020549611504,151.67830780691173,138.63132768655444,132.86643591047098,123.77342769633512,117.76711606785892,111.7105884785238,103.78292661545413,99.87554634667632,93.78655645994526,89.8346662717501,85.45501351746016,80.23743035226771,77.43762630446894,73.40145747604049,69.64760502850295,66.56936342772119
98,426.38419981821,376.388899897494,279.7936731787936,223.15472167144677,196.61183790951156,178.32121124810686,164.24932163203354,153.72776201548285,141.0867486655148,135.1491287091032,125.68981458669145,118.82588316197426,113.2749741075966,104.80428172176691,100.9873389975455,94.43601088749648,90.78881642701334,85.8928142520812,81.14877327865777,78.09966555655495,74.00966918902253,70.17481185220726,66.74007332883966
98.5,426.384199819,376.6857498758254,285.80794060912547,231.75248745135838,204.213267953754,180.5693143024531,166.7278720685301,157.87549377560606,145.672178335175,138.3481141847123,127.38445463615554,119.72206215902568,115.06111560181496,105.8401703228446,103.03213791996284,95.09737899904506,92.18860020124875,86.42951779163235,82.01877358987774,78.49982023324094,74.58336464804715,70.43697738385242,66.93758620321451
99,426.38419982001,381.1250998986845,287.06960831364364,237.84111748689224,209.42025721989478,186.63645588514132,171.12230183646955,162.6809611116968,149.4103494078268,139.89613046474514,129.20730691908574,121.36584851433932,116.97661955105639,108.15753616698318,104.57135412968873,96.01129551883322,93.05862399811912,87.38422162028637,82.53677215528667,79.43992508034991,74.83123672191033,70.96381663167288,67.07916602901935
99.5,426.384199822,381.16355690935774,300.42792500699045,245.59026317163767,224.00918221565988,198.95002296817515,176.96332348381668,170.471538031688,158.26406894658922,146.90053843912196,131.84289039041604,124.31499886349151,120.1613598611034,109.45804452131586,107.0214872222491,100.75353387073,94.55545887652251,89.20122484007058,84.56001320715689,80.82585966960937,75.6021730622466,71.83515821737421,67.27131543818987
Median,360.7211999881,162.53319994317502,143.806204524892,130.6740280005435,117.582905878415,109.749617045346,104.782462551943,100.50426291725,94.1333720548028,90.5430633276275,86.62035091923866,82.34430160619794,80.0801943572615,74.75392174156966,73.499805486215,70.29334482658595,67.69915644082644,66.1434444885611,63.680920568851306,62.3040924862175,60.4082676315357,58.75655266196365,57.0212474977022
