,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,116.11241086132755,123.23389445199074,125.98948732299517,131.14440102237188,132.98595772602417,134.30401054995963,136.07648838604842,136.18034465591634,136.8109493679174,137.55803482219923,137.78384903462228,138.6157594851765,139.06021446194003,139.66300796264315
1,119.64589648341143,126.05877577693518,129.03389871726353,131.94634204077357,133.90390222582664,134.96648910096965,136.40703856889562,136.38318654923413,137.21534027690763,137.78722444583676,138.1576245268758,138.6992149509487,139.2925200858851,139.78003223159692
1.5,122.59338535766877,128.10125458852846,130.609487161833,132.70254174794317,134.16953906848,135.52125561260414,136.67944079863685,136.59761287154817,137.64682689573223,138.09966569402533,138.36061668226984,138.84589257428436,139.44321613608355,139.86275043255156
2,124.10812182352838,128.88119615982546,131.44168155032344,133.09899006041405,134.97837761659866,135.9129382502057,136.98335068864623,136.73169706822242,137.72458219341874,138.20575774253626,138.5573200014795,138.9830727311241,139.5040633418455,139.91861853643732
2.5,125.05609904300398,129.42113444749077,131.96329579605697,133.52366637011013,135.28508532349784,136.07197759201725,137.11475168730425,137.07467644559193,137.900801780129,138.40835712950107,138.66598492807955,139.06617254184715,139.56544483405165,139.93293689797977
5,129.4647846521935,132.3575269413484,133.70143255378073,134.85244934232261,136.56458006446186,136.8953319792254,137.7576542524602,137.95595358649024,138.52709726216702,138.8248725519313,138.9959063527332,139.35892918362592,139.69762711774854,140.0381945519874
10,132.3448939259748,134.84902696000142,135.6592156251535,136.45580745917212,137.7493600911392,137.7637955420359,138.5524167732007,138.71082346266968,138.9940742778959,139.2304978623101,139.4332988528922,139.6997081111588,139.9193065385766,140.2226325642625
25,136.948785022425,138.03266520275125,138.48576538716225,138.554694929971,139.513847658875,139.39952923037126,139.78871922093873,139.751649091761,139.8157208327305,139.92261509666952,140.0949637124005,140.26623896155573,140.326076856522,140.52438389842425
75,145.71084152639924,144.0953585068925,143.2922504514815,142.88699112661502,142.61840755089776,142.187985594745,142.28718535053125,141.97544305493602,141.731594919143,141.5508970568505,141.4604993349065,141.2975241292175,141.17888894696074,141.00098258725075
90,148.8812257657694,146.2002639587877,145.0704208377174,144.3854724381239,143.6607036293239,143.2856447247928,143.21163813291793,142.7488189078826,142.4396507584042,142.15725686242288,141.9854111960385,141.8178197352027,141.5320162678921,141.19621338489569
97.5,151.1983228058818,148.2668414488375,146.4617415530342,145.60860099650293,145.02351003683984,144.34088872365564,144.1532072755755,143.63394349461925,143.27214585508682,142.890980028842,142.61572825876556,142.22134342606455,141.86331509423275,141.31916893574456
98,151.48447055431762,148.66151091639256,146.69769335598846,145.77186388971256,145.40767159453767,144.5195867740787,144.34830806597242,143.73096345932353,143.3567379639762,143.0072237613442,142.66062725828095,142.27493849131395,141.88694849444522,141.33274244737052
98.5,151.65854782497988,148.87994514982196,147.03296840780789,145.8637783287179,145.62467589556542,144.6585408266431,144.49961849020548,143.92236525376182,143.47729952152156,143.1201612811467,142.69511325533196,142.331479310978,141.9149700566465,141.34068759416496
99,152.18993325062766,149.17472583623993,147.4957311400261,146.10907089728624,145.77164242841337,144.89888061691414,144.78881920793603,144.01246029086815,143.53876009277124,143.18838330049275,142.81021097333502,142.40582894249252,141.960774286612,141.35385851350196
99.5,153.44517494929983,149.55596185959126,148.06622162851778,146.96001014130223,146.19520494557418,145.33563643982072,144.99168297649496,144.3476058379465,143.74944562556283,143.41641064522662,143.04864203406356,142.50339247440706,142.0263215512543,141.3656938567167
Median,141.884937034166,141.3703985456175,141.136201694292,141.02726341485902,141.131083853645,140.858903198994,140.97580945498498,140.9079220589565,140.795212675165,140.751223806605,140.80780294397,140.8141733971595,140.770717221578,140.7982435363675
Mean,140.933617854118,140.75685490243805,140.59404320041796,140.6318160871893,140.9081172329887,140.70982149328785,140.9290911560723,140.81283459611947,140.74234576063628,140.71463830698914,140.74893087668767,140.7673458803655,140.7440544851591,140.73950277611036
