,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,371.969717794185,526.1125754014625,627.6651705474885,754.866389470113,864.3275114966366,972.9795178530779,1032.479402660723,1140.084736534515,1236.7204449132405,1320.8383783204101,1421.288227659445,1516.56071875453,1605.171011492495,1708.75747666105
1,381.976737161132,544.421245217854,649.995249623685,777.268244314684,876.985499184341,987.368351290654,1064.602039221104,1178.55499434731,1253.99964869513,1346.83399718273,1443.33907432797,1523.91237707345,1623.61381700787,1721.3538969291599
1.5,384.8355901295865,548.7943668073165,661.069468842309,786.797868060246,888.23635696717,994.7210421503535,1076.797176182015,1185.6592222937866,1258.6597708282236,1355.159401003829,1446.05398480814,1529.9579275650701,1630.84076066468,1725.857865724665
2,392.932877911434,553.247559749874,666.530939932536,798.898204472306,895.065393807298,1005.00510331274,1090.100396775472,1193.5357624143198,1262.73198025818,1365.132836770658,1452.9315725669,1545.1538710197601,1637.08148652506,1730.4428235312998
2.5,403.289001593645,556.874059141945,672.0390506232575,804.195401342345,907.0560831539975,1010.0936391016501,1093.049063816725,1200.407467055775,1269.69801848256,1378.946871857785,1456.0283734403752,1555.465933216725,1639.3043998833002,1734.8591133531502
5,417.75705188622,579.446915441395,696.2886566941,820.68166487907,925.76344294352,1033.13929704562,1119.27392874782,1223.3030479317,1295.45363151855,1402.2214217517,1484.48770812083,1579.68280184295,1653.9819775611502,1744.6121834221
10,445.07926632859,600.2001099558901,727.42317965524,848.22883422854,949.50533575771,1059.6897202303198,1145.07643268444,1250.4894769737,1331.7817485246,1426.1477740537998,1507.02600433378,1598.0905780267,1672.3690339198001,1760.0207055695
25,484.9384852436,638.91648451595,771.526233284775,889.37627548095,994.8490237358251,1105.10027524425,1195.7967681908501,1290.07047380845,1379.153952947275,1466.5409485321,1545.2458508701,1627.8726270196,1703.5194224416,1781.9300347786
75,562.3427879529,725.569415904,865.966490964475,989.229592471725,1101.71613259795,1204.2952088015,1300.774978422,1382.96918232885,1471.905286681925,1552.1667345025498,1621.22821270245,1692.0167741713499,1755.3839959441,1810.5567392446
90,594.76750441841,762.9516069842499,902.89663226806,1033.57181406264,1137.24155706437,1249.53325277707,1339.8880096372,1423.909964821,1505.90300407174,1584.7041008283402,1648.7488064337,1715.5255722532,1771.4347433021,1816.6598783033
97.5,629.6550506734675,799.7034475600274,949.002629609795,1072.8491540716,1182.271307636,1286.41529358345,1380.391215224625,1464.8672043941099,1541.09551865725,1616.8231129879998,1677.67797938481,1733.874168337,1784.797236404925,1821.3081086008501
98,632.285356152166,808.110196278984,954.2109141165499,1078.297388600046,1187.053862958946,1296.080200573698,1392.732269646888,1474.6631240314318,1546.224220938088,1618.59084175258,1678.4965445562998,1734.60749661502,1785.29248159774,1821.98359133948
98.5,638.4737637213365,820.006677433032,959.9428124870095,1082.293044146501,1192.117058706795,1303.9701222710373,1401.239326375735,1479.0153509560714,1553.17322962107,1625.6552263589351,1680.0634111137701,1738.14393545917,1788.713815093355,1822.4003374771648
99,656.504742057347,827.7891116476491,976.793616467659,1106.026678943289,1201.66617127054,1316.5878097635812,1411.925045279961,1483.62522568484,1563.0420655996859,1628.46497623286,1685.78589435948,1740.74660634415,1789.68643826248,1822.97617458832
99.5,666.667687861154,833.0444345714149,995.0699689396699,1124.103347479263,1219.4666587260326,1324.18633437586,1432.928765133773,1492.257425930555,1576.62879371198,1631.390720239763,1695.01202440761,1746.769548715185,1793.269209654455,1823.66185096563
Median,523.21624131355,684.4304235186501,820.74961559545,943.52103908275,1050.0104981229501,1157.4623317469,1249.1328848824,1337.4914441229,1426.8281091715999,1509.5599567858999,1584.9343097406,1663.4845280966001,1732.9020160336,1798.1326565561
Mean,522.0857212507136,682.621929437886,817.9731865840454,940.4879001452625,1047.4842926541462,1154.3526932420489,1245.6966771020357,1336.9653429000532,1422.6333246478387,1506.7090060014434,1580.4206119017485,1658.0064282861022,1726.8701012165475,1792.872797342327
