,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,34.229293286565444,31.20696799374178,29.48205076774484,29.376904412613673,28.433309859955994,25.83239076169687,26.181995909791677,24.718743035086643,24.375730241342904,24.76918433462577,23.019280940654827,24.032636838912673,23.550804377023795,23.972359663672123
1,37.05529760522042,32.44125187817815,31.952268742870974,30.699043030372113,29.37244672300853,27.387182810181383,27.444520877683814,25.543057517781545,25.456793817428267,25.18251876491302,23.776616320218654,24.46535141930643,23.849141512549455,24.2121316695605
1.5,39.67450837558395,34.37440751608591,32.855046133209086,31.458616669029414,30.34279384053035,27.716572336934227,28.03939460272214,26.310714508744507,25.968799436507258,25.528328708773884,24.372246200506456,24.70172391573417,24.489094210905304,24.47082778702436
2,41.713391770761035,34.90834629841896,33.570975261351194,31.859451821624575,30.766141609171488,28.358408955066682,28.68257478303157,26.46629637173173,26.199422994038425,25.72631796529535,24.579803056087762,25.00142153541028,24.70529668814267,24.597187551927895
2.5,42.654483957027345,35.9324471465745,34.22632974982617,32.22587969915996,31.133586505708006,28.865777722624916,29.071839267486904,26.799371272052614,26.708521987430807,25.967399911481788,25.08348111454179,25.113901554996804,24.8065393456049,24.65773195955003
5,48.229218327091495,39.83040010667517,37.29413245046,34.491308387633424,32.55904640029444,30.739119132562024,30.06857511068414,28.520026104057486,27.72482507764924,27.043593195039065,25.970794004746015,25.66860924009729,25.19507744055724,24.876482167568014
10,52.46882301632,44.06797770731123,40.2160209835151,37.27480940961744,34.63337136073057,32.83253860850956,31.525843432608372,30.12137437018486,29.19907671265102,28.16977711337059,27.09848590789625,26.45232823273354,25.77447482634178,25.40373961569902
25,62.59103762957435,50.738916425826105,45.551254326221425,41.576706541978,38.25881945389632,36.285420271493024,34.27999871328165,32.434602510242,31.2715608216486,29.755068544737398,28.66738602061275,27.740754668826675,26.78224623173195,26.06988788028385
75,83.5934389498217,66.27785076679822,57.68841713883043,51.79681929372207,47.2423165653515,43.19449131526995,40.51880559292725,37.745951859099726,35.697021435877296,33.81236847547875,32.02969322716365,30.384513845574,28.733913932071353,27.14534318271305
90,92.55969116265916,72.89890139258083,63.3043017219586,56.28155945296287,50.911987519799126,46.52611946163759,43.633081886704396,39.97588856439224,37.703704944813175,35.43104363426988,33.298295733779945,31.44856507125446,29.542811988593982,27.79015913802056
97.5,102.15104072847762,82.39216881599417,69.67261070049244,60.56519162703228,54.72681716871378,50.098221294317696,46.139459356733425,42.53345425568402,39.79518791937896,37.283805945005994,34.720744091289625,32.5753138976552,30.363932275295184,28.4211317713025
98,104.10416858924107,83.35540239380279,70.4570716292936,61.3623758087647,55.286981356145255,50.38202681573831,46.55027802293645,43.04230735550416,40.09029426132284,37.38838433956372,34.84081122728065,32.72767957877692,30.497880808196463,28.49371530146312
98.5,106.16092223413948,84.50604999678829,71.52523113336616,61.977810226844404,55.619572856495964,51.344865989927385,47.426921597655365,43.50796897578367,40.25297353507274,37.65318808294576,35.06125807576444,32.85377816490079,30.705217360224044,28.606644990539248
99,108.82305569355903,85.12294659039567,72.06542460741223,62.50045873238615,56.70770484676389,52.11413256197504,47.96992683273109,43.8287923033698,40.55872322449069,38.31713804104445,35.47129464498014,32.95782411594407,30.917840710632607,28.79630449992047
99.5,113.19758962691384,86.50404162003242,73.35678170320926,63.9444786032817,58.837331666154554,53.07950208800637,49.42959988478837,45.333980801388556,41.37306203783229,39.35563323847552,36.03755068714866,33.256479911287286,31.40861661106138,28.846003138275076
Median,73.1804014906389,58.64281814084,51.1725140289495,47.02342695534455,42.5882645588293,39.6674586142001,37.543416542424396,35.17458446369535,33.5700152911986,31.63154206287895,30.38627702742815,29.168042165456498,27.8407516751603,26.6034921744808
Mean,72.95473403473964,58.49141346513895,51.61638258525687,46.77607487617284,42.72565792271145,39.734577867955274,37.485056260679585,35.1015450856189,33.481891085179214,31.737651367189894,30.249699621063183,29.014385011494102,27.725512579382674,26.592473180158592
