,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550
Low,1235.203340325,1598.3487295,1909.600732975,2259.382846825,2517.4526828499997,2887.2520923,3124.0125248,3429.68983605,3610.640650675,3904.598331075,4107.866932825001,4273.153990175,4576.72135105,4785.064338825,4969.584524925,5233.321887499999,5379.5673262,5593.863140949999,5797.762659524999,5961.160409375,6111.947083225,6355.1128872,6473.5889832249995,6649.691645975,6896.9141758000005,7011.28272665,7203.175312425,7377.148703749999,7506.352705124999,7609.22485315,7801.855218525,7960.435895125,8115.26856245,8297.026251725,8387.7967548,8604.160978524998,8743.86838015,8874.97782025,8972.590255225,9156.029876049999,9259.654292449999,9402.363130475,9560.787367925,9725.499727675,9912.4622922,9917.63366505,10109.147304425,10245.7960678,10424.48019065,10578.766981825001,10528.43254105,10816.1419192,10917.789668599999,11035.849783275,11211.707217075,11285.922192675,11405.8395706,11536.8987693,11712.397671175,11775.6767055,11909.59495605,12138.125464575,12211.258282975,12227.741488825,12487.15026525,12458.726588125,12762.436075875,12841.1212423,12945.170535750001,13034.661342899999,13118.794772475,13292.400459225,13485.602074675,13579.87415545,13670.969196275,13804.833534025001,13978.171015925,14060.032194700001,14214.10302085,14324.902787325002,14438.3307209,14549.814608375,14650.1325184,14787.2159869,14949.284008725,15018.248907575,15077.8221219,15226.673999525,15330.742207825,15577.691757475,15667.415015825,15735.22605695,15864.624885025001,15905.23432775,16059.499088475,16163.771997775,16315.0954786,16472.252206049998,16608.010301725,16737.031021849998,16870.259759325,16957.280357725,17110.5078026,17248.597384525,17328.167145649997,17508.728116225,17622.383816675,17714.126308975,17991.949779299997
High,2127.0093900749994,2589.7633760749995,3109.04259155,3531.838614975,3866.1888094749997,4259.16817685,4588.2565857,4947.218035700001,5179.392386625,5519.2188920749995,5793.889467225,6055.083830025,6230.25129735,6481.016593774999,6740.9988701249995,6945.456151,7128.25224575,7292.718647275,7575.005841125,7820.4026923,7960.644268499999,8136.012045199999,8370.102671375,8488.006762325,8739.084489575,8920.765077324999,9081.284453224998,9196.09884925,9335.543711175,9576.857281274999,9748.882649250001,9822.47119045,10098.9583821,10216.951049425,10336.447062775,10461.803440450001,10650.80298355,10768.423538725001,10896.7405849,11072.560357375,11209.7612379,11336.634171325,11552.345931549999,11716.923945825,11762.8714862,11937.1885296,12022.0885262,12177.30347535,12250.976484675,12422.7228169,12472.133170175,12687.08581205,12845.658101025,12894.86932635,13070.583119475,13174.32353125,13296.286733924999,13525.309564325,13568.327021175,13683.052819225,13778.611555575,13889.303979675,13989.794605950001,14113.787807224999,14215.055482824999,14333.21415655,14462.505957025,14573.90865325,14628.102879975,14790.942844099998,14899.335962025001,15028.779040899999,15101.3700109,15208.24007885,15315.6042366,15379.88862855,15503.8419896,15606.259431,15695.204086475,15831.7146135,15938.6751688,16030.12514265,16141.477439575001,16225.987812349998,16306.6216837,16396.56215315,16498.329524125,16584.496246000002,16667.987732125002,16804.01945385,16887.995175725,16925.103259699998,17062.519172525,17143.3469391,17239.40940685,17300.220160024997,17381.028726575,17485.760968875,17536.072970999998,17647.00180125,17729.349394525,17822.588807975,17878.493713599997,17953.153992875,18022.148168975,18098.2399693,18167.3864348,18219.085029725,18272.487724975
Mean,1621.00080651,2057.4871537930003,2467.328911731,2841.516067868,3180.0838915550003,3514.216451135,3807.0294463759997,4111.595767066,4368.238701145,4651.097926866,4869.678043469001,5138.189845596001,5372.0493418490005,5596.378027746,5830.066769021999,6035.687449871,6234.255459188001,6419.908437018,6630.600800259,6866.302364796,7036.966101798,7230.184995494,7397.976219161,7549.280571045,7754.027853369,7895.134939769,8115.9481297190005,8290.798446641998,8409.074400265,8595.243760228,8758.700075049,8903.377751623,9088.826420819,9228.698159038,9392.093553241999,9547.113708445,9708.053751139,9832.057668172001,9977.521352498,10131.685272755001,10237.897633653,10400.217554641002,10555.570202032002,10696.792882475,10840.540758791,10945.79506095,11102.613935667001,11242.627153383,11379.816972298999,11530.231268243999,11612.211463598,11780.103332817,11921.942646411,11997.068846586999,12189.260230436,12286.869671527,12420.031467576,12540.982073394998,12675.982021294,12792.806641496,12911.621607365,13077.535782456,13144.735408270999,13263.076064634999,13390.967598136998,13506.676435015,13651.962372443,13779.102317968,13878.531833486,14014.125509253,14101.844320444001,14233.467347077,14336.291408260999,14459.396606083003,14560.876336844001,14661.13613902,14810.856623664,14904.990839062002,15018.138511149,15137.305724094,15245.153711645,15362.504946715999,15474.414207191,15609.644724047,15702.014288413,15787.518810267,15904.495045692001,16016.223102078,16128.789180576001,16256.207897805001,16343.017835822,16445.132768895,16560.266409552,16652.053650783,16744.021728556,16868.042225696998,16975.522752811998,17092.334215521998,17174.040913755,17287.062661033,17398.953659093997,17494.072318159,17593.535950281002,17702.654224219,17802.451403605,17902.581615124003,18005.127095999003,18094.162736033,18208.956537995
