,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550
0.5,1173.7362110000001,1485.988597725,1778.2603956149999,2130.954642655,2346.2989127349997,2733.2147665499997,3000.8964530099997,3213.146246745,3434.508252615,3686.78422747,3894.792442895,4052.78678304,4349.193561805,4512.720210455,4792.203779045,4979.42186144,5139.72307738,5367.657191235,5529.0800991,5800.62315572,5926.24359141,6045.92029997,6203.948384695,6505.881982665001,6544.613240934999,6787.628371925,6981.197863055,7182.575840345,7180.813760725,7300.88028913,7512.865925669999,7678.686409785,7872.98326557,8085.912616459999,8162.74486289,8353.30463259,8554.986778525,8629.856794055,8729.966793025,8979.12318607,8898.286361344999,9297.0824075,9252.12071958,9543.70615396,9586.004571995,9711.50426813,9872.21539713,10020.15020953,10008.571097665,10295.581872395001,10243.783708695,10547.3969856,10562.160741669999,10744.253989365,10917.143549155,11056.22766044,11135.601736069999,11247.81888117,11433.794759665,11354.079282305,11697.53288036,11842.622702895,11940.85719991,11966.223057359999,12301.068081745001,12166.81068203,12396.56979349,12607.509335170002,12613.864801185,12780.63343039,12762.331311779999,13044.608014905,13242.56940762,13304.753652285,13367.89351444,13506.436773885,13627.800939105,13665.551157325,13964.435700940001,14002.41757659,14175.71055953,14315.724829974999,14354.570647359998,14375.899615755001,14783.594359050001,14735.24231738,14810.20680824,15043.546060955,15118.18883377,15256.42793987,15536.65037485,15522.29274811,15655.3070586,15671.3264359,15764.918814850002,15989.767437405,16033.8054999,16258.353515315,16334.150983215,16535.576212575,16721.641987565,16699.013967585,16907.4617299,17063.979545425,17147.66309817,17362.277269385002,17538.368761565,17595.51179021,17832.804670585
1,1196.5922751399999,1525.529167,1822.50263594,2184.62613543,2372.3733038,2813.54050768,3033.08106694,3316.68102714,3490.84454692,3781.27485307,3981.47831404,4140.0040768,4393.36329518,4669.46622981,4853.98477322,5115.5820065299995,5212.56892514,5491.04647252,5607.08793134,5893.62486146,5965.14490763,6143.99418559,6259.34563563,6567.509809499999,6651.07769905,6856.6855210700005,7048.995019800001,7240.09755088,7302.71845219,7364.46427624,7649.77214933,7739.65120917,8006.55351344,8174.96235855,8234.15040209,8515.049381589999,8604.50432285,8736.79656803,8831.411808690002,9027.6689135,9048.12638003,9351.53733019,9349.92720776,9616.10106037,9774.73795241,9780.1817632,9971.33891114,10109.51461195,10150.83366784,10457.91491625,10414.92409148,10629.67101876,10780.18977479,10811.71153794,11012.809448799999,11153.49735468,11236.621428960001,11286.67171273,11535.951450220002,11566.851567130001,11769.42160487,11952.34411258,11975.02513112,12104.542529350001,12383.523248,12305.71462281,12501.58189463,12692.5902289,12779.51032715,12914.1739515,12965.659663800001,13159.07460119,13373.220994739999,13430.76326564,13479.21044601,13591.58411987,13805.211986,13869.83479676,14020.58329076,14103.32766563,14269.91234533,14374.503688269999,14505.988188309999,14618.835421669999,14835.6706698,14869.83524116,14950.01809258,15136.36629509,15186.12784487,15389.2051421,15585.16317189,15601.9339453,15707.65425607,15756.49823628,15905.01713142,16042.22101447,16214.98811657,16341.078993699999,16458.9758971,16608.25383527,16767.179814,16768.417822479998,17008.183266040003,17139.69169851,17229.21250196,17433.57783382,17565.58432395,17672.693195980002,17856.13172894
1.5,1215.4283003150001,1544.21461408,1848.545889965,2220.4095116999997,2455.54114913,2851.836731485,3065.9719299099997,3360.561798405,3555.8243857350003,3828.08028127,4015.336869875,4187.34515707,4506.344969775,4714.945036135,4919.457166624999,5139.51395305,5279.86199271,5541.11472375,5741.54008917,5940.651984475,5995.8071895250005,6219.457683055,6339.045800530001,6600.014299134999,6741.98022249,6929.767047015,7106.072386215,7316.982909455,7383.746058555,7503.091869185,7725.242515605,7826.268825540001,8041.4384844999995,8232.2188207,8324.12426305,8540.933709429999,8641.588835139999,8828.598340035001,8871.519888750001,9096.851880895,9093.866061005,9369.491747754999,9465.968743895,9694.708531805,9836.678161705,9824.926850095,10017.354160744999,10179.26882666,10291.458765084999,10509.68913562,10462.460277165,10675.137410965,10829.5544355,10889.057658495001,11095.978122035,11183.995991295,11275.926361304999,11422.321401185001,11588.416765925002,11632.155594060001,11842.769010105,11996.785102939999,12056.976132394999,12123.23472397,12427.448261894999,12385.430092665001,12646.38159907,12778.394152575,12869.912954015,12977.25000098,13040.78282028,13216.681896425001,13404.213606395,13511.27999396,13552.661240535,13661.60755696,13854.49425921,13954.328025195,14103.90177279,14232.535551944999,14338.073154985,14462.621601865001,14579.598246669999,14695.6513557,14868.306846345,14960.31179587,15007.040095085,15159.65589337,15260.82445162,15506.544116705001,15627.18345586,15652.722377144999,15759.277209785,15812.586972045001,15943.219244925,16083.776653769999,16262.312985175,16391.283964194998,16485.400474420003,16675.657495345,16813.424368165,16883.758654485,17065.63112572,17192.21188179,17271.05275685,17496.505786794998,17579.264787065,17684.99045851,17948.22095769
2,1225.3260573999999,1580.51059146,1879.90446748,2235.12267986,2481.7322688,2862.75587722,3092.5659423399998,3395.85064768,3586.6311978800004,3853.42485628,4059.5027239200003,4250.3792543,4543.24170602,4753.66778916,4937.5031861,5179.79422886,5335.32664794,5570.15887962,5778.56691348,5951.16193772,6051.3850789,6319.53590754,6403.635747220001,6623.4011297,6811.14984828,6964.242196679999,7165.09268198,7347.78674804,7444.4162058599995,7568.03548976,7763.229578140001,7909.096343200001,8080.38475258,8262.994128,8354.00285426,8579.76976064,8682.8903395,8846.8196745,8924.591461940001,9134.16110832,9220.97175002,9380.960079980001,9531.7535657,9713.48072528,9881.5027996,9882.55534068,10055.39881272,10216.570198579999,10367.86836478,10551.49112022,10516.373758,10771.20079402,10874.92395966,11006.03778432,11171.6353237,11241.91761512,11345.477875659999,11458.66412608,11664.5308859,11703.8345364,11865.88825364,12072.32912058,12115.584287880001,12204.31055806,12454.88290674,12422.34409934,12748.910341019999,12804.93346644,12927.70578954,13000.12648052,13089.30491422,13253.89385406,13449.63222036,13548.219610400001,13607.13992496,13769.37611854,13932.40938136,14016.82224806,14187.22212768,14256.79446042,14398.03664168,14513.15298968,14620.88901054,14704.67895254,14918.00085196,15000.967482220001,15043.22336292,15211.541792779999,15284.80733012,15542.909411300001,15655.797285319999,15681.49020444,15833.07260128,15872.58212026,16021.05937322,16139.20105974,16277.30172826,16456.72561472,16570.6544707,16702.30218224,16848.70206726,16912.76257944,17098.43619632,17216.33132464,17306.98124942,17501.641193120002,17600.7712307,17695.36107302,17977.14315032
2.5,1235.203340325,1598.3487295,1909.600732975,2259.382846825,2517.4526828499997,2887.2520923,3124.0125248,3429.68983605,3610.640650675,3904.598331075,4107.866932825001,4273.153990175,4576.72135105,4785.064338825,4969.584524925,5233.321887499999,5379.5673262,5593.863140949999,5797.762659524999,5961.160409375,6111.947083225,6355.1128872,6473.5889832249995,6649.691645975,6896.9141758000005,7011.28272665,7203.175312425,7377.148703749999,7506.352705124999,7609.22485315,7801.855218525,7960.435895125,8115.26856245,8297.026251725,8387.7967548,8604.160978524998,8743.86838015,8874.97782025,8972.590255225,9156.029876049999,9259.654292449999,9402.363130475,9560.787367925,9725.499727675,9912.4622922,9917.63366505,10109.147304425,10245.7960678,10424.48019065,10578.766981825001,10528.43254105,10816.1419192,10917.789668599999,11035.849783275,11211.707217075,11285.922192675,11405.8395706,11536.8987693,11712.397671175,11775.6767055,11909.59495605,12138.125464575,12211.258282975,12227.741488825,12487.15026525,12458.726588125,12762.436075875,12841.1212423,12945.170535750001,13034.661342899999,13118.794772475,13292.400459225,13485.602074675,13579.87415545,13670.969196275,13804.833534025001,13978.171015925,14060.032194700001,14214.10302085,14324.902787325002,14438.3307209,14549.814608375,14650.1325184,14787.2159869,14949.284008725,15018.248907575,15077.8221219,15226.673999525,15330.742207825,15577.691757475,15667.415015825,15735.22605695,15864.624885025001,15905.23432775,16059.499088475,16163.771997775,16315.0954786,16472.252206049998,16608.010301725,16737.031021849998,16870.259759325,16957.280357725,17110.5078026,17248.597384525,17328.167145649997,17508.728116225,17622.383816675,17714.126308975,17991.949779299997
5,1275.4901195,1648.6525878,2011.9201857,2319.49727715,2613.9086767000003,2982.9009897,3197.6323205999997,3492.3308215499997,3699.1946954500004,3980.435563,4208.657925650001,4422.9205703,4689.0025292499995,4932.4020230999995,5102.6806099000005,5342.4304612,5518.6390138,5701.08685975,5879.346922600001,6125.65304365,6288.6676701999995,6468.0374919000005,6645.90935845,6798.16857895,6985.92608145,7137.9543776,7309.80458805,7467.5263374999995,7628.8088941999995,7758.9471738,7972.86969375,8106.878036599999,8244.269061500001,8467.846349349998,8523.1585784,8725.990589699999,8910.7550683,9024.2383793,9105.8850983,9300.72804145,9410.4265805,9523.287601850001,9724.15458835,9878.8593949,10077.908052,10079.10963175,10224.040027449999,10407.0799785,10570.5393726,10720.80158925,10748.008782949999,10973.2831188,11089.49098425,11199.0054647,11389.330239750001,11432.8509753,11554.3071686,11724.651419200001,11890.11375805,11979.86549925,12093.85149705,12313.03094755,12320.9622395,12448.1523331,12611.308283850001,12650.0402973,12880.020070100001,12996.24356685,13114.456259800001,13285.7890675,13269.46624105,13454.18826325,13630.240168850001,13722.876626950001,13877.26112235,13931.334215800001,14079.4581287,14167.83579955,14347.36169515,14418.234279499999,14598.466274800001,14692.9069591,14812.706360600001,14964.1950385,15071.20732655,15180.06973265,15252.0217931,15399.99523785,15496.1862371,15682.957174250001,15792.13474145,15887.62170725,15972.26093,16083.986222,16191.8256084,16303.9495088,16485.404822800003,16579.60231385,16701.2212949,16814.1432631,16975.888558950002,17047.27549695,17204.03008895,17309.707505050003,17431.369834200003,17567.83848885,17711.2606278,17805.9623876,18106.0148446
10,1339.1309667,1750.7469143,2097.0235173,2437.1689582999998,2739.5551754999997,3073.8218596,3324.3269928,3592.7537139,3819.8188277,4128.9682866,4321.5461629,4588.7849292,4827.4547358,5058.6311329,5270.173369900001,5470.533379099999,5660.6000748999995,5853.9080238,6047.744294900001,6291.7815559,6438.5494723,6631.757163300001,6794.3262452,6943.7010295,7146.9944608,7276.6588762,7460.8845792,7663.7928021,7775.944732999999,7937.3362137,8114.9212393,8251.6319043,8425.5516953,8602.5282113,8731.2327171,8893.3632082,9067.7337925,9194.1943401,9328.0233007,9458.313461,9595.6785254,9731.825529400001,9916.1802003,10034.7537334,10216.3207076,10282.801240600002,10443.080649200001,10585.5678504,10747.8244519,10897.271869,10975.1684317,11121.914139299999,11317.7445928,11362.863092399999,11561.528484100001,11627.3933737,11785.850022800001,11912.6579061,12072.042593499998,12176.8761522,12297.0332366,12467.3957706,12538.7794826,12624.091559100001,12797.601455600001,12914.4943054,13058.8830765,13196.3025095,13304.4944067,13435.3888584,13477.4524964,13676.6541198,13781.637817199999,13895.6605545,14011.5315164,14129.0329569,14240.8028027,14355.1641306,14505.454586200001,14570.0659627,14735.399051600001,14831.457231,14937.4336684,15142.8464172,15225.9089936,15310.5582503,15416.3063621,15556.628995800002,15669.058947200001,15807.8124943,15907.9047357,16030.1674389,16115.933177500001,16223.5486687,16340.7404536,16459.274962,16603.0464353,16712.7385373,16822.762174299998,16949.7619891,17072.2281115,17178.385769300003,17317.1807801,17423.013940800003,17554.2784014,17678.6234212,17838.4689743,17960.1104227,18150.4450343
25,1451.2487072499998,1883.3131275,2246.68039275,2606.5625915,2935.82007025,3256.9684435,3541.7639205,3823.153647,4112.67629975,4361.9508925,4570.72938325,4815.5543495,5090.2843425,5288.42304375,5505.4132375,5705.779398,5918.595097750001,6113.50526625,6296.01266575,6523.8309444999995,6711.4835545,6890.1071895000005,7067.0336475,7192.709381,7401.43323775,7544.0755995,7770.161696,7953.690209,8056.848546499999,8235.8683065,8422.25764375,8558.315919499999,8733.631616749999,8895.92752675,9051.85051525,9228.489063500001,9368.659521,9494.076539,9657.270867,9767.452809,9885.331318749999,10070.65808225,10221.4276845,10349.459994249999,10499.66655925,10571.5371745,10778.4299965,10932.72245625,11059.557887,11205.682351750002,11297.09836775,11444.726648,11612.132703250001,11689.76625025,11854.791492,11984.385773,12103.25409875,12217.83661525,12378.15132325,12469.5453915,12624.116692,12797.57097375,12871.186917250001,12959.971104,13101.26230775,13229.21354575,13361.3218825,13497.745412,13582.454116500001,13734.5101455,13812.0778835,13939.22915975,14053.82491225,14203.28097225,14303.66759625,14401.02362525,14547.108026,14656.443655250001,14746.05090075,14863.83944075,14979.3787345,15093.8417615,15246.040017250001,15384.739212249999,15499.91108675,15555.4164285,15693.466401,15801.326486,15921.9561895,16037.476670749998,16123.46079925,16268.042074,16367.0368915,16473.746271,16556.41369175,16704.76659875,16817.742104999998,16939.4438735,17020.66534275,17148.03005325,17273.73635925,17384.5904305,17481.1095435,17617.922751,17740.78081375,17848.42337325,17965.53785,18066.670484500002,18192.393395500003
75,1754.33422625,2227.32103825,2659.2389605,3056.99282725,3416.57847475,3745.978482,4068.64275875,4382.56984175,4628.5614035,4932.715286250001,5149.65644375,5437.97197625,5640.311932250001,5879.830154,6145.456852249999,6336.61870725,6546.64021175,6711.07572025,6952.8483405,7175.198503,7345.1086185,7551.782616,7737.80025975,7880.75741675,8071.23054125,8236.715960000001,8446.1441635,8612.037627,8738.81436625,8947.55974325,9098.53488575,9261.38264975,9433.823731749999,9575.401359,9729.27483475,9882.5401365,10039.5564675,10179.199833249999,10303.256009749999,10479.437710499999,10577.686750500001,10762.171073,10885.65238175,11042.222177,11159.5436885,11298.20688475,11428.67059575,11580.055487,11729.233197500002,11842.6543705,11947.8271705,12133.45191225,12247.21443125,12313.6392275,12533.45090625,12609.9332885,12763.49253925,12889.871783999999,12992.9887175,13136.533706,13227.678361999999,13380.36375425,13454.58714575,13617.122916249999,13710.857747,13828.87040975,13974.952723,14071.1994975,14191.89432775,14305.40758225,14432.71568975,14530.2604815,14637.58599225,14767.50195025,14861.530094,14956.893576499999,15116.7199015,15184.366452,15315.7100675,15431.355645,15528.6372025,15649.422102,15737.50626975,15888.6431655,15955.0146665,16059.19377325,16166.207193999999,16276.122733749999,16381.710460749999,16499.78243825,16582.0193855,16665.2240895,16791.379224,16879.72267775,16968.569679250002,17086.015025,17178.15227625,17283.99097,17360.80546225,17464.90119275,17564.284944,17648.66791175,17738.781303750002,17834.38764125,17916.36654425,18005.87485475,18088.74892325,18168.609003,18248.888571
90,1928.3687812,2389.7047725,2876.2226323,3283.4058407,3630.6200907,3983.9915458,4299.178318599999,4651.9343883,4918.090395,5203.5648327,5422.8742698999995,5710.683002000001,5933.582891,6191.5104200000005,6445.5281565000005,6640.9855169,6837.406516399999,6978.8296456,7243.4127133,7475.005662400001,7659.7470642,7844.2715924,8000.164641400001,8179.8770138,8421.5330822,8546.1483098,8745.4847604,8930.2350536,9039.674147500002,9247.7625296,9420.882954600002,9546.0797043,9744.6878683,9855.7538351,10041.9132636,10180.8639327,10353.178435400001,10440.5562701,10625.8280994,10764.765611,10901.6317779,11037.5863264,11211.9271064,11365.8642925,11462.7375057,11611.2011899,11757.226084,11855.7864064,12001.2179699,12135.462234,12240.7419405,12395.0773972,12533.8026618,12618.6997841,12833.964091099999,12888.5144002,13036.3303383,13161.6180747,13272.694024499999,13387.8229926,13480.0192217,13611.1310197,13694.0527995,13889.557155,13978.1869347,14064.9934204,14179.727418499999,14301.6747715,14466.2480677,14568.682819,14671.449221800001,14798.3141833,14871.8793505,14975.6009898,15087.2816217,15158.2074061,15311.1246016,15412.9026938,15503.2001523,15654.6121816,15723.9675422,15836.9278415,15929.1102339,16072.936421600001,16135.3983837,16199.7377053,16332.623248900001,16438.045097399998,16530.9411077,16661.9404509,16739.4504529,16805.3667545,16916.2571379,17009.1026977,17095.839488600002,17208.085526,17292.620852199998,17397.1421818,17454.9118719,17552.9063833,17642.4753362,17728.7586754,17819.6796755,17903.049544700003,17977.7997297,18053.464917,18129.589185,18196.5475996,18261.837562200002
