,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620,mpd625,mpd630,mpd635,mpd640,mpd645,mpd650,mpd655,mpd660
Low,220.65079314833292,230.61376851381002,245.7547511071052,244.775440520333,253.2891242659768,259.53307167588224,262.0997899023397,263.45275792899025,265.94224895661233,266.4325905307074,273.71567881992894,279.622555539736,276.0469125418841,277.73797831041435,280.1678905668192,278.14686932042036,279.93104304526884,280.4767889686113,283.6928443443987,283.34054112135556,286.5082999352082,287.839942404958,287.68959329768956,288.02019490652225,291.36084790158355,286.45570467723553,289.9545406584404,292.847667863391,291.1764374570363,292.65255230450356,291.49681876226623,293.68682137290847,294.16512896542497,293.4909099570833,296.0434135410115,295.1921439939602,294.553574943926,294.0772894072878,297.6826672482887,296.14881193293354,297.8925241586664,295.4541012341969,297.7537523219669,300.0251168434764,298.320562323809,298.835485225757,299.1187984181239,298.7111687761194,301.2664840945345,301.2944128670043,301.9059974167094,301.4741819574115,301.81213783176435,301.42680428787565,302.2175222916191,301.1093778176541,302.4351590757787,302.18921356236604,301.94125979327924,303.293370374521,302.7559257381897,303.0873823033467,303.22495271066157,304.6771895175251,304.31747208453464,305.526534744845,305.49960781986704,306.2256194147141,305.9284568781505,305.7996867361765,306.8129008289829,306.69171176758465,307.25971954722553,306.4956444953852,307.3073640476845,306.24565377253214,308.12773477157646,307.4699477419051,308.25629925674303,309.32889480710935,309.85469632491464,308.2847793968105,309.1480996550898,308.734114665441,308.68641200868075,309.3693703130824,309.7643465946132,309.5317031142616,310.5147618258943,310.20727883016525,310.8347899707735,310.76100931641747,310.76935376752675,311.19297200965326,310.3833502249641,311.618644496917,311.8563361811265,311.7666377088738,311.77577010528523,311.46696714956187,312.6679078494802,313.62920531056324,312.74649295289254,313.4476869474732,313.1565538872308,313.4741304554131,313.9890115802596,313.7199113016179,314.2776677837448,314.1596658776375,314.55041488362116,315.3497923180283,314.60715096726017,315.2146983564816,315.22813317397816,315.73756982780907,315.7355086581105,316.15520345651777,316.28804489947413,316.1365104221931,316.72592582549544,317.02552161206154,317.451369052136,317.9912415431739,317.9531834689686,318.45917325389655,318.39868614070565,318.8065877471627,319.5439550319193,320.1231219792466,322.139972091829
High,486.88655757666703,452.0376513238097,436.4185100255265,421.56238676149957,407.53597603132164,399.35851611117636,392.08051989368596,389.7588359875761,387.04022859595926,382.799318071313,381.9425675025003,378.83528604028845,370.96648404630383,371.2405411403606,373.801059884842,368.756149864412,368.64827537330825,365.5119504102464,362.0613496095451,363.44305992256426,364.21125347524605,358.065204703753,360.01025391297304,362.3089226944321,361.109441912534,356.67710373667205,355.61132983728396,353.95119664637406,354.34655908214125,354.64181786218256,353.47797735461256,351.1421994416409,351.8799349363016,352.4393178407912,350.47144257569374,349.91588862425664,347.58884820953045,346.93981963262786,348.66155398048113,346.7727961486084,348.7275842705871,347.32164388392937,348.25580319291925,346.21542203372013,345.5194058909776,344.4564405631681,345.37001611097674,345.03121896758404,343.4758683589851,343.85498618245146,344.5513905488009,341.95882471792856,343.4008422124486,342.9791550592731,342.1683085371507,341.1233005709022,340.58860144420066,340.5683229267495,339.86498102803813,339.9780742786291,339.3013473199368,338.3239082711112,340.1717594140795,340.3803280984815,338.94894508884636,338.61057409486676,338.1853893425034,337.6112800944292,337.3737462501776,338.1798618236107,337.0889005305766,337.14241004526053,337.37325579002174,336.6941527987304,335.8494958953016,337.3392066816687,336.5131179660728,335.6727079347539,335.64032160369106,334.75320276851164,334.8313370945732,335.60511990558274,335.2893083717632,334.5425914382648,334.0615727566565,334.71013325858445,333.8662103401926,332.76989483793335,333.7754220009548,332.8104531335512,333.16460044659306,333.2789518528748,331.9914921281456,332.7515291475319,332.5524250997967,331.95185494306,332.55132349794843,331.1299915889221,331.06120841877174,331.22748041521095,330.76506798696033,330.8871171183568,329.63597688807874,331.09889124506356,330.2056334046604,330.20281531524057,329.5484506305702,329.8975608454474,330.3301852753771,329.19478432202453,329.0345045047559,328.29678559089075,327.9910440014615,328.24226371365484,327.7098886357702,327.5976542013775,326.99405543859166,327.23892023143367,327.0536261361903,326.5802756228191,326.30827909627334,326.3933721607465,325.9295007842538,325.53091783960565,325.2455266740188,324.818807975008,324.5944664204761,324.1162001681472,323.4835680777509,322.8637779929607,322.139972091829
Mean,321.2151950345556,319.34876728923814,322.6188755801263,322.1204186412999,320.42782788049425,322.6224355012202,322.35289435286927,323.3639971689192,321.5293824205911,321.78158594932665,322.6860800696797,323.96226525431155,321.5782208082788,321.7782601183251,322.3449693398377,321.78827485120615,322.5156135437444,321.545455190856,322.84259432805595,322.6550995746605,322.4209038456994,322.17905617682226,321.23267948736657,322.62913101374323,323.073218955109,322.1303478598696,322.3962327849311,321.7360337372772,321.82150669475493,321.9139187768543,321.4828668986247,321.6685091899019,322.296479960844,321.9314473197195,322.21604087581665,322.030848200954,321.17325547042066,321.956272964077,322.2528901458846,321.6250048463518,322.5852904850269,322.1097037543431,322.14648006042114,322.48985276185715,322.17818548935867,321.93375553621735,321.8089987843794,321.79723995465963,322.71340754877184,321.87964308004143,323.04296503245763,322.0244724418113,322.3864924813657,321.87489765564476,322.05112291492276,321.65882675470317,321.9766314229618,322.15154399237116,322.00807410297983,321.83929273637233,321.7266321466376,321.7922104818575,322.17635987903134,322.21875942145357,322.49324231637047,322.08350876905615,322.60354839628843,321.6517707744549,321.8908788178775,322.2446601518561,322.0621337399636,321.936927283625,322.5094211869561,322.143876000012,322.158654950156,322.07941929759915,322.21160786873634,322.2063394863707,322.03385977317754,322.4680778706447,322.03982113840067,322.3341846647338,322.3026586958618,322.04901931313344,321.9376475349825,322.22457937368347,322.0281695369977,321.84934181236116,322.1640622163712,322.30599602693223,322.1210707765374,322.30849484359396,322.25502182553623,322.30288152529135,322.2025466443098,322.0143785596234,322.41245799931056,321.8501994728829,322.1350600380778,321.92239034643103,322.07722368936703,322.18711231919434,322.1377709452841,322.4602464304131,322.1193418907517,322.08547913932546,322.24178816202743,322.2870273853679,322.3600704022301,322.03251685694363,322.1119417131518,322.13465761794447,322.0579450877398,322.3220624093424,322.00343567224627,322.11661688451466,321.9881058706248,322.1536646248758,322.1076060127182,322.06772896794195,322.113728829895,322.2381659799508,322.13305517723427,322.2521598717039,322.22136344645486,322.13754024964044,322.1109097820869,322.1267759292139,322.1176938402261,322.1300505814395,322.13997209182895
