"","key","b:(Intercept)","c:(Intercept)","d:(Intercept)","e:(Intercept)"
"1","low",-0.688447685645394,643.226920648195,120984.343941565,11467.4517190688
"2","high",-0.657600718099043,956.537332456887,91440.6283213058,6708.75795525284
