"","id","pd","mpd","mntd","retrieved_taxa","proportion_missing"
"1","86291665fffffff",2176.08764999997,297.598310947365,93.6674363684174,19,0.0526315789473684
"2","862916657ffffff",5720.64702200732,293.072868466184,43.9483152320757,125,0.008
"3","86291661fffffff",2530.52375599903,326.86734118086,138.454938380863,21,0.0476190476190476
"4","8629166efffffff",1320.23580899945,337.103110599781,275.043166199251,5,0.2
"5","8629166e7ffffff",5107.36841901491,305.268911675205,41.3252674718604,106,0.00943396226415094
"6","862916647ffffff",1121.618947,413.1731,369.801961666667,3,0.333333333333333
"7","86291660fffffff",2987.47706299933,270.637417316861,61.3025458912738,46,0.0217391304347826
"8","862916677ffffff",NA,NA,NA,0,Inf
"9","86484b65fffffff",NA,NA,NA,0,Inf
"10","8629a59b7ffffff",6099.88151875241,357.864531367599,62.0786649072876,97,0.0103092783505155
"11","8629a5807ffffff",3202.40961399961,289.108907370713,72.1931033170495,41,0.024390243902439
"12","8629a58e7ffffff",2292.21083400002,324.821942942859,97.4466684285732,21,0.0476190476190476
"13","8629a580fffffff",1585.695988,319.377964888888,150.415617444444,9,0.111111111111111
"14","8629a5817ffffff",5058.0836625729,300.682735450552,68.1125541935665,79,0.0126582278481013
"15","8629a58f7ffffff",NA,NA,NA,0,Inf
"16","8629a581fffffff",6999.93249435604,331.555829609996,46.6534319171568,152,0.00657894736842105
"17","86484b6efffffff",1083.48927199998,393.434758666654,313.280955333314,3,0.333333333333333
"18","8629a5837ffffff",8327.09829912813,413.161473193901,70.4562714449644,127,0.0078740157480315
"19","8629a5917ffffff",1247.55945699879,285.533234999516,241.591823999438,5,0.2
"20","8629a5987ffffff",7015.49915713152,327.947148858235,42.0421843392289,146,0.00684931506849315
"21","8629a591fffffff",1564.30587099879,331.04774523775,252.553514285199,7,0.142857142857143
"22","8629a598fffffff",5834.48506866704,346.661549677432,51.8390317420123,106,0.00943396226415094
"23","8629a59a7ffffff",4966.29409499996,328.504834037543,75.7177070262571,76,0.0131578947368421
"24","8629a59afffffff",6201.49867866219,333.090232579057,54.7415707604024,110,0.00909090909090909
"25","8629a5acfffffff",NA,NA,NA,0,Inf
"26","862912d87ffffff",NA,NA,NA,0,Inf
"27","862912db7ffffff",3686.81579866297,287.870386885702,64.7814580448477,59,0.0169491525423729
"28","862912d97ffffff",1213.24257500023,308.833449000092,202.135861400058,5,0.2
"29","8629a502fffffff",5427.19998408831,338.293959040575,56.3158183973093,94,0.0106382978723404
"30","8629a5077ffffff",NA,NA,NA,0,Inf
"31","8629a5007ffffff",11094.2482675009,318.769663349383,50.4417812660377,263,0.00380228136882129
"32","8629a504fffffff",NA,NA,NA,0,Inf
"33","8629a5027ffffff",3903.42604000512,387.634036198612,120.688173657515,35,0.0285714285714286
"34","8629a5047ffffff",1813.24918300008,354.001452755571,167.239620199988,10,0.1
"35","8629a518fffffff",10019.7095996475,314.114218204117,49.6095042851018,223,0.00448430493273543
"36","8629a501fffffff",5876.58931100095,302.006905541557,65.8466462323518,99,0.0101010101010101
"37","8629a51afffffff",2107.10170299974,385.775768166623,191.911787916624,12,0.0833333333333333
"38","8629a50afffffff",NA,NA,NA,0,Inf
"39","8629a5187ffffff",1102.50157900054,253.345117833601,243.148434500268,4,0.25
"40","8629a5017ffffff",8846.04715075838,340.726689182919,51.5673256588937,170,0.00588235294117647
"41","8629a505fffffff",2044.45367100092,333.378103200166,232.491699727439,11,0.0909090909090909
"42","8629a50efffffff",991.752873,291.127598666667,232.115318,3,0.333333333333333
"43","8629a5037ffffff",6198.00379688378,341.762716400182,84.1052369946159,86,0.0116279069767442
"44","8629a500fffffff",7806.91477461639,306.027792726089,39.4021100177821,196,0.00510204081632653
"45","8629a5057ffffff",6991.40534588678,299.529889786598,34.6114003651407,174,0.00574712643678161
"46","8629a50e7ffffff",3904.25543200737,321.984356490112,109.93085517537,40,0.025
"47","862913c37ffffff",3435.5386469995,270.427290747435,74.8608515318973,47,0.0212765957446809
"48","862912adfffffff",7243.34990654106,451.624690548103,89.5027160236587,90,0.0111111111111111
"49","862912a8fffffff",NA,NA,NA,1,1
"50","8629120c7ffffff",1832.30025500071,258.521005523905,97.5127163334219,15,0.0666666666666667
"51","862912077ffffff",1225.18143300007,573.918872000047,416.181165333403,3,0.333333333333333
"52","862912ae7ffffff",995.17054099989,216.689148166612,137.135831249973,4,0.25
"53","862913d87ffffff",3013.86120400037,293.504237896635,77.3162285000183,34,0.0294117647058824
"54","8629123a7ffffff",4076.37918299926,400.274161571393,117.654966547569,42,0.0238095238095238
"55","862912307ffffff",859.35314700075,258.44346200075,258.44346200075,2,0.5
"56","862912aefffffff",1521.19423299959,315.97426911102,127.710088222131,9,0.111111111111111
"57","862912a9fffffff",966.925696,473.588562,473.588562,2,0.5
"58","862913d8fffffff",5479.58902689054,315.433502809789,54.6419074682361,93,0.010752688172043
"59","8629120d7ffffff",5866.12939078978,326.537993650799,58.7789528527725,101,0.0099009900990099
"60","862912087ffffff",NA,NA,NA,0,Inf
"61","8629123afffffff",NA,NA,NA,1,1
"62","86291230fffffff",NA,NA,NA,1,1
"63","862912af7ffffff",3014.15974789475,528.727978187624,81.0037488157631,24,0.0416666666666667
"64","862913d97ffffff",859.35314599998,258.44346099998,258.44346099998,2,0.5
"65","86291208fffffff",1939.0916780003,366.31713394451,282.01541177781,9,0.111111111111111
"66","8629123b7ffffff",2635.82689500035,465.830775400044,164.311054562512,16,0.0625
"67","862912367ffffff",NA,NA,NA,1,1
"68","862912317ffffff",6861.5416911688,329.896470791652,53.7040945317691,131,0.00763358778625954
"69","862913c07ffffff",NA,NA,NA,0,Inf
"70","862913d9fffffff",NA,NA,NA,0,Inf
"71","8629120e7ffffff",5712.55665999601,318.949823698185,64.9873273749112,88,0.0113636363636364
"72","862912097ffffff",4700.46271899967,310.948984243979,55.6807734874482,80,0.0125
"73","862912047ffffff",4417.92388458742,296.208240046641,58.7540518156129,74,0.0135135135135135
"74","86291231fffffff",2182.38632100044,285.646968381572,61.3643085000269,26,0.0384615384615385
"75","862913c0fffffff",NA,NA,NA,0,Inf
"76","862912467ffffff",NA,NA,NA,0,Inf
"77","8629120efffffff",9664.29062275174,335.899363965612,41.154891744549,235,0.00425531914893617
"78","86291209fffffff",4167.97474600399,300.808191651403,58.8227262425503,66,0.0151515151515152
"79","86291204fffffff",6954.07020200682,331.837790411991,60.8614593065088,124,0.00806451612903226
"80","862912377ffffff",NA,NA,NA,1,1
"81","862912327ffffff",4958.51090740358,375.588269062673,62.2340160080668,75,0.0133333333333333
"82","862913c17ffffff",NA,NA,NA,0,Inf
"83","86291246fffffff",1398.47548999925,299.050405490772,81.9550729998719,11,0.0909090909090909
"84","862913dafffffff",1439.78476099959,238.777580821327,177.144654874898,8,0.125
"85","8629120f7ffffff",5687.29048005225,321.148936813756,57.7322530347891,92,0.0108695652173913
"86","862912057ffffff",8468.8969887198,292.97476435191,32.3417075471084,252,0.00396825396825397
"87","86291232fffffff",7389.62265333432,325.548499779154,41.409119001912,165,0.00606060606060606
"88","862913c1fffffff",NA,NA,NA,0,Inf
