,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42
0.5,215.135519957,250.256417757764,294.9575358841285,461.440709066505,531.54150917509,631.753834992434,780.59037392093,799.3121698523989,939.8829113760149,1010.34996711792,1108.971513699275,1190.29519025719,1317.592209952875,1384.85309340643,1479.801826343205,1582.358333160445,1684.488732507195,1706.66507209406,1828.35619794833,1914.44957918815,2048.1504135691
1,217.646933908796,258.29857561709,311.609555042514,488.64997206793,579.460503326452,672.71149190808,817.24708318597,905.2823129363,1001.9254413399999,1070.85633666025,1140.18158616325,1238.4731831049498,1341.5282574881198,1414.02293691119,1514.1163377369,1610.1707258029,1704.8489517442,1788.7745990383999,1851.70383541511,1923.4434079978,2048.1504135691
1.5,217.7704189318,261.55962222693705,358.1803822037385,493.103338728206,591.591896478673,712.099369432868,839.619787770558,916.34200276346,1021.148523218685,1108.2610702909549,1172.969413715085,1249.41396557424,1362.597902141765,1433.0289535132051,1536.7506929201152,1630.563806810035,1723.126778038255,1797.350534458395,1901.5095688572,1948.067901765235,2048.1504135691
2,219.397755949362,265.549282275116,395.0713922399,496.490559568448,624.551936412096,745.269503150624,859.519420401896,929.4501340230199,1042.553308836636,1120.49678955212,1193.4648588991,1304.33889408648,1388.89135506208,1438.4012436953199,1555.05569685408,1648.4344630706798,1739.14982045496,1810.84617088924,1915.2340491049001,1963.9390863900999,2048.1504135691
2.5,220.737873802175,271.68736029719,439.86032938943,501.31129793975504,640.2726247261401,759.607265574135,874.2323919039251,947.4976782251749,1057.0072139245551,1142.0250000809,1207.63666501712,1322.2702451402001,1397.853614967905,1455.192733014775,1572.359863177075,1657.7595460855998,1751.2415646331249,1819.6767287351001,1920.70337944265,1977.49101135685,2048.1504135691
5,226.42332806842,292.62961056081,467.841775477315,564.6481346361801,686.18789546812,809.7971364305901,915.21972009362,988.9160782627,1105.1861194021299,1194.0785380252,1276.4227846583,1387.2027776915502,1445.14748790924,1528.66381291435,1629.23745732821,1696.059149244,1801.8803090520998,1871.4158779465,1948.444300527,2028.65530942885,2137.6307884741
10,240.82899964388,417.48147149304,489.99789744772,638.82503785541,745.91515615496,879.84392645972,980.10409463461,1060.9032081377002,1180.01095260786,1270.9783447339798,1339.88749445,1461.895965505,1519.0525611698001,1592.1732329637,1687.2796527734,1768.1854815109,1857.4668966989002,1918.5702688279,2005.3587706485998,2045.4968725691,2178.1203134491
25,242.347199828,450.34469955602503,620.74891163945,730.9299790052,868.2651791794,979.2628646357,1090.89183299425,1180.513157522375,1291.86313164435,1384.5673092121,1454.83172786005,1581.7583038786001,1624.80129693435,1703.39404470635,1794.8957912891,1870.4492897626,1946.6366892601,2002.4301664096,2056.26528233485,2160.6745333841,2244.4786436691
75,393.55269995145,626.427499745575,820.6450840462501,963.7431883527499,1105.109720376825,1225.0161843764,1338.2478721891498,1444.8679036112999,1540.9259500946,1628.4891095086,1702.2238534707499,1807.59741684775,1865.09649001575,1936.79508561485,1983.5722794516,2063.96162656435,2126.7566654513503,2183.4713849926,2220.93270615285,2240.89170546185,2256.9645166001
90,416.9117998389,702.19999983461,904.0014104125901,1059.59884935807,1219.1009022441901,1336.39682041492,1464.8084317170799,1552.2875519932402,1653.8209168935,1754.6069350944,1804.7930694404602,1895.0146229629,1956.6157670418002,2028.7335975802998,2084.1141670281,2140.8674471887,2182.6765609731997,2209.2871680157,2231.3670206297998,2247.765243043,2260.1193814691
97.5,426.3841998089,785.609299743695,1000.8864818599574,1195.5775009393674,1337.322321184895,1464.5064862696152,1592.79531377472,1666.3056291097448,1770.4868627102048,1865.174099893995,1899.809867762265,1992.269029806345,2049.0254354476,2100.0098947152,2139.482655102975,2177.6667750571,2203.2992566317753,2222.6819772763997,2239.189881960375,2252.1090390867753,2260.6323924691
98,426.384199809,786.654199761104,1019.621217620722,1205.978697927026,1356.5378339284478,1477.3232726489598,1615.929628818916,1681.1796666270038,1808.274305856384,1870.742356218696,1916.087930292136,2004.7482704352399,2056.165054650344,2108.201245189008,2148.66536619388,2180.1584645973,2207.5930140344,2223.4764821518197,2239.9317473234,2252.2407078891,2260.6323924691
98.5,426.384199811,786.654199788706,1034.0697136393198,1216.0667385850481,1365.7338922378967,1491.937567340546,1634.2366573991235,1721.2873382633725,1812.761694174855,1886.5784160922499,1933.001286298718,2013.00666764248,2071.4607310968922,2120.04328365851,2153.91063455488,2185.341831272655,2209.865269526675,2225.3632410496652,2241.177400616705,2253.3102881816003,2260.6323924691
99,426.384199812092,810.46449962522,1050.054190692785,1238.0076581914,1423.287994644571,1518.38778795403,1656.454061854037,1737.9017228787297,1840.2871724854697,1901.563511039279,1941.5975175307678,2034.64256129261,2090.3808460259197,2127.8901752378197,2160.23525273465,2186.816911720458,2213.6876024641297,2227.08388786072,2242.88200622169,2254.4867914691,2260.6323924691
99.5,426.38419984125,810.4644997271105,1093.9634135667693,1290.7183342778173,1496.4940702849258,1553.758818598717,1677.233884274375,1792.4012512769496,1892.4356033492008,1923.016425347579,1987.9724689059651,2050.679133585661,2106.0517035198714,2137.50814546359,2168.1264778915297,2194.5215974654902,2214.400746677711,2229.2303747982446,2244.183905861355,2254.832613113395,2260.6323924691
Median,393.5526998973,557.5008999286999,701.3548390697,850.1677932116,983.62806734175,1106.5499762620002,1224.33582023905,1310.3165065174999,1418.0171490731,1504.7544527635,1591.4358572606,1698.2700869436999,1748.5153017721,1821.1657072952,1894.1783860256,1971.5361282031,2034.1924819526,2106.6201727106,2169.8033473501,2228.2913959176003,2253.7002144691
Mean,347.8197776983017,547.7667763655121,707.5365929103795,848.7984192844021,983.730737686892,1104.5753173786877,1219.4994011673275,1310.1926606785314,1417.538989612638,1505.8908116135508,1576.5852621822748,1686.3997428609257,1742.169471610811,1812.1917124428699,1886.3897159101907,1956.4356473757025,2028.8878933060942,2080.4845513357695,2139.2492180738795,2184.8803781568204,2236.6427508674274
