,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42
0.5,4.04401355579995,38.81244613757587,46.61834360060436,118.78422944878568,129.21716911802787,148.11470820288665,145.0208315350911,189.13735285150662,189.11298370526006,187.72190998955173,205.7948854288812,210.799603354043,218.256932184431,222.79653886301597,229.50501495199458,231.94465598245773,240.82678557987347,246.47401992749758,249.26661816050762,256.9945345478639,266.768769964677
1,4.04401355579995,40.79961085503546,56.1458235250426,122.22269413866493,145.04960188476267,161.80368503834043,165.84438150290717,196.3695114053194,197.0499803571467,198.9579530514551,210.57258205582647,218.4016381721386,222.94509710040987,227.20812421771953,233.07462800858087,236.545425638592,243.4406240460651,248.7220925589107,250.92634972979153,258.343081291157,266.768769964677
1.5,9.15367072732697,41.33917512323055,106.56932321168878,128.54129354270557,160.65562642867252,175.20393026935648,180.37998344350723,199.63328939245315,205.19798949494165,204.38522931912013,217.89904324693836,221.1576769716479,226.9257441737344,229.62139123070244,235.4534503303018,238.39437263133806,245.64390923029418,250.11021773886986,251.8193107923774,259.0254010980184,266.768769964677
2,9.15663805819997,42.620027478573,145.3588146645868,135.64927245926526,164.07141267760824,182.9938650320847,190.73893618479855,207.90577119551804,210.13008518923985,209.70913770284056,219.35749726307535,223.6083246357389,229.7959975280529,231.79104945943058,237.78471385981183,242.21130678555673,247.10716718330485,251.84762497170095,252.86779593774048,259.77341471317334,268.204425897972
2.5,12.89439245,42.983923276414195,146.44866475726568,139.10646140034888,168.85490799998786,184.9624521577823,194.9782737308015,210.76966157962755,212.3465983437388,211.78081110135673,223.56101533880704,226.97386825559565,231.155909583442,232.463521910526,238.72679414882853,244.0862119362757,248.2778989926152,252.2507139851027,253.43794624854655,260.561630576237,268.204425897972
5,26.0316332126,104.07099761697,152.83504554162934,168.14667041727415,190.66843310309866,198.57522397341336,209.2880968537373,221.15538689611978,227.86365411727584,227.43933910137685,231.4927204886414,234.59678751364126,239.0444148098625,240.8958311088045,246.13348616684638,248.91958605123705,252.1639263587947,256.09851894910406,257.1098198326943,262.1341378949131,268.204425897972
10,35.322497,195.696786984717,168.373826258003,196.24731537326159,211.038564585695,217.9820827301648,228.4370016426422,235.0208626417812,235.5292102312991,237.83973563792398,242.6279641091584,244.83835679652918,247.8238450545152,249.4480280295555,252.5236508390378,255.5695929240176,257.9790889931436,259.92198510173944,261.48368874454013,265.38819215978435,268.221748083919
25,58.3101998389999,218.69443158934575,237.121442084093,242.89439285432124,249.176424453164,248.133794385744,254.3987309551795,256.5846928057582,256.40781650235425,256.5042931935053,259.6716468990835,261.7745168905245,262.17281453705004,262.885877362957,264.19255924429723,264.85635419981224,266.359740372636,267.764779780443,268.066163543368,269.3528151470395,271.035954851432
75,376.6737998042,334.7386323587705,318.024139840247,313.54110078525605,309.3457863548505,302.640540241098,299.81437552262975,295.79162981602,294.75563385494627,291.72650083248345,291.4914760817435,290.21073735399824,288.290142086753,288.7605479447665,286.4517477235177,284.26753270327475,283.2943379627187,281.593546357682,280.11533356304375,278.790786228497,277.755127493985
90,407.4393998079,364.063566564448,346.9314081959097,336.3374731489175,327.46250430314916,322.8930976362454,318.4343725588105,311.9860267651518,310.0881856213409,306.527660130551,303.563390690449,300.9971817489426,298.70805665590177,297.5529027325785,294.54130670826913,292.0024766957158,289.6862054310142,287.8832910014503,285.872983153844,284.4996071705541,277.787908363094
